sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Belmont Bruins",29,68.1,98.4,55.3,0.812,51,19,32,37.3,43.6,15,11.5,0.29,8.9,37.4,30.1,12.6,17.6,41.7,20.9,6.5,14.4,31,0.41
2,"Wisconsin Badgers",29,67.1,98.1,52.3,0.78,49.7,19.4,30.3,39,44.8,19.1,8.4,0.21,6.7,35.3,31.4,13.6,17.8,43.4,18.3,5.8,12.6,31.5,0.37
3,"Duquesne Dukes",29,73,98,52.1,0.713,51.8,18.9,32.9,36.4,41.8,21.3,9.4,0.24,7.9,32.6,33.6,13.2,20.4,39.4,18.2,5.6,12.6,30.9,0.35
4,"Villanova Wildcats",29,60.9,97.4,52.2,0.857,46.6,19.5,27.1,41.8,48.3,16.9,8.3,0.19,6,38.3,29.5,13.4,16,45.6,17.1,6,11.1,35.3,0.37
5,"Drake Bulldogs",28,68,97.3,54.6,0.804,48,19.8,28.2,41.3,46.1,19.5,12,0.31,8.7,38.2,31.7,15.2,16.5,47.9,16.3,4.6,11.6,28.4,0.34
5,"Loyola (Chicago) Ramblers",29,62,97.3,43,0.694,43.4,15.9,27.5,36.7,40.4,21.1,11,0.28,8.1,33.4,30.6,12.7,17.9,41.6,12.9,3.2,9.7,24.9,0.3
7,"Boise State Broncos",30,67.3,97.2,57.2,0.85,48.7,20.9,27.8,42.9,48.5,18.2,11,0.28,8.7,39.9,34.9,15.4,19.5,44.2,13.8,5.4,8.3,39.5,0.28
7,"Nebraska-Omaha Mavericks",31,65.2,97.2,41.6,0.637,44.4,14.1,30.3,31.8,37.3,23.6,9.4,0.27,6.7,29.3,26.3,9.2,17.1,34.9,18,4.9,13.1,27.2,0.41
9,"Minnesota Golden Gophers",29,64.8,97,58.6,0.904,51.2,22.6,28.6,44.1,48.9,12.9,9.5,0.22,6.8,42.3,36.5,17.6,18.9,48.2,14.7,5,9.7,33.9,0.29
10,"Le Moyne Dolphins",30,63.8,96.8,45.6,0.715,43.8,15.7,28.1,35.8,41.4,22.7,9.7,0.27,6.8,32.8,27.1,10.7,16.4,39.5,16.7,5,11.8,29.7,0.38
11,"UAB Blazers",29,64.1,96.7,54.3,0.847,46,19.7,26.3,42.8,49.5,19.4,9.9,0.26,7.7,38.9,28.6,13.6,14.9,47.7,17.5,6.1,11.4,34.9,0.38
11,"North Florida Ospreys",29,63,96.7,45.8,0.726,45.1,16.9,28.1,37.6,42.7,21.6,8.8,0.22,6.7,33.3,27.5,12.3,15.2,44.7,17.6,4.6,12.9,26.3,0.39
11,"Tennessee Tech Golden Eagles",29,66.7,96.7,49.7,0.744,47.4,16.9,30.6,35.6,41,18.3,12.8,0.33,9.6,34.5,30.6,11.8,18.9,38.4,16.8,5.1,11.7,30.5,0.35
11,"Murray State Racers",29,68.8,96.7,64.5,0.937,50.3,21.2,29,42.2,48,14.1,15.7,0.4,11.6,43.2,30.8,15.4,15.3,50.2,19.5,5.8,13.7,29.7,0.39
15,"Utah Utes",30,65.7,96.5,54.3,0.826,45.8,19.2,26.5,42,49.2,21.8,10.2,0.27,7.5,37.2,25.8,12.7,13.1,49.2,20,6.6,13.4,32.8,0.44
16,"Vermont Catamounts",31,58.6,96.3,51.1,0.872,46.2,19.9,26.3,43,47.9,14.1,9.1,0.21,7.7,40.7,31.6,15.4,16.3,48.6,14.5,4.5,10,31,0.32
17,"Lafayette Leopards",28,57.3,96.2,43.5,0.759,41.8,15.5,26.3,37.1,43.1,19.3,9.1,0.23,7.6,34.4,26.8,10.5,16.3,39.1,15.1,5,10,33.4,0.36
17,"Samford Bulldogs",31,62.5,96.2,47.5,0.761,45.5,16.4,29.1,36,42.9,18.9,9.4,0.25,6.9,33.5,23.9,10.1,13.8,42.3,21.6,6.3,15.3,29,0.47
19,"Kansas State Wildcats",31,61.2,96.1,50.1,0.818,44.4,18,26.3,40.7,45.9,18,11.5,0.29,8.6,37.9,29.7,13.4,16.3,45.2,14.6,4.6,10,31.5,0.33
