sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Texas Southern Tigers",29,22.6,32.1,14.3,0.632,16.4,5.2,11.2,31.7,36.7,20.5,8.7,0.22,8.1,28.7,9,3.6,5.4,40,7.4,1.6,5.8,21.8,0.45
2,"Long Island University Sharks",28,21.2,31,18.3,0.864,15.8,6.5,9.3,41.2,49.3,18.2,8.9,0.22,8.2,37.9,8.1,3.9,4.2,48.2,7.6,2.6,5.1,33.6,0.48
3,"Saint Francis (PA) Red Flash",28,19.3,29.9,12.1,0.631,15,4.6,10.4,30.5,36.4,18,5,0.12,4.6,27.3,7.3,2.8,4.5,38.5,7.6,1.8,5.9,22.9,0.51
4,"Mississippi Rebels",30,20.1,28.9,17.4,0.869,15.8,6.4,9.4,40.6,47.1,13.1,9.8,0.23,9,39.2,9,4.4,4.6,48.7,6.8,2,4.8,29.9,0.43
5,"Indiana University - Indianapolis Jaguars",29,18.8,28.6,13.9,0.741,13.9,5.1,8.8,36.7,42.7,19.3,9.5,0.22,8.6,33,9,3.4,5.5,38.5,4.9,1.7,3.3,33.6,0.35
6,"Lamar Cardinals",29,18.8,28,14.8,0.787,14.8,5.7,9.1,38.2,44.1,15.8,6.3,0.15,5.7,35.1,9.3,3.9,5.4,42.1,5.4,1.7,3.7,31.6,0.37
6,"Texas State Bobcats",29,18.4,28,13.8,0.746,13.2,5.3,7.9,40.5,44.5,20.9,9.9,0.24,8.4,35,9.5,4.3,5.2,44.9,3.7,1.1,2.6,29,0.28
8,"Central Michigan Chippewas",28,19.1,26.5,15.8,0.825,13.5,5.8,7.7,43.1,50.1,21.5,8.6,0.24,6.2,37.9,8.4,3.9,4.5,46.6,5.1,1.9,3.2,37.3,0.38
9,"Nicholls State Colonels",29,17.3,25.6,12.3,0.713,13.7,4.6,9.1,33.8,37.9,14.6,7.4,0.17,6.6,32.9,8.6,3.5,5.1,40.7,5.1,1.1,4,22.1,0.38
10,"Longwood Lancers",29,17.7,24.7,13.5,0.763,13.6,4.8,8.8,35.4,42.5,16.5,8.6,0.21,7.8,33.5,7,2.9,4.2,40.7,6.5,1.9,4.6,29.6,0.48
