sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Vermont Catamounts",34,2211,100,1574,0.712,1618,583,1035,36,39.7,19.3,9.7,0.24,8.7,33.1,1140,463,677,40.6,478,120,358,25.1,0.3
1,"Rhode Island Rams",32,2107,100,1517,0.72,1611,586,1025,36.4,40.5,17.7,7.4,0.18,6.1,33.3,1145,454,691,39.7,466,132,334,28.3,0.29
1,"St. Thomas (MN) Tommies",32,2077,100,1624,0.782,1488,581,907,39,43.2,19,11.3,0.29,8.6,36.8,1044,457,587,43.8,444,124,320,27.9,0.3
4,"Minnesota Golden Gophers",30,1933,99.9,1401,0.725,1396,513,883,36.7,42.3,21.1,8.5,0.21,6.5,32.7,859,358,501,41.7,537,155,382,28.9,0.38
4,"Army Black Knights",31,1920,99.9,1481,0.771,1347,540,807,40.1,44.7,21,10.3,0.27,8.5,36.4,963,417,546,43.3,384,123,261,32,0.29
4,"South Florida Bulls",32,2267,99.9,1757,0.775,1675,626,1049,37.4,42.2,16.1,11.6,0.3,9,36.6,1148,464,684,40.4,527,162,365,30.7,0.31
4,"Duke Blue Devils",32,2225,99.9,1532,0.689,1628,580,1048,35.6,39.1,20.1,8.3,0.21,6.7,32.4,1200,466,734,38.8,428,114,314,26.6,0.26
4,"Davidson Wildcats",33,2167,99.9,1666,0.769,1504,613,891,40.8,45.2,21,11,0.3,8.3,36.9,1098,480,618,43.7,406,133,273,32.8,0.27
4,"Arkansas-(Little Rock) Trojans",31,2093,99.9,1545,0.738,1448,532,916,36.7,41.1,20,12.4,0.34,9,35.2,966,406,560,42,482,126,356,26.1,0.33
10,"Western Michigan Broncos",29,1911,99.8,1563,0.818,1392,575,817,41.3,46.2,18.1,11.6,0.29,8.9,38.4,959,440,519,45.9,433,135,298,31.2,0.31
