sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Cleveland State Vikings",33,2018,86.2,1468,0.727,1489,543,946,36.5,42.4,19.5,8,0.2,7.1,32.9,884,367,517,41.5,605,176,429,29.1,0.41
2,"Mount St. Mary's Mountaineers",30,1711,86,1275,0.745,1269,467,802,36.8,42.6,17.7,9.6,0.24,8.1,34.2,774,319,455,41.2,495,148,347,29.9,0.39
3,"Gardner-Webb Runnin Bulldogs",31,1542,84.3,1122,0.728,1102,404,698,36.7,43.6,21.6,8.2,0.22,7.1,32.3,568,250,318,44,534,154,380,28.8,0.48
4,"Marshall Thundering Herd",32,1690,78.4,1252,0.741,1276,475,801,37.2,42.2,18.8,8,0.18,7,33.4,822,347,475,42.2,454,128,326,28.2,0.36
5,"Wake Forest Demon Deacons",31,1688,77.2,1320,0.782,1338,511,827,38.2,44.2,15.9,6,0.14,5.5,34.7,818,350,468,42.8,520,161,359,31,0.39
6,"Saint Peter's Peacocks",30,1220,62.4,909,0.745,891,329,562,36.9,44.4,20.6,7.7,0.2,7.3,32.6,458,195,263,42.6,433,134,299,30.9,0.49
7,"Bethune-Cookman Wildcats",31,1079,55.8,855,0.792,787,310,477,39.4,44.8,18,11.8,0.29,10.3,37.1,520,225,295,43.3,267,85,182,31.8,0.34
8,"Bellarmine Knights",32,1198,55.3,1137,0.949,975,416,559,42.7,51.6,11.4,9,0.2,8.5,40.8,458,242,216,52.8,517,174,343,33.7,0.53
9,"Massachusetts Lowell",29,986,54.1,820,0.832,779,319,460,40.9,48.1,16.4,5.3,0.13,5,36.7,456,207,249,45.4,323,112,211,34.7,0.41
10,"Western Kentucky Hilltoppers",29,1013,52.3,812,0.802,762,299,463,39.2,47.5,19.4,7,0.16,6.2,34.3,389,173,216,44.5,373,126,247,33.8,0.49
11,"Georgia State Panthers",31,1039,52,937,0.902,806,346,460,42.9,50.6,15.3,9.1,0.21,7.5,39.8,452,222,230,49.1,354,124,230,35,0.44
12,"Saint Mary's Gaels",32,1083,51.4,824,0.761,772,298,474,38.6,46.3,22.9,6.9,0.18,5.8,33.1,405,179,226,44.2,367,119,248,32.4,0.48
13,"New Haven Chargers",29,962,50.3,732,0.761,716,273,443,38.1,45.9,20.3,6.1,0.16,5.7,33.1,372,161,211,43.3,344,112,232,32.6,0.48
14,"Stephen F. Austin Lumberjacks",34,1171,49.4,883,0.754,930,339,591,36.5,41.6,14.1,7.5,0.18,6.9,34.6,618,244,374,39.5,312,95,217,30.4,0.34
15,"UC Irvine Anteaters",32,1033,48.9,682,0.66,758,240,518,31.7,37.7,19.9,7.6,0.2,6.8,29.4,397,149,248,37.5,361,91,270,25.2,0.48
16,"Alcorn State Braves",30,931,47.7,627,0.673,645,233,412,36.1,41.9,24,7.6,0.21,6.6,30.9,378,159,219,42.1,267,74,193,27.7,0.41
17,"San Jose State Spartans",32,1063,46,891,0.838,839,321,518,38.3,46.3,14.6,8.1,0.19,7.3,36.1,440,186,254,42.3,399,135,264,33.8,0.48
18,"Southeastern Louisiana Lions",29,849,44,752,0.886,652,291,361,44.6,52.5,17.9,7.7,0.17,7.4,38.6,364,189,175,51.9,288,102,186,35.4,0.44
19,"Northern Colorado Bears",32,849,42.7,590,0.695,642,228,414,35.5,40.4,18.1,7.3,0.18,5.8,31.8,396,165,231,41.7,246,63,183,25.6,0.38
20,"Utah Valley Wolverines",30,878,41.2,608,0.692,512,218,294,42.6,50.4,35.2,7.5,0.24,4.7,30.6,283,138,145,48.8,229,80,149,34.9,0.45
21,"Morgan State Bears",31,770,39.2,625,0.812,586,234,352,39.9,45.8,16.5,9.9,0.23,9.5,37,350,165,185,47.1,236,69,167,29.2,0.4
22,"North Carolina-Wilmington Seahawks",32,789,37.6,601,0.762,625,240,385,38.4,44.4,15.8,6,0.14,5.4,34.1,376,165,211,43.9,249,75,174,30.1,0.4
23,"Coastal Carolina Chanticleers",32,795,36.6,544,0.684,598,196,402,32.8,39.5,19,6.9,0.17,5.3,29.7,320,115,205,35.9,278,81,197,29.1,0.46
24,"Ohio Bobcats",31,866,36.2,685,0.791,631,245,386,38.8,47.2,20.4,8.1,0.2,7,34.4,308,139,169,45.1,323,106,217,32.8,0.51
25,"Pennsylvania Quakers",27,609,35.2,448,0.736,485,173,312,35.7,41.5,15.8,5.9,0.13,5.6,33,296,116,180,39.2,189,57,132,30.2,0.39
26,"Mercyhurst Lakers",31,668,34.6,627,0.939,509,241,268,47.3,54.2,17.7,7.8,0.18,6.7,42.1,317,171,146,53.9,192,70,122,36.5,0.38
27,"Louisiana-(Lafayette) Ragin Cajuns",31,724,33.4,616,0.851,560,218,342,38.9,48.3,16.3,7.3,0.18,6.1,36,265,113,152,42.6,295,105,190,35.6,0.53
27,"Lafayette Leopards",30,688,33.4,530,0.77,537,206,331,38.4,45.5,17.7,5.8,0.13,5.8,33.3,303,129,174,42.6,234,77,157,32.9,0.44
27,"Massachusetts Minutewomen",30,642,33.4,488,0.76,480,185,295,38.5,45.4,19.6,7.3,0.17,6.2,33.8,255,119,136,46.7,225,66,159,29.3,0.47
30,"West Virginia Mountaineers",33,647,33.1,477,0.737,483,187,296,38.7,44.5,20.9,5.7,0.14,5.6,33.1,323,131,192,40.6,160,56,104,35,0.33
31,"East Carolina Pirates",33,700,31.8,500,0.714,471,190,281,40.3,45.6,25.6,8,0.23,6.3,33.9,298,140,158,47,173,50,123,28.9,0.37
32,"Cornell Big Red",27,533,31.1,434,0.814,427,172,255,40.3,46.6,16.1,4.5,0.1,4.1,36,245,118,127,48.2,182,54,128,29.7,0.43
33,"Missouri Tigers",32,720,30.7,616,0.856,583,235,348,40.3,47.7,13.3,5.8,0.14,5.1,37.6,321,149,172,46.4,262,86,176,32.8,0.45
