sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Army Black Knights",10,5.7,7.8,3.6,0.632,3.9,1.3,2.6,33.3,34.6,21.1,10.5,0.31,10.5,33.3,3.8,1.2,2.6,31.6,0.1,0.1,0,100,0.03
2,"Washington Huskies",12,5.7,7.4,4.2,0.735,4.4,1.7,2.8,37.7,37.7,11.8,10.3,0.26,8.8,39.7,4.2,1.7,2.5,40,0.3,0,0.3,0,0.06
3,"Mississippi Rebels",13,5.6,7,2.7,0.479,4.2,1,3.2,23.6,24.5,16.4,9.6,0.24,8.2,24.7,3.8,0.9,2.9,24,0.4,0.1,0.3,20,0.09
3,"Montana State Bobcats",11,6,7,4.2,0.697,3.9,1.2,2.7,30.2,31.4,16.7,21.2,0.6,19.7,36.4,3.6,1.1,2.5,30,0.3,0.1,0.2,33.3,0.07
3,"N.J.I.T. Highlanders",12,5.9,7,4,0.676,4.2,1.5,2.7,36,37,18.3,11.3,0.32,11.3,36.6,4,1.4,2.6,35.4,0.2,0.1,0.1,50,0.04
3,"Clemson Tigers",13,4.9,7,2.8,0.578,3.5,0.9,2.6,26.1,28.3,17.2,12.5,0.33,12.5,28.1,3.2,0.8,2.4,24.4,0.4,0.2,0.2,40,0.11
3,"Brigham Young Cougars",13,6,7,3.3,0.551,3.5,1.1,2.4,31.1,31.1,30.8,12.8,0.42,11.5,29.5,3.4,1.1,2.3,31.8,0.1,0,0.1,0,0.02
8,"Fairfield Stags",11,5.4,6.7,4.7,0.881,4.3,1.9,2.4,44.7,47.9,15.3,6.8,0.15,6.8,40.7,3.8,1.6,2.2,42.9,0.5,0.3,0.2,60,0.11
9,"Davidson Wildcats",14,5.1,6.6,4.6,0.903,3.8,1.9,1.9,49.1,50.9,16.7,11.1,0.28,9.7,45.8,3.2,1.7,1.5,53.3,0.6,0.1,0.4,25,0.15
9,"Florida Gators",14,5.6,6.6,4.4,0.782,3.8,1.6,2.2,41.5,42.5,16.7,20.5,0.53,17.9,42.3,3.5,1.5,2,42.9,0.3,0.1,0.2,25,0.08
9,"Columbia Lions",12,5.3,6.6,2.9,0.547,4.2,1.1,3.1,26,29,18.8,6.3,0.12,6.3,23.4,3.6,0.8,2.8,23.3,0.6,0.3,0.3,42.9,0.14
12,"Alabama Crimson Tide",14,5,6.5,3.2,0.643,3.5,1.2,2.3,34.7,34.7,17.1,12.9,0.37,12.9,32.9,3.2,1.2,2,37.8,0.3,0,0.3,0,0.08
13,"Michigan Wolverines",11,5.5,6.4,2.4,0.426,3.4,0.6,2.7,18.9,20.3,23,16.4,0.54,13.1,26.2,2.4,0.5,1.8,23.1,1,0.1,0.9,9.1,0.3
13,"Arkansas Razorbacks",14,5.7,6.4,4,0.7,4.3,1.4,2.9,33.3,34.2,16.3,12.5,0.28,8.8,33.8,3.9,1.4,2.5,35.2,0.4,0.1,0.4,16.7,0.1
15,"Baylor Bears",14,5.3,6.3,3.3,0.622,4.3,1.3,3,30,30,9.5,9.5,0.23,9.5,33.8,3.9,1.3,2.6,32.7,0.4,0,0.4,0,0.08
15,"Purdue Boilermakers",12,4.9,6.3,2.7,0.542,3.2,0.9,2.3,28.9,28.9,23.7,11.9,0.37,8.5,28.8,3,0.9,2.1,30.6,0.2,0,0.2,0,0.05
15,"North Dakota State Bison",12,5,6.3,3.2,0.633,3.3,1,2.3,30,30,16.7,20,0.55,16.7,35,3.2,1,2.2,31.6,0.2,0,0.2,0,0.05
18,"Notre Dame Fighting Irish",11,5.4,6.2,3.3,0.61,3.7,1.2,2.5,31.7,32.9,20.3,10.2,0.27,10.2,32.2,3.3,1.1,2.2,33.3,0.5,0.1,0.4,20,0.12
18,"Duke Blue Devils",12,5.1,6.2,3.9,0.77,3.4,1.3,2.1,39,40.2,19.7,14.8,0.41,14.8,39.3,3,1.3,1.8,41.7,0.4,0.1,0.3,20,0.12
20,"TCU Horned Frogs",13,5,6.1,2.8,0.569,3.9,1.1,2.8,27.5,29.4,15.4,9.2,0.2,9.2,26.2,3.2,0.9,2.2,29.3,0.8,0.2,0.6,20,0.2
20,"Oregon Ducks",14,5,6.1,3.4,0.686,3.5,1,2.5,28.6,30.6,17.1,20,0.47,18.6,31.4,2.9,0.9,2.1,29.3,0.6,0.1,0.4,25,0.16
22,"Oklahoma State Cowgirls",14,4.9,6,3.6,0.725,3.5,1.2,2.3,34.7,35.7,14.5,14.5,0.41,11.6,37.7,3.2,1.1,2.1,35.6,0.3,0.1,0.2,25,0.08
22,"USC Trojans",12,4.9,6,2.2,0.441,3.8,1,2.8,26.7,26.7,22,3.4,0.07,3.4,22,3.5,1,2.5,28.6,0.3,0,0.3,0,0.07
22,"Texas-(Austin) Longhorns",14,4.9,6,2.9,0.588,3.4,1.1,2.4,31.3,33.3,22.1,8.8,0.23,7.4,29.4,2.6,0.9,1.6,36.1,0.9,0.1,0.7,16.7,0.25
25,"Illinois-Chicago Flames",12,4.8,5.9,3.7,0.772,3.3,1.3,2,38.5,41,15.8,19.3,0.51,19.3,38.6,2.8,1.1,1.8,38.2,0.4,0.2,0.3,40,0.13
25,"Syracuse Orange",12,4.9,5.9,2.5,0.508,3.7,1,2.7,27.3,27.3,16.9,8.5,0.23,8.5,28.8,3.5,1,2.5,28.6,0.2,0,0.2,0,0.05
25,"Kennesaw State Fighting Owls",10,4.7,5.9,4.2,0.894,3.8,1.8,2,47.4,48.7,12.8,8.5,0.18,8.5,44.7,3.6,1.7,1.9,47.2,0.2,0.1,0.1,50,0.05
28,"Jacksonville State Gamecocks",12,4.5,5.8,2.4,0.537,3.3,0.8,2.4,25.6,25.6,16.7,13,0.33,13,29.6,2.8,0.8,2,29.4,0.4,0,0.4,0,0.13
28,"Bowling Green Falcons",12,5.1,5.8,2.4,0.475,3.8,0.8,3,21.7,22.8,14.8,13.1,0.3,11.5,24.6,3.3,0.8,2.5,23.1,0.6,0.1,0.5,14.3,0.15
28,"Arizona State Sun Devils",14,4.8,5.8,3,0.627,3.4,1.3,2.1,37.5,38.5,25.4,6,0.13,6,29.9,3,1.2,1.8,40.5,0.4,0.1,0.4,16.7,0.13
28,"North Carolina Tar Heels",14,4.6,5.8,2.1,0.446,3.3,0.7,2.6,21.7,21.7,21.5,10.8,0.26,10.8,21.5,2.7,0.7,2,26.3,0.6,0,0.6,0,0.17
