sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Mount St. Mary's Mountaineers",11,19.3,23.4,15.3,0.792,14.3,5.6,8.6,39.5,39.5,11.8,16.5,0.41,16,41,14.3,5.6,8.6,39.5,0,0,0,,0
2,"Cleveland State Vikings",14,18.1,21.4,14,0.775,12.5,5.2,7.3,41.7,41.7,15.8,16.6,0.46,16.2,41.5,12.5,5.2,7.3,41.7,0,0,0,,0
3,"Wake Forest Demon Deacons",14,14.6,17.7,11.8,0.805,11.8,5.1,6.7,43,43,12.2,8.3,0.19,7.8,41.5,11.8,5.1,6.7,43,0,0,0,,0
4,"Marshall Thundering Herd",14,14.5,17.1,14,0.966,12.2,6.1,6.1,49.7,49.7,10.3,10.3,0.19,10.3,47.3,12.2,6.1,6.1,49.7,0,0,0,,0
5,"Massachusetts Lowell",12,13.6,16.8,12.3,0.902,11.2,5.2,6,46.3,46.3,9.2,9.8,0.22,9.8,46,11.2,5.2,6,46.3,0,0,0,,0
6,"Portland Pilots",12,13.7,15.6,9.3,0.677,10.4,3.6,6.8,34.4,34.4,12.2,12.2,0.31,12.2,36.6,10.4,3.6,6.8,34.4,0,0,0,,0
7,"Stephen F. Austin Lumberjacks",11,14.8,15.5,12.6,0.853,12.1,5.5,6.6,45.1,45.1,9.2,11,0.25,11,43.6,12.1,5.5,6.6,45.1,0,0,0,,0
8,"Gardner-Webb Runnin Bulldogs",14,11.1,13.9,10.6,0.961,8.4,4.4,4.1,51.7,51.7,12.9,14.8,0.34,14.8,49,8.4,4.4,4.1,51.7,0,0,0,,0
9,"East Carolina Pirates",14,11.5,13.6,12.7,1.106,9,5.4,3.6,60.3,60.3,10.6,11.8,0.29,11.8,58.4,9,5.4,3.6,60.3,0,0,0,,0
10,"Saint Peter's Peacocks",11,10.7,13.5,9.1,0.847,7.5,3.7,3.8,49.4,49.4,19.5,14.4,0.34,14.4,44.1,7.5,3.7,3.8,49.4,0,0,0,,0
11,"West Virginia Mountaineers",13,10.2,12.6,9.2,0.909,7.5,4,3.5,53.6,53.6,16.7,11.4,0.29,11.4,47,7.5,4,3.5,53.6,0,0,0,,0
12,"UC Irvine Anteaters",13,10.1,12.5,7.8,0.779,8.4,3.4,5,40.4,40.4,10.7,8.4,0.17,8.4,38.9,8.4,3.4,5,40.4,0,0,0,,0
13,"Northern Colorado Bears",13,10.4,12.4,9.4,0.904,8,3.8,4.2,48.1,48.1,10.4,13.3,0.34,11.1,48.1,8,3.8,4.2,48.1,0,0,0,,0
14,"Morgan State Bears",15,10.5,12.3,11.3,1.083,8.1,4.8,3.3,59,59,10.2,15.3,0.35,14.6,56.7,8.1,4.8,3.3,59,0,0,0,,0
15,"Mercyhurst Lakers",11,10,12.2,11.8,1.182,8.6,5.5,3.2,63.2,63.2,9.1,9.1,0.16,9.1,58.2,8.6,5.5,3.2,63.2,0,0,0,,0
16,"Lafayette Leopards",11,10.4,11.9,6.5,0.632,8,3.1,4.9,38.6,38.6,19.3,5.3,0.11,5.3,32.5,8,3.1,4.9,38.6,0,0,0,,0
17,"Saint Mary's Gaels",13,9.1,11.8,8.5,0.932,6.8,3.5,3.3,51.1,51.1,16.1,13.6,0.31,12.7,47.5,6.8,3.5,3.3,51.1,0,0,0,,0
17,"Fresno State Bulldogs",13,9.3,11.8,10.6,1.14,7.5,4.5,3.1,59.2,59.2,8.3,14.9,0.32,14,58.7,7.5,4.5,3.1,59.2,0,0,0,,0
19,"Pennsylvania Quakers",11,8.8,11.6,7.9,0.897,7.1,3.5,3.6,48.7,48.7,13.4,7.2,0.17,7.2,45.4,7.1,3.5,3.6,48.7,0,0,0,,0
20,"Eastern Illinois Panthers",13,9.7,11.4,10.3,1.063,7.4,4,3.4,54.2,54.2,9.5,20.6,0.46,19.8,54.8,7.4,4,3.4,54.2,0,0,0,,0
21,"Boston University Terriers",11,8.5,11.3,7.5,0.892,7.3,3.5,3.8,47.5,47.5,9.7,9.7,0.16,9.7,44.1,7.3,3.5,3.8,47.5,0,0,0,,0
22,"Delaware Fightin Blue Hens",10,9.4,11.2,9.3,0.989,7.9,4.3,3.6,54.4,54.4,11.7,8.5,0.15,8.5,48.9,7.9,4.3,3.6,54.4,0,0,0,,0
22,"Siena Saints",11,9.8,11.2,7,0.713,7.6,2.5,5.1,33.3,33.3,8.3,15.7,0.38,14.8,38,7.6,2.5,5.1,33.3,0,0,0,,0
24,"Syracuse Orange",12,9.3,11.1,8.3,0.892,6.5,3.3,3.3,50,50,20.7,13.5,0.32,11.7,44.1,6.5,3.3,3.3,50,0,0,0,,0
24,"Oral Roberts Golden Eagles",12,10.1,11.1,9.7,0.959,7.7,4.2,3.5,54.3,54.3,14.9,11.6,0.27,9.9,50.4,7.7,4.2,3.5,54.3,0,0,0,,0
24,"Tulsa Golden Hurricane",12,9.5,11.1,8.3,0.868,7.7,3.5,4.2,45.7,45.7,9.6,10.5,0.25,10.5,45.6,7.7,3.5,4.2,45.7,0,0,0,,0
27,"Alabama A&M Bulldogs",10,8.7,11,8.1,0.931,6.7,3.5,3.2,52.2,52.2,14.9,14.9,0.3,13.8,47.1,6.7,3.5,3.2,52.2,0,0,0,,0
27,"Cincinnati Bearcats",11,9.1,11,9.8,1.08,7.5,4.2,3.3,56.1,56.1,8,12,0.27,12,55,7.5,4.2,3.3,56.1,0,0,0,,0
27,"Utah Valley Wolverines",11,9.5,11,9.4,0.99,7.5,4,3.5,53.7,53.7,10.6,11.5,0.28,11.5,51.9,7.5,4,3.5,53.7,0,0,0,,0
30,"Hofstra Pride",10,8.5,10.8,10.4,1.224,6.6,4.3,2.3,65.2,65.2,9.4,18.8,0.41,17.6,62.4,6.6,4.3,2.3,65.2,0,0,0,,0
30,"Norfolk State Spartans",15,9.4,10.8,9.3,0.986,6.9,3.3,3.7,47.1,47.1,11.3,20.6,0.48,19.9,49.6,6.9,3.3,3.7,47.1,0,0,0,,0
30,"Wagner Seahawks",10,9.3,10.8,8.5,0.914,7.2,3.6,3.6,50,50,10.8,15.1,0.35,12.9,48.4,7.2,3.6,3.6,50,0,0,0,,0
