sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Wake Forest Demon Deacons",14,11.7,15,13.1,1.122,9.9,5.7,4.2,57.6,57.6,6.1,14,0.27,12.2,56.7,9.9,5.7,4.2,57.6,0,0,0,,0
2,"Drake Bulldogs",11,12.5,14.7,13.7,1.102,9.8,5.5,4.3,56.5,56.5,6.6,19,0.43,15.3,58.4,9.8,5.5,4.3,56.5,0,0,0,,0
3,"Loyola (MD) Greyhounds",11,11,14.3,8.7,0.793,8.5,3.6,4.9,42.6,42.6,14,9.9,0.23,9.9,41.3,8.5,3.6,4.9,42.6,0,0,0,,0
4,"Portland Pilots",12,12.2,14.2,12.1,0.993,8.7,4.6,4.1,52.9,52.9,13.7,19.2,0.48,17.1,50.7,8.7,4.6,4.1,52.9,0,0,0,,0
4,"Southern Utah Thunderbirds",12,11.9,14.2,14.6,1.224,9.2,5.7,3.5,61.8,61.8,6.3,19.6,0.46,19.6,62.9,9.2,5.7,3.5,61.8,0,0,0,,0
6,"McNeese State Cowgirls",11,11.4,13.8,10.5,0.92,9.3,4.1,5.2,44.1,44.1,6.4,14.4,0.32,14.4,47.2,9.3,4.1,5.2,44.1,0,0,0,,0
7,"Wyoming Cowgirls",11,9.9,13.7,8.9,0.899,8.9,4,4.9,44.9,44.9,5.5,6.4,0.12,5.5,45,8.9,4,4.9,44.9,0,0,0,,0
8,"DePaul Blue Demons",14,11.8,13.6,11.1,0.939,9.6,5,4.6,51.9,51.9,9.1,11.5,0.25,11.5,48.5,9.6,5,4.6,51.9,0,0,0,,0
9,"Toledo Rockets",10,10.9,13.5,13.7,1.257,8.6,6,2.6,69.8,69.8,10.1,13.8,0.31,12.8,64.2,8.6,6,2.6,69.8,0,0,0,,0
10,"Army Black Knights",10,10.1,13.4,11.5,1.139,8,4.6,3.4,57.5,57.5,10.9,16.8,0.34,14.9,54.5,8,4.6,3.4,57.5,0,0,0,,0
11,"Drexel Dragons",11,10.5,13.3,10.4,0.991,8.7,4.4,4.4,50,50,8.7,12.2,0.24,12.2,48.7,8.7,4.4,4.4,50,0,0,0,,0
12,"Pepperdine Waves",12,11.1,13.2,10.2,0.917,8.8,4.3,4.4,49.5,49.5,13.5,8.3,0.2,7.5,46.6,8.8,4.3,4.4,49.5,0,0,0,,0
13,"Lindenwood University Lions",12,10.4,13,11.2,1.072,8.6,4.8,3.8,56.3,56.3,8.8,11.2,0.24,11.2,54.4,8.6,4.8,3.8,56.3,0,0,0,,0
13,"Bucknell Bison",11,9.5,13,10.2,1.067,7.5,4.3,3.3,56.6,56.6,9.5,18.1,0.37,18.1,54.3,7.5,4.3,3.3,56.6,0,0,0,,0
15,"Appalachian State Mountaineers",11,9.6,12.8,10,1.038,7.5,4,3.5,53,53,6.6,17,0.41,17,55.7,7.5,4,3.5,53,0,0,0,,0
15,"Cal State Fullerton Titans",11,11.8,12.8,11,0.931,8.7,4.1,4.6,46.9,46.9,9.2,18.5,0.48,16.9,50.8,8.7,4.1,4.6,46.9,0,0,0,,0
17,"Montana State Bobcats",11,11.4,12.7,9.1,0.8,9.7,4.2,5.5,43,43,8.8,7.2,0.15,7.2,41.6,9.7,4.2,5.5,43,0,0,0,,0
18,"Albany Great Danes",13,8.8,12.5,9.2,1.035,7.2,4,3.2,55.3,55.3,7.8,12.2,0.28,10.4,53,7.2,4,3.2,55.3,0,0,0,,0
19,"Bryant University Bulldogs",13,9.8,12.4,10.5,1.071,8,4.5,3.5,55.8,55.8,7.1,15.7,0.33,15.7,55.9,8,4.5,3.5,55.8,0,0,0,,0
19,"Rider Broncs",11,9.4,12.4,9.2,0.981,7.4,4.1,3.3,55.6,55.6,13.6,7.8,0.2,7.8,51.5,7.4,4.1,3.3,55.6,0,0,0,,0
21,"Nebraska Cornhuskers",12,10.3,12.3,11.7,1.129,8.9,5.3,3.7,58.9,58.9,6.5,8.1,0.18,8.1,58.1,8.9,5.3,3.7,58.9,0,0,0,,0
21,"Colorado Buffaloes",13,10.4,12.3,10.8,1.037,8.4,4.6,3.8,55,55,8.9,12.6,0.28,11.1,54.1,8.4,4.6,3.8,55,0,0,0,,0
23,"Mississippi Rebels",13,10.5,11.9,10.5,1,7.4,4.1,3.3,55.2,55.2,16.1,17.5,0.45,14.6,51.8,7.4,4.1,3.3,55.2,0,0,0,,0
24,"Fresno State Bulldogs",13,9.8,11.8,9.1,0.922,8.1,3.9,4.2,48.6,48.6,10.9,10.2,0.21,9.4,46.1,8.1,3.9,4.2,48.6,0,0,0,,0
25,"Arizona State Sun Devils",14,9.9,11.7,9.8,0.993,8.1,4.4,3.6,54.9,54.9,10.9,8.7,0.19,7.2,50.7,8.1,4.4,3.6,54.9,0,0,0,,0
25,"Saint Joseph's Hawks",10,9,11.7,11,1.222,7.1,4.5,2.6,63.4,63.4,10,17.8,0.37,17.8,61.1,7.1,4.5,2.6,63.4,0,0,0,,0
27,"Maryland-Eastern Shore Hawks",15,10,11.6,9,0.9,7.7,3.5,4.2,45.7,45.7,11.3,15.3,0.34,14.7,46.7,7.7,3.5,4.2,45.7,0,0,0,,0
28,"Pennsylvania Quakers",11,8.9,11.4,10,1.122,7,4.2,2.8,59.7,59.7,11.2,16.3,0.34,15.3,56.1,7,4.2,2.8,59.7,0,0,0,,0
