sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Albany Great Danes",13,5.7,8,3.7,0.649,4.2,1.2,2.9,29.6,35.2,17.6,9.5,0.26,9.5,29.7,2.5,0.8,1.8,30.3,1.6,0.5,1.2,28.6,0.39
2,"Evansville Aces",12,6.3,7.4,5.6,0.893,5.1,2.3,2.8,44.3,45.9,12,10.7,0.21,10.7,42.7,3.5,2.1,1.4,59.5,1.6,0.2,1.4,10.5,0.31
3,"Virginia Cavaliers",12,5.7,7.3,2.8,0.5,4.6,0.8,3.8,18.2,21.8,10.3,10.3,0.24,10.3,23.5,2.8,0.5,2.3,17.6,1.8,0.3,1.4,19,0.38
4,"Iowa Hawkeyes",12,5.8,7.2,3.7,0.629,4.9,1.5,3.4,30.5,37.3,15.7,0,0,0,25.7,2.9,0.8,2.1,28.6,2,0.7,1.3,33.3,0.41
5,"South Florida Bulls",13,5.9,7.1,5.3,0.896,4.9,1.7,3.2,34.4,42.2,6.5,14.3,0.3,13,39,2.5,0.9,1.5,37.5,2.5,0.8,1.7,31.3,0.5
6,"Tennessee Tech Golden Eagles",11,5.5,6.9,5.3,0.951,4.4,1.9,2.5,43.8,50,9.8,14.8,0.33,11.5,45.9,2.9,1.4,1.5,46.9,1.5,0.5,0.9,37.5,0.33
6,"Quinnipiac Bobcats",11,5.2,6.9,3.1,0.596,4.1,1.3,2.8,31.1,34.4,17.5,5.3,0.11,5.3,26.3,3.1,1,2.1,32.4,1,0.3,0.7,27.3,0.24
8,"Kentucky Wildcats",13,5.2,6.7,2.7,0.522,3.9,0.8,3.1,21.6,27.5,14.9,10.4,0.25,7.5,22.4,2,0.4,1.6,19.2,1.9,0.5,1.5,24,0.49
8,"Colorado State Rams",13,5,6.7,3.5,0.692,3.8,1.4,2.5,36,40,20,4.6,0.1,4.6,30.8,2.6,1.1,1.5,41.2,1.2,0.3,0.9,25,0.32
8,"North Carolina State Wolfpack",13,5.6,6.7,4.3,0.767,5,1.7,3.3,33.8,41.5,9.6,1.4,0.03,1.4,31.5,2,0.9,1.1,46.2,3,0.8,2.2,25.6,0.6
11,"Holy Cross Crusaders",11,5.2,6.6,4,0.772,3.8,1.5,2.4,38.1,42.9,15.8,12.3,0.31,10.5,36.8,2.5,1.1,1.4,44.4,1.4,0.4,1,26.7,0.36
11,"High Point Panthers",13,5.7,6.6,3.2,0.568,4.8,1.3,3.5,27,28.6,10.8,6.8,0.13,5.4,27,3.3,1.2,2.2,34.9,1.5,0.2,1.4,10,0.32
13,"Army Black Knights",10,4.7,6.5,3.9,0.83,3,1.5,1.5,50,51.7,27.7,14.9,0.37,12.8,40.4,2.6,1.4,1.2,53.8,0.4,0.1,0.3,25,0.13
13,"Clemson Tigers",13,4.5,6.5,4.5,1,3.9,1.8,2.1,47.1,54.9,11.9,3.4,0.06,3.4,42.4,2.5,1.2,1.3,48.5,1.4,0.6,0.8,44.4,0.35
15,"Illinois Fighting Illini",12,5.1,6.4,3,0.59,4,1.2,2.8,29.2,32.3,14.8,6.6,0.15,4.9,27.9,3,0.9,2.1,30.6,1,0.3,0.8,25,0.25
15,"Rhode Island Rams",12,4.8,6.4,3.9,0.825,3.8,1.4,2.4,37,45.7,12.3,7,0.17,7,35.1,2.2,0.8,1.4,34.6,1.7,0.7,1,40,0.43
17,"Princeton Tigers",13,5.1,6.3,3.5,0.682,3.8,1.4,2.5,36,40,19.7,6.1,0.14,6.1,31.8,2.5,1.1,1.4,43.8,1.4,0.3,1.1,22.2,0.36
17,"Missouri State Lady Bears",13,5.4,6.3,3.8,0.7,4.2,1.7,2.5,40,44.5,20,2.9,0.05,2.9,31.4,3.1,1.3,1.8,42.5,1.2,0.4,0.8,33.3,0.27
