sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Mississippi Rebels",13,19,23.8,12.8,0.672,13.2,4.5,8.6,34.5,36,19.4,12.1,0.35,10.9,35.2,11.4,4.2,7.2,36.5,1.8,0.4,1.4,21.7,0.13
2,"California Golden Bears",13,16.8,21.3,13.2,0.785,13.5,4.9,8.5,36.6,40,11.9,9.1,0.22,9.1,37.4,11.7,4,7.7,34.2,1.8,0.9,0.8,52.2,0.13
3,"Kentucky Wildcats",13,16.3,21.2,9.5,0.58,12.4,3.4,9,27.3,30.7,16.5,8.5,0.21,7.5,27.8,9.4,2.5,6.8,27,3,0.8,2.2,28.2,0.24
4,"Duke Blue Devils",12,17.1,20.8,10.9,0.639,12.7,4,8.7,31.6,35.9,19.5,7.8,0.19,6.8,29.8,9.3,2.9,6.3,31.5,3.4,1.1,2.3,31.7,0.27
5,"Texas A&M Aggies",9,16.7,20.4,9.7,0.58,10.8,3.2,7.6,29.9,32.5,26.7,12.7,0.33,9.3,28,8.1,2.7,5.4,32.9,2.7,0.6,2.1,20.8,0.25
6,"TCU Horned Frogs",13,16.5,20,7.6,0.463,13.1,2.8,10.2,21.8,24.1,16.4,4.2,0.11,3.7,21.5,9.4,2.2,7.2,23.8,3.7,0.6,3.1,16.7,0.28
7,"Clemson Tigers",13,14,19.9,9.2,0.654,9.8,3.4,6.5,34.4,37.1,21.4,9.9,0.26,9.9,31.9,7.7,2.8,4.8,37,2.2,0.5,1.6,25,0.22
7,"North Carolina State Wolfpack",13,16.8,19.9,11.5,0.683,14.2,4.6,9.6,32.4,35.1,9.6,6.9,0.15,6.9,32.6,10.2,3.8,6.4,37.6,4,0.8,3.2,19.2,0.28
9,"Indiana Hoosiers",13,16.2,19.8,11.4,0.705,11.2,3.9,7.3,34.9,37,18.6,13.8,0.37,9.5,35.2,9.1,3.5,5.6,38.1,2.2,0.5,1.7,21.4,0.19
9,"South Dakota Coyotes",13,16.2,19.8,10.2,0.626,12.1,3.2,8.8,26.8,29,14.7,12.8,0.32,11.4,30.3,10.2,2.7,7.5,26.5,1.9,0.5,1.4,28,0.16
11,"South Carolina Gamecocks",13,16.8,19.6,8.5,0.507,13.2,3.2,10,24,27.2,17.8,4.6,0.12,4.6,22.4,9.5,2.3,7.2,24.2,3.6,0.8,2.8,23.4,0.27
12,"Virginia Tech Hokies",14,16.5,19.5,9.6,0.58,12.3,3.6,8.6,29.7,31.7,18.6,7.8,0.2,7.4,28.6,10.6,3.1,7.5,29.5,1.6,0.5,1.1,30.4,0.13
13,"Texas-(Austin) Longhorns",14,15.6,19.2,10.1,0.644,9.4,3,6.4,31.8,36.4,26.5,13.7,0.45,11.9,32,6.9,2.1,4.7,31.3,2.6,0.9,1.7,33.3,0.27
13,"Davidson Wildcats",14,14.9,19.2,11.5,0.77,9.7,4.2,5.5,43.4,46.7,25.4,11,0.32,8.1,36.8,7.9,3.6,4.3,45.5,1.9,0.6,1.2,34.6,0.19
13,"UCLA Bruins",12,15.1,19.2,8.9,0.591,11.9,3.3,8.6,28,31.5,15.5,6.6,0.15,5.5,27.6,9.3,2.5,6.8,27,2.7,0.8,1.8,31.3,0.22
16,"Tennessee Tech Golden Eagles",11,14.9,18.6,10.3,0.689,10.3,3.9,6.4,38.1,39.4,20.7,11.6,0.32,9.1,34.8,8.4,3.6,4.7,43.5,1.9,0.3,1.6,14.3,0.19
17,"Utah Tech University Trailblazers",10,16.3,18.4,14.3,0.877,12.9,5.2,7.7,40.3,45,11,12.3,0.28,11,41.7,10.9,4,6.9,36.7,2,1.2,0.8,60,0.16
17,"Eastern Kentucky Colonels",12,15.7,18.4,11.5,0.734,11.4,3.9,7.5,34.3,39.1,16.5,12.8,0.32,11.2,35.1,7.8,2.8,5,36.2,3.6,1.1,2.5,30.2,0.31
19,"Oklahoma State Cowgirls",14,14.9,18.3,12.4,0.833,10.5,4.9,5.6,46.3,50.7,21.1,11,0.28,10,39.7,8.2,3.9,4.3,47.8,2.3,0.9,1.4,40.6,0.22
19,"Rice Owls",13,14.7,18.3,8.6,0.586,10.6,3.2,7.5,29.7,30.8,16.8,12,0.32,8.4,30.9,9.2,2.9,6.2,31.9,1.5,0.2,1.2,15.8,0.14
21,"UCF Knights",12,15.4,18.2,7.8,0.503,9.9,2.8,7.1,28.6,30.3,27.6,8.6,0.26,7,25.9,7.3,2.5,4.8,34.1,2.6,0.3,2.3,12.9,0.26
22,"UC Davis Aggies",12,14.9,18,10.5,0.704,11.4,4.1,7.3,35.8,40.5,19,5,0.12,4.5,31.8,8.6,3,5.6,35,2.8,1.1,1.8,38.2,0.25
22,"Villanova Wildcats",12,14.7,18,10.8,0.739,10.8,4.2,6.6,38.8,41.9,20.5,9.7,0.22,9.1,34.7,8.3,3.5,4.8,42,2.4,0.7,1.8,27.6,0.22
22,"Rhode Island Rams",12,13.4,18,8.3,0.615,10.8,3.3,7.6,30,32.3,14.3,5.6,0.14,4.3,29.2,8.1,2.8,5.3,34,2.8,0.5,2.3,18.2,0.25
25,"Lipscomb Bisons",11,15.1,17.9,11.4,0.753,11,4.5,6.5,40.5,41.7,19.3,11.4,0.27,10.8,37.3,9.2,4.2,5,45.5,1.8,0.3,1.5,15,0.17
25,"San Francisco Dons",11,15.4,17.9,8.5,0.556,11.5,3.3,8.2,28.6,32.1,18.3,7.7,0.2,6.5,26.6,8.7,2.5,6.3,28.1,2.7,0.8,1.9,30,0.24
27,"Northwestern State Demons",11,14.5,17.8,11.2,0.774,10.7,4.3,6.5,39.8,42.8,18.2,10.1,0.24,8.8,37.1,7.8,3.6,4.2,46.5,2.9,0.6,2.3,21.9,0.27
27,"Washington State Cougars",13,15,17.8,11.2,0.749,12.3,4.8,7.5,38.8,42.5,13.3,5.1,0.12,3.6,34.9,9.5,3.8,5.7,40.3,2.8,0.9,1.8,33.3,0.23
29,"Oklahoma Sooners",13,16.6,17.7,8.7,0.523,12.4,3.2,9.2,25.5,28,19,7.9,0.2,7.9,25.5,8.8,2.5,6.3,28.7,3.5,0.6,2.9,17.4,0.29
29,"Illinois State Redbirds",12,14.4,17.7,10.3,0.711,10.8,4,6.8,36.9,39.6,16.8,8.1,0.22,7.5,34.7,8,3.4,4.6,42.7,2.8,0.6,2.3,20.6,0.26
31,"Kansas State Wildcats",14,14.4,17.6,11.3,0.786,10.1,4.1,6,40.8,43.7,19.4,12.4,0.32,9.5,38.3,8.1,3.6,4.6,43.9,2,0.6,1.4,28.6,0.2
31,"Colorado State Rams",13,13.2,17.6,8.9,0.678,10,3.2,6.8,32.3,35.8,15.2,9.9,0.24,9.4,32.2,7.8,2.5,5.3,32.4,2.2,0.7,1.5,32.1,0.22
33,"Minnesota Golden Gophers",12,13.4,17.5,7.4,0.553,9,2.4,6.6,26.9,31.5,24.2,8.7,0.27,7.5,24.8,6.3,1.6,4.8,25,2.7,0.8,1.8,31.3,0.3
34,"North Dakota State Bison",12,13.5,16.9,9.4,0.698,10.3,3.8,6.5,36.6,39.4,18.5,6.2,0.15,5.6,33.3,8.7,3.2,5.5,36.5,1.6,0.6,1,36.8,0.15
35,"Fairleigh Dickinson Knights",11,12.8,16.8,8.1,0.631,10.1,3,7.1,29.7,33.8,14.9,7.8,0.19,7.8,29.1,7.7,2.2,5.5,28.2,2.4,0.8,1.5,34.6,0.23
36,"Florida Atlantic Owls",12,14.1,16.7,10.3,0.728,10.3,3.8,6.5,36.6,38.2,15.4,13,0.35,11.8,36.7,8.8,3.4,5.3,39,1.5,0.3,1.2,22.2,0.15
37,"Virginia Cavaliers",12,12.8,16.4,7.9,0.621,8.8,2.8,6,31.4,34.8,23.5,9.8,0.26,7.8,28.8,7.2,2.2,5,30.2,1.6,0.6,1,36.8,0.18
38,"Central Arkansas Bears",12,13.6,16.3,8.3,0.607,9.1,2.6,6.5,28.4,32.6,22.1,11,0.33,9.2,29.4,6,1.8,4.2,30.6,3.1,0.8,2.3,24.3,0.34
38,"Oregon State Beavers",13,12.8,16.3,10.8,0.844,11.2,4.5,6.6,40.7,43.1,7.2,7.2,0.16,6.6,40.1,8.9,4,4.9,44.8,2.2,0.5,1.7,24.1,0.2
38,"High Point Panthers",13,14.1,16.3,8.7,0.617,10.8,3.6,7.2,33.3,35.8,19.1,4.9,0.11,4.4,29.5,8.5,3.1,5.5,36,2.3,0.5,1.8,23.3,0.21
38,"LSU Tigers",13,14.6,16.3,7.9,0.542,9.2,2.5,6.8,26.7,30.8,26.8,11.6,0.34,9.5,25.8,5.5,1.7,3.8,30.6,3.7,0.8,2.9,20.8,0.4
38,"Texas-(San Antonio) Roadrunners",11,13.5,16.3,8,0.595,10.7,3.1,7.6,28.8,30.9,13.5,7.4,0.17,6.8,29.1,8.5,2.6,5.9,30.9,2.2,0.5,1.7,20.8,0.2
43,"Washington Huskies",12,12.5,16.2,5.9,0.473,9.7,2.8,6.9,28.4,28.9,20,3.3,0.08,3.3,24,8.2,2.7,5.5,32.7,1.5,0.1,1.4,5.6,0.16
43,"Missouri State Lady Bears",13,13.9,16.2,9.9,0.713,10.2,3.5,6.8,33.8,36.5,16.6,13.8,0.32,10.5,34.8,8.1,2.9,5.2,36.2,2.2,0.5,1.6,25,0.21
45,"Richmond Spiders",14,12.6,16.1,8.1,0.648,10.1,3.1,6.9,31.2,33.7,13.6,7.4,0.17,7.4,30.7,8.2,2.6,5.6,32.2,1.9,0.5,1.4,26.9,0.18
45,"North Carolina-Asheville Bulldogs",12,14,16.1,8.5,0.607,9.5,2.9,6.6,30.7,35.1,23.2,11.3,0.3,9.5,28,7.5,2.1,5.4,27.8,2,0.8,1.2,41.7,0.21
47,"Stanford Cardinal",13,12.4,16,8.5,0.689,9.5,3.2,6.3,33.3,36.2,14.9,9.9,0.24,9.3,33.5,8.1,2.6,5.5,32.4,1.4,0.5,0.8,38.9,0.15
47,"Campbell Fighting Camels",15,12.9,16,7.1,0.554,9.3,2.2,7.1,23.6,27.1,17.1,11.9,0.31,10.9,26.9,6.7,1.5,5.2,22.8,2.6,0.7,1.9,25.6,0.28
47,"Cal State Bakersfield Roadrunners",12,13.3,16,11.9,0.894,9.5,4.1,5.4,43,47.4,15.6,15.6,0.4,13.1,43.8,7.1,3.3,3.8,45.9,2.4,0.8,1.6,34.5,0.25
47,"Tarleton State Texans",11,13.9,16,10,0.719,10.2,3.5,6.6,34.8,38.4,17,11.8,0.3,10.5,34,7.6,2.8,4.8,36.9,2.5,0.7,1.8,28.6,0.25
47,"Southern Utah Thunderbirds",12,13,16,11.1,0.853,10.1,3.8,6.3,38,43.4,12.8,10.9,0.26,9,39.1,7.1,2.8,4.3,38.8,3,1.1,1.9,36.1,0.3
52,"Western Illinois Leathernecks",11,12.8,15.9,8.9,0.695,9.5,3.5,6,37.1,39.5,19.1,7.8,0.19,7.8,33.3,7.7,3.1,4.6,40,1.8,0.5,1.4,25,0.19
52,"Utah Utes",13,12.8,15.9,8.7,0.677,10.3,3.6,6.7,35.1,38.8,16.2,4.2,0.1,4.2,31.1,7.5,2.8,4.6,38.1,2.8,0.8,2.1,27,0.28
54,"UTEP Miners",10,13.2,15.8,9.8,0.742,9.1,3.1,6,34.1,37.4,18.2,13.6,0.4,12.1,36.4,6.5,2.5,4,38.5,2.6,0.6,2,23.1,0.29
55,"Portland State Vikings",12,13.4,15.7,10,0.745,10.5,3.8,6.8,35.7,38.9,14.3,9.9,0.22,9.9,34.8,8.5,3.1,5.4,36.3,2,0.7,1.3,33.3,0.19
55,"Western Michigan Broncos",10,12.9,15.7,10.6,0.822,9.8,4.2,5.6,42.9,44.9,16.3,10.9,0.24,9.3,39.5,7.7,3.8,3.9,49.4,2.1,0.4,1.7,19,0.21
55,"North Carolina Tar Heels",14,12.5,15.7,6.8,0.543,7.6,2.6,5,34,35.8,31.4,9.7,0.29,8,28,6.3,2.3,4,36.4,1.3,0.3,1,22.2,0.17
58,"Iowa State Cyclones",13,12.4,15.5,9.4,0.758,9.5,3.7,5.8,39,41.5,16.1,9.3,0.22,9.3,36.6,8.3,3.2,5.1,38.9,1.2,0.5,0.7,40,0.12
59,"South Florida Bulls",13,12.8,15.4,8.8,0.683,9.7,3.2,6.5,33.3,36.9,17.4,7.8,0.21,6.6,32.3,6.9,2.5,4.4,36.7,2.8,0.7,2.1,25,0.29
59,"South Dakota State Jackrabbits",14,12.6,15.4,8.6,0.684,10.2,3.3,6.9,32.2,35.7,13.6,9,0.18,9,31.1,7.6,2.6,5,34,2.6,0.7,1.9,27,0.26
61,"Bryant University Bulldogs",13,11.8,15.2,6.8,0.575,8.5,2.5,6,29.1,29.5,18.3,11.8,0.3,9.2,28.8,7.2,2.4,4.8,33,1.2,0.1,1.2,6.3,0.15
62,"Idaho Vandals",13,13,15.1,9.8,0.757,10.2,3.7,6.5,36.4,39.4,12.4,10.7,0.26,10.1,36.7,7.7,3.1,4.6,40,2.5,0.6,1.8,25,0.24
62,"Santa Clara Broncos",13,12.8,15.1,6.7,0.521,8.8,2.4,6.5,27,27.8,22.8,9.6,0.26,7.8,25.7,7.3,2.2,5.1,30.5,1.5,0.2,1.4,10,0.17
62,"Toledo Rockets",10,11.9,15.1,10.4,0.874,8.2,4.2,4,51.2,51.8,22.7,10.1,0.27,8.4,43.7,7.4,4.1,3.3,55.4,0.8,0.1,0.7,12.5,0.1
65,"Navy Midshipmen",11,13,15,10.5,0.811,10.5,4.1,6.5,38.8,41.8,11.9,9.1,0.2,8.4,38.5,8.2,3.5,4.7,42.2,2.4,0.6,1.7,26.9,0.22
65,"Iowa Hawkeyes",12,12.3,15,8.4,0.687,9.7,3.2,6.5,32.8,37.1,12.9,8.8,0.22,8.8,33.3,6.7,2.3,4.3,35,3,0.8,2.2,27.8,0.31
65,"Wisconsin-(Green Bay) Phoenix",13,11.8,15,8.8,0.752,9,3.3,5.7,36.8,41.9,17.6,6.5,0.17,5.9,33.3,5.9,2.4,3.5,40.3,3.1,0.9,2.2,30,0.34
65,"Wisconsin Badgers",12,12.2,15,7.4,0.61,9.3,2.8,6.5,30.4,32.6,16.4,8.2,0.2,8.2,30.1,7.3,2.4,4.9,33,2,0.4,1.6,20.8,0.21
65,"Kansas Jayhawks",13,12.1,15,6.8,0.567,8.5,2.4,6.2,27.9,29.7,19.7,10.2,0.28,8.9,28,6.8,2.1,4.8,30.3,1.7,0.3,1.4,18.2,0.2
70,"Tennessee State Tigers",11,13.2,14.9,10.4,0.786,9,3.7,5.3,41.4,44.9,21.4,12.4,0.33,8.3,37.9,7.5,3.1,4.5,41,1.5,0.6,0.8,43.8,0.16
