sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Samford Bulldogs",15,18.4,24,13.1,0.714,13.4,4.8,8.6,35.8,38.8,17.8,10.5,0.28,9.4,34.1,9.9,4,5.9,40.3,3.5,0.8,2.7,23.1,0.26
2,"Prairie View A&M Panthers",11,20.7,23.8,14.5,0.697,15.9,5.5,10.4,34.9,37.7,14.5,11,0.26,10.1,34.6,12.6,4.6,8,36.7,3.3,0.9,2.4,27.8,0.21
3,"Kansas Jayhawks",13,18.3,23.3,17,0.929,12.3,5.5,6.8,44.4,48.1,16.8,20.6,0.54,17.2,44.5,10.2,4.5,5.6,44.7,2.2,0.9,1.2,42.9,0.18
4,"Wright State Raiders",14,18.6,22.3,12.6,0.678,13.7,4.7,9,34.4,37.2,19.2,8,0.21,7.3,32.6,10.7,3.9,6.8,36.7,3,0.8,2.2,26.2,0.22
5,"Louisiana-(Lafayette) Ragin Cajuns",11,19.5,22.1,10.3,0.528,14.5,3.6,10.8,25.2,26.1,17.3,9.3,0.25,7.9,27.1,12.4,3.4,9,27.2,2.1,0.3,1.8,13,0.14
6,"Incarnate Word Cardinals",9,17.6,21.7,11.3,0.646,11,3.7,7.3,33.3,35.9,24.7,16.5,0.46,15.2,31.6,8.6,3.1,5.4,36.4,2.4,0.6,1.9,22.7,0.22
7,"Bethune-Cookman Wildcats",10,17.3,20.5,9.4,0.543,12.7,3.3,9.4,26,27.6,17.9,10.4,0.26,8.1,27.2,10.4,2.9,7.5,27.9,2.3,0.4,1.9,17.4,0.18
7,"Massachusetts Lowell",12,15.8,20.5,10.5,0.663,12.3,3.9,8.3,32,36.1,15.3,7.9,0.2,6.8,30.5,8.8,2.9,5.9,33,3.4,1,2.4,29.3,0.28
9,"Texas A&M-(Corpus Christi) Islanders",9,16.6,20,9.6,0.577,10.1,2.8,7.3,27.5,31.3,26.2,14.1,0.44,12.1,28.9,7.1,2,5.1,28.1,3,0.8,2.2,25.9,0.3
10,"UC San Diego Tritons",11,16.5,19.9,12,0.725,12.7,4.7,8,37.1,40.4,16.5,9.3,0.21,7.7,34.6,10.5,3.9,6.5,37.4,2.3,0.8,1.5,36,0.18
11,"Northern Illinois Huskies",11,15.3,19.7,10.5,0.685,11.4,3.6,7.7,32,34.8,15.5,12.5,0.31,11.3,33.3,9.5,3,6.5,31.7,1.9,0.6,1.3,33.3,0.17
12,"Arizona State Sun Devils",14,16.1,19.2,10.9,0.673,11.8,4,7.8,33.9,36.1,19,11.1,0.26,8,32.7,9.9,3.5,6.4,35.5,1.9,0.5,1.4,25.9,0.16
13,"Chattanooga Mocs",12,14.8,18.8,10.3,0.691,11.1,3.8,7.3,34.6,35.3,15.2,12.4,0.3,9.6,34.8,9.9,3.7,6.3,37,1.2,0.2,1,14.3,0.11
14,"Vermont Catamounts",14,13.5,18.5,10.8,0.799,10.7,4.5,6.2,42,44,15.9,5.8,0.13,5.8,38.1,8.7,4.1,4.6,46.7,2,0.4,1.6,21.4,0.19
15,"Illinois Fighting Illini",12,15.2,18.3,13.6,0.896,10.9,5.3,5.7,48.1,48.9,18.1,12.6,0.31,8.8,44.5,10.3,5.1,5.3,49.2,0.6,0.2,0.4,28.6,0.05
16,"Clemson Tigers",13,13.8,18.2,11.3,0.821,9.8,4.4,5.5,44.5,47.7,17.3,12.8,0.34,12.3,39.7,7.4,3.8,3.6,51,2.5,0.6,1.8,25,0.25
17,"Air Force Falcons",12,14.7,18.1,9.8,0.67,11.4,3.8,7.6,33.6,34.7,14.2,11.4,0.26,10.2,33,9.8,3.6,6.3,36.4,1.6,0.3,1.3,15.8,0.14
17,"Florida A&M Rattlers",10,16.1,18.1,7.7,0.478,11.7,2.6,9.1,22.2,22.6,16.1,11.2,0.31,8.1,26.1,9.7,2.5,7.2,25.8,2,0.1,1.9,5,0.17
19,"Middle Tennessee State Blue Raiders",12,13.9,18,10,0.719,9.6,3.4,6.2,35.7,39.1,19.8,12.6,0.35,9.6,35.3,7,2.8,4.3,39.3,2.6,0.7,1.9,25.8,0.27
19,"New Orleans Privateers",10,16.5,18,10.2,0.618,11.3,3.2,8.1,28.3,31,18.2,13.9,0.4,12.7,31.5,8.6,2.6,6,30.2,2.7,0.6,2.1,22.2,0.24
21,"Missouri State Lady Bears",13,15.5,17.9,10.8,0.693,9.9,3.2,6.7,32.6,36,22.3,15.3,0.45,13.9,34.2,8.6,2.5,6.1,29.5,1.3,0.7,0.6,52.9,0.13
22,"Weber State Wildcats",13,14,17.5,9.2,0.659,10.6,3.7,6.9,34.8,38.4,18.1,7.1,0.17,5.5,32.4,7.8,2.9,4.8,37.6,2.8,0.8,2.1,27,0.27
22,"Northern Iowa Panthers",11,13.7,17.5,9,0.656,10.5,3.3,7.2,31.3,34.3,15.9,9.3,0.23,6,31.8,8.1,2.6,5.5,32.6,2.4,0.6,1.7,26.9,0.23
24,"Miami (FL) Hurricanes",12,14.4,17.4,13.5,0.936,12,5.5,6.5,45.8,49.3,9.8,8.1,0.18,6.4,45.1,8.9,4.7,4.3,52.3,3.1,0.8,2.3,27,0.26
24,"Pittsburgh Panthers",14,14.2,17.4,8.9,0.628,10.9,3.4,7.6,30.7,31.7,13.6,9.5,0.25,9,32.2,9.3,3.1,6.1,33.8,1.6,0.2,1.4,13,0.15
26,"Lamar Cardinals",10,14.4,17.2,10.8,0.75,9.4,3.6,5.8,38.3,41,22.2,13.9,0.4,12.5,37.5,7.9,3.1,4.8,39.2,1.5,0.5,1,33.3,0.16
27,"Delaware State Hornets",13,13.7,17,7.2,0.522,9.9,3,6.9,30.2,30.6,20.2,7.9,0.21,7.3,27.5,8.7,2.9,5.8,33.6,1.2,0.1,1.2,6.3,0.12
27,"Manhattan Jaspers",10,13.7,17,6.2,0.453,9.9,2.3,7.6,23.2,24.7,20.4,7.3,0.2,7.3,22.6,8,2,6,25,1.9,0.3,1.6,15.8,0.19
29,"Baylor Bears",14,13.9,16.7,10.4,0.744,9.1,3.4,5.7,37.5,40.6,22.1,14.4,0.41,10.8,35.9,6.6,2.9,3.7,43.5,2.6,0.6,2,22.2,0.28
30,"San Diego State Aztecs",11,13.2,16.6,10,0.759,9.3,3.7,5.5,40.2,43.1,21.4,9,0.25,5.5,36.6,7.5,3.2,4.4,42.2,1.7,0.5,1.2,31.6,0.19
30,"Charlotte 49ers",13,14.2,16.6,9.6,0.676,10.8,3.6,7.2,33.3,36.9,16.8,7.6,0.19,7,31.9,8.1,2.8,5.2,35.2,2.8,0.8,2,27.8,0.26
30,"Boise State Broncos",13,13.9,16.6,10.9,0.785,10,3.9,6.1,39.2,43.8,18.8,10.5,0.27,6.6,37,7.5,3,4.5,39.8,2.5,0.9,1.5,37.5,0.25
30,"UNC Greensboro Spartans",13,13.4,16.6,7.7,0.575,9.7,2.5,7.2,26.2,29,18.4,11.5,0.29,9.8,28.2,7.5,2,5.5,26.8,2.2,0.5,1.7,24.1,0.23
34,"Indiana State Sycamores",10,15.1,16.5,10.6,0.702,10.4,3.6,6.8,34.6,37.5,19.9,13.9,0.37,10.6,35.1,8.2,3,5.2,36.6,2.2,0.6,1.6,27.3,0.21
34,"USC Trojans",12,13.9,16.5,9.3,0.665,11.4,3.6,7.8,31.4,33.9,10.8,9,0.2,7.8,32.3,8.8,3,5.8,34,2.6,0.6,2,22.6,0.23
36,"Tennessee State Tigers",11,14.5,16.4,9.9,0.686,10.4,3.6,6.7,35.1,38.2,18.9,12.6,0.32,11.9,32.7,8,3,5,37.5,2.4,0.6,1.7,26.9,0.23
36,"Wichita State Shockers",13,13.7,16.4,8.6,0.629,9.5,3.2,6.3,33.3,36.6,21.9,12.9,0.33,11.2,30.3,6.2,2.5,3.7,40.7,3.2,0.6,2.6,19,0.34
38,"Indiana Hoosiers",13,12.6,16.2,11.9,0.945,9.3,4.5,4.8,47.9,50.8,16.5,12.2,0.3,11,45.1,7.7,3.9,3.8,51,1.6,0.5,1.1,33.3,0.17
38,"Brigham Young Cougars",13,14.6,16.2,8.8,0.6,10.5,3.5,7.1,32.8,34.3,21.6,6.8,0.18,5.8,30,8.1,3.2,4.9,39,2.5,0.3,2.2,12.5,0.23
40,"Kansas State Wildcats",14,13.1,16.1,9.4,0.712,9.1,3.1,5.9,34.6,37.4,20.1,12.5,0.34,9.8,34.2,7.4,2.6,4.7,35.9,1.7,0.5,1.2,29.2,0.19
40,"Memphis Tigers",12,14.5,16.1,7.9,0.546,10.8,3.1,7.8,28.5,28.8,16.7,10.3,0.25,8,28.7,9.5,3,6.5,31.6,1.3,0.1,1.3,6.3,0.12
40,"Delaware Fightin Blue Hens",10,13.9,16.1,10.4,0.748,10.9,3.9,7,35.8,38.5,12.2,10.8,0.26,10.1,37.4,8.6,3.3,5.3,38.4,2.3,0.6,1.7,26.1,0.21
43,"Mississippi Valley State Delta Devils",11,14.3,16,8.3,0.58,9.7,3.2,6.5,32.7,35.5,22.9,10.2,0.28,8.9,29.9,7.6,2.6,5,34.5,2.1,0.5,1.5,26.1,0.21
44,"Morgan State Bears",15,12.3,15.9,6.8,0.554,8.1,2.3,5.8,28.1,33.1,26.6,8.7,0.26,7.1,25.5,5.9,1.5,4.4,25,2.2,0.8,1.4,36.4,0.27
44,"SIU Edwardsville Cougars",12,12.9,15.9,8.8,0.677,10.3,3.2,7.2,30.6,36.7,14.2,7.1,0.16,7.1,29.7,6.8,1.9,4.9,28,3.5,1.3,2.3,35.7,0.34
44,"Fresno State Bulldogs",13,13.2,15.9,7.2,0.541,10.8,3.2,7.5,30,31.4,15.1,3.5,0.09,3.5,26.7,9.6,2.9,6.7,30.4,1.2,0.3,0.8,26.7,0.11
47,"Georgia Southern Eagles",12,13.1,15.8,9.9,0.758,9.3,3.3,5.9,36,38.3,16.6,14.6,0.39,10.8,38.2,7.3,2.9,4.3,40.2,2,0.4,1.6,20.8,0.22
48,"Arkansas-(Pine Bluff) Golden Lions",10,13.4,15.7,5.5,0.41,10.4,2.3,8.1,22.1,24,19.4,3,0.08,2.2,19.4,8.2,1.9,6.3,23.2,2.2,0.4,1.8,18.2,0.21
49,"Hofstra Pride",10,12.1,15.6,7.2,0.595,9,2.7,6.3,30,31.7,18.2,8.3,0.21,7.4,28.9,7.1,2.4,4.7,33.8,1.9,0.3,1.6,15.8,0.21
49,"Washington State Cougars",13,12.4,15.6,9,0.727,8.8,3.5,5.4,39.1,41.7,21.7,8.1,0.21,6.2,34.8,6.6,3,3.6,45.3,2.2,0.5,1.8,20.7,0.25
49,"Eastern Washington University",12,13.6,15.6,9.3,0.687,11.3,3.5,7.8,31.1,34.8,10.4,8.6,0.19,6.1,31.9,8.3,2.7,5.6,32.3,3,0.8,2.2,27.8,0.27
52,"Texas-(Arlington) Mavericks",12,12.9,15.4,5.3,0.413,8.8,2.1,6.7,23.8,25.2,27.1,7.1,0.18,5.8,20,7.3,1.8,5.5,25,1.4,0.3,1.2,17.6,0.16
53,"Western Carolina Lady Catamounts",14,12.6,15.3,7.4,0.582,8,1.8,6.2,22.3,25,22,16.9,0.5,14.7,28.8,5.8,1.4,4.4,23.5,2.2,0.4,1.8,19.4,0.28
53,"Western Michigan Broncos",10,12.5,15.3,8,0.64,8.3,2.4,5.9,28.9,32.5,20,14.4,0.42,12,32,5.8,1.8,4,31,2.5,0.6,1.9,24,0.3
