sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Wake Forest Demon Deacons",14,30.2,36.5,20.4,0.674,27,7.4,19.6,27.5,36.5,9.5,1.7,0.03,1.4,25.8,9,2.6,6.4,28.6,18,4.9,13.1,27,0.67
2,"Ohio Bobcats",9,32.3,36.3,29,0.897,28.2,9.7,18.6,34.3,47.6,9.3,5.2,0.1,4.5,33.3,4.7,2.1,2.6,45.2,23.6,7.6,16,32.1,0.83
3,"Massachusetts Lowell",12,28.3,35,20.1,0.709,24.7,7.6,17.1,30.7,39.2,11.8,2.1,0.04,2.1,27.9,8.8,3.4,5.4,38.7,15.8,4.2,11.7,26.3,0.64
4,"Cleveland State Vikings",14,29.1,34.4,19.6,0.676,24,6.6,17.4,27.7,37.5,13.8,4.2,0.1,3.9,26.3,6.6,1.9,4.7,29,17.4,4.7,12.6,27.2,0.72
5,"Brown Bears",11,26.5,34,18.5,0.695,22.4,6.2,16.2,27.6,36.4,11.3,5.8,0.13,5.5,27.7,7.4,2.3,5.1,30.9,15,3.9,11.1,26.1,0.67
6,"Western Kentucky Hilltoppers",11,28,32.9,21.6,0.773,25.4,7.5,17.9,29.4,40.3,6.5,3.9,0.08,3.2,29.2,6.4,1.9,4.5,30,19,5.5,13.5,29.2,0.75
7,"Saint Mary's Gaels",13,25.1,32.7,18.5,0.736,21.2,6.8,14.4,32.2,41.3,13.2,4,0.07,4,29.1,7.2,3,4.2,41.9,14.1,3.8,10.2,27.3,0.66
8,"Gardner-Webb Runnin Bulldogs",14,26,32.6,22.5,0.865,22.7,7.7,15,34,46.5,8.8,4.1,0.1,3.6,33,5.4,2,3.4,36.8,17.3,5.7,11.6,33.1,0.76
9,"USC Upstate Spartans",13,25.6,32.3,21.2,0.826,22.3,7.2,15.2,32.1,43.6,9.3,5.4,0.11,4.2,31.2,6.2,2,4.2,32.1,16.1,5.2,10.9,32.1,0.72
10,"Saint Peter's Peacocks",11,25.5,32.1,20.2,0.793,22.6,7.1,15.5,31.3,43,7.9,3.6,0.08,3.6,29.6,5.8,1.8,4,31.3,16.8,5.3,11.5,31.4,0.74
11,"Mount St. Mary's Mountaineers",11,25.8,31.3,20.8,0.806,23.5,7.3,16.2,31,42.4,6.3,2.8,0.06,2.1,30.6,5.6,1.9,3.7,33.9,17.8,5.4,12.5,30.1,0.76
12,"McNeese State Cowgirls",11,24,31.2,15.4,0.64,19.6,5.4,14.3,27.3,36.6,15.9,3,0.07,2.3,24.2,4.7,1.7,3,36.5,14.9,3.6,11.3,24.4,0.76
13,"New Haven Chargers",10,23.5,30.7,16.9,0.719,20,6,14,30,39.3,12.8,3.4,0.08,3.4,27.7,6.7,2.3,4.4,34.3,13.3,3.7,9.6,27.8,0.67
13,"Missouri Tigers",14,26,30.7,22.1,0.849,23.9,8,15.9,33.5,44.2,5.8,3.3,0.07,3,32.7,7.7,2.9,4.8,38,16.1,5.1,11.1,31.4,0.68
