sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Oklahoma Sooners",13,34.8,35.1,35.7,1.027,25.9,13.5,12.4,52.2,58.8,16.6,10.6,0.26,10.2,47.3,16.5,10.2,6.4,61.4,9.4,3.4,6,36.1,0.36
2,"Ohio State Buckeyes",12,29.8,32.2,31.8,1.067,22.8,12.3,10.4,54.2,59.2,14.5,12.3,0.28,9.5,50,15.8,10.1,5.8,63.7,6.9,2.3,4.7,32.5,0.3
3,"Michigan Wolverines",11,30,31.9,33.2,1.106,22.5,12.8,9.6,57.1,62.3,14.2,15.5,0.35,14.2,51.8,16.1,10.5,5.6,65,6.4,2.4,4,37.1,0.28
4,"Stephen F. Austin Lumberjacks",11,29.4,31.7,29.8,1.015,22.7,11.7,11,51.6,58.4,16.4,8.7,0.19,7.4,45.5,14.1,8.6,5.5,61.3,8.6,3.1,5.5,35.8,0.38
5,"Jacksonville Dolphins",10,26.9,29.8,24.4,0.907,19.1,8.8,10.3,46.1,51.3,16,14.9,0.39,13,43.9,14.4,6.8,7.6,47.2,4.7,2,2.7,42.6,0.25
6,"Arizona Wildcats",12,24.7,29.3,26.1,1.057,18.5,10.4,8.1,56.3,59.2,14.9,14.9,0.33,12.5,51.7,14.9,9.3,5.6,62.6,3.6,1.1,2.5,30.2,0.19
7,"Virginia Tech Hokies",14,26.1,29.2,25.7,0.984,18.6,9.4,9.3,50.2,53.4,14.2,16.9,0.44,14.8,48.9,14.2,8.1,6.1,57.3,4.4,1.2,3.2,27.4,0.24
8,"Idaho Vandals",13,26.3,28.2,27.1,1.029,20.5,10.4,10.1,50.8,56.8,12.9,12,0.27,11.7,47.7,13.8,7.9,5.9,57.2,6.6,2.5,4.2,37.2,0.32
9,"Michigan State Spartans",12,23.8,28,25.5,1.07,18.7,9.8,8.9,52.2,58.7,12.2,14,0.3,12.9,49.3,11.9,7.3,4.6,61.5,6.8,2.4,4.3,35.8,0.36
10,"Arkansas Razorbacks",14,25.6,27.6,24,0.939,18.6,8.3,10.4,44.4,50.6,15.6,14.5,0.36,12.6,42.7,11.7,6,5.7,51.2,6.9,2.3,4.6,33,0.37
