sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"DePaul Blue Demons",31,7,8.6,8.7,1.24,5.9,3.8,2.1,64.3,64.3,6.5,12.9,0.27,11.5,63.1,5.9,3.8,2.1,64.3,0,0,0,,0
2,"Lehigh Mountain Hawks",27,7.9,10.1,9.7,1.231,6.7,4.3,2.4,63.7,63.7,7.1,11.3,0.21,10.4,60.8,6.7,4.3,2.4,63.7,0,0,0,,0
3,"Central Connecticut State Blue Devils",28,6.9,8.3,8.4,1.223,5.5,3.6,1.9,65.4,65.4,8.3,17.1,0.38,16.6,62.2,5.5,3.6,1.9,65.4,0,0,0,,0
4,"Michigan State Spartans",29,5.6,6.8,6.9,1.221,4.5,3,1.5,66.2,66.2,11,13.5,0.28,12.9,60.7,4.5,3,1.5,66.2,0,0,0,,0
5,"Oakland Golden Grizzlies",30,6.2,7.9,7.6,1.214,5.4,3.3,2.1,61.3,61.3,4.3,11.8,0.23,11.2,61.5,5.4,3.3,2.1,61.3,0,0,0,,0
6,"Michigan Wolverines",29,6.7,7.9,8,1.197,5.2,3.3,1.9,64,64,11.4,14.5,0.33,14,60.1,5.2,3.3,1.9,64,0,0,0,,0
7,"North Carolina State Wolfpack",29,5.2,6.3,6.2,1.191,4.6,2.8,1.8,61.7,61.7,5.9,9.9,0.19,9.9,59.2,4.6,2.8,1.8,61.7,0,0,0,,0
8,"Evansville Aces",29,6.3,7.3,7.4,1.187,5.1,3.1,1.9,61.9,61.9,7.1,15.4,0.34,15.4,61.5,5.1,3.1,1.9,61.9,0,0,0,,0
9,"Miami (FL) Hurricanes",29,4.9,6,5.8,1.184,4.1,2.6,1.5,63,63,7.8,12.1,0.24,11.3,61,4.1,2.6,1.5,63,0,0,0,,0
10,"Notre Dame Fighting Irish",29,7.2,8.6,8.4,1.178,5.7,3.7,2,64.8,64.8,13.5,13.5,0.26,13,57.7,5.7,3.7,2,64.8,0,0,0,,0
