sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Vanderbilt Commodores",27,8.1,9.4,11,1.358,6.6,4.5,2.1,68.2,68.2,6,17,0.36,16.5,67.4,6.6,4.5,2.1,68.2,0,0,0,,0
2,"South Dakota State Jackrabbits",28,6.5,8.1,8.7,1.348,5.1,3.3,1.8,64.3,64.3,5,23.2,0.5,22.7,66.9,5.1,3.3,1.8,64.3,0,0,0,,0
3,"Illinois Fighting Illini",26,6.2,7.5,8.4,1.346,5.3,3.5,1.8,66.2,66.2,4.9,15.4,0.29,14.8,66,5.3,3.5,1.8,66.2,0,0,0,,0
4,"Connecticut Huskies",28,8.7,10.4,11.7,1.344,6.9,4.9,2,71.4,71.4,9,16,0.36,15.2,68,6.9,4.9,2,71.4,0,0,0,,0
5,"UCLA Bruins",27,6,7.3,7.6,1.264,5,3.3,1.7,65.7,65.7,8,14.1,0.29,14.1,63.8,5,3.3,1.7,65.7,0,0,0,,0
6,"North Carolina State Wolfpack",26,6.1,7.1,7.7,1.259,5.6,3.5,2.1,62.1,62.1,1.9,10.1,0.18,10.1,63.3,5.6,3.5,2.1,62.1,0,0,0,,0
7,"UAB Blazers",27,5.4,6.9,6.8,1.252,4.4,3,1.4,68.3,68.3,9.5,12.2,0.26,11.6,63.9,4.4,3,1.4,68.3,0,0,0,,0
8,"Minnesota Golden Gophers",27,4.6,5.7,5.8,1.248,4,2.6,1.4,64.5,64.5,4,13.6,0.28,12.8,63.2,4,2.6,1.4,64.5,0,0,0,,0
9,"St. John's Red Storm",29,5.8,7.8,7.2,1.243,4.8,3,1.8,62.6,62.6,5.3,19.5,0.39,19.5,63.9,4.8,3,1.8,62.6,0,0,0,,0
10,"Fairfield Stags",28,7.2,9.1,8.9,1.234,5.9,3.9,2,66.7,66.7,9,10.9,0.24,10.4,62.2,5.9,3.9,2,66.7,0,0,0,,0
11,"LSU Tigers",27,9.1,9.6,11.2,1.232,7.6,4.9,2.7,64.2,64.2,6.9,15,0.3,14.6,62.2,7.6,4.9,2.7,64.2,0,0,0,,0
12,"Lindenwood University Lions",29,9.3,12.1,11.4,1.23,7.6,4.8,2.9,62.4,62.4,7.4,14.8,0.31,14.4,61.5,7.6,4.8,2.9,62.4,0,0,0,,0
13,"Massachusetts Lowell",27,3.4,4.5,4.1,1.217,2.8,1.8,1,64.5,64.5,8.7,14.1,0.28,14.1,62,2.8,1.8,1,64.5,0,0,0,,0
13,"Southern Utah Thunderbirds",26,11.7,14,14.2,1.217,9.3,5.6,3.7,60.6,60.6,5.3,18.4,0.42,18.1,62.8,9.3,5.6,3.7,60.6,0,0,0,,0
15,"Butler Bulldogs",28,6.8,8.9,8.3,1.215,5.8,3.6,2.2,62,62,5.8,13.6,0.26,12,61.3,5.8,3.6,2.2,62,0,0,0,,0
16,"North Dakota State Bison",27,5.9,7.4,7.1,1.214,4.6,2.7,1.9,59.3,59.3,5,22.6,0.51,21.4,62.9,4.6,2.7,1.9,59.3,0,0,0,,0
17,"Cleveland State Vikings",29,6.1,7.5,7.4,1.208,4.7,3,1.7,64.4,64.4,10.1,17.4,0.41,16.9,61.8,4.7,3,1.7,64.4,0,0,0,,0
18,"Creighton Bluejays",27,6.3,7.8,7.6,1.207,5.4,3.3,2.1,61,61,6.5,11.8,0.22,10.7,59.8,5.4,3.3,2.1,61,0,0,0,,0
18,"Mississippi State Bulldogs",27,7.3,8.4,8.9,1.207,5.7,3.6,2.1,63.4,63.4,7.6,18.7,0.44,18.2,62.6,5.7,3.6,2.1,63.4,0,0,0,,0
20,"Indiana Hoosiers",27,4,5.2,4.8,1.206,3.4,2.1,1.2,63.7,63.7,6.5,14,0.26,14,60.7,3.4,2.1,1.2,63.7,0,0,0,,0
