sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Georgia State Panthers",29,1,1.2,1.2,1.167,0.7,0.4,0.3,60,77.5,26.7,10,0.25,6.7,46.7,0.3,0.2,0.1,55.6,0.4,0.2,0.1,63.6,0.55
2,"Longwood Lancers",28,1.9,2,2,1.096,1.4,0.6,0.8,44.7,52.6,7.7,23.1,0.58,21.2,51.9,1,0.4,0.6,40.7,0.4,0.2,0.2,54.5,0.29
3,"Rutgers Scarlet Knights",28,2.7,3.3,2.9,1.067,2.2,1.1,1.1,51.6,59.7,12,8,0.16,8,45.3,1.4,0.8,0.6,56.4,0.8,0.4,0.5,43.5,0.37
4,"Mount St. Mary's Mountaineers",27,0.7,0.8,0.7,1.053,0.5,0.3,0.3,50,64.3,21.1,5.3,0.14,5.3,42.1,0.2,0.1,0.1,50,0.3,0.1,0.1,50,0.57
5,"Appalachian State Mountaineers",28,2.4,3.1,2.5,1.03,1.9,0.9,1.1,44.4,54.6,13.4,10.4,0.2,10.4,41.8,0.9,0.5,0.4,52,1,0.4,0.6,37.9,0.54
6,"Cal State Fullerton Titans",27,1.4,1.6,1.4,1.027,1,0.5,0.5,51.9,63,24.3,8.1,0.15,5.4,40.5,0.4,0.3,0.1,66.7,0.6,0.2,0.3,40,0.56
7,"Northern Kentucky Norse",30,2.3,2.9,2.4,1.014,1.8,0.9,0.9,50,57.4,15.7,8.6,0.2,5.7,45.7,0.9,0.6,0.3,70.4,0.9,0.3,0.6,29.6,0.5
8,"Stetson Hatters",27,3.6,4.4,3.6,1.01,3,1.3,1.6,45,53.1,9.4,10.4,0.23,10.4,44.8,1.6,0.9,0.7,54.8,1.4,0.5,0.9,34.2,0.48
9,"Mississippi State Bulldogs",28,3.4,4,3.4,1,2.8,1.3,1.4,48.1,57.1,12.8,6.4,0.14,6.4,42.6,1.8,0.8,1,45.1,0.9,0.5,0.4,53.8,0.34
10,"DePaul Blue Demons",30,3.1,3.8,3,0.978,2.4,1,1.4,42.5,54.1,15.1,9.7,0.21,8.6,39.8,1.4,0.5,0.9,33.3,1,0.6,0.5,54.8,0.42
11,"UTEP Miners",25,3.4,4.1,3.3,0.965,3,1.2,1.7,41.9,50.7,8.1,8.1,0.16,8.1,41.9,1.6,0.7,0.9,43.9,1.3,0.5,0.8,39.4,0.45
