sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Akron Zips",13,9.9,11.2,9.7,0.977,7.8,3.6,4.2,46.5,52,13.2,10.1,0.25,10.1,44.2,5.6,2.8,2.8,49.3,2.2,0.8,1.3,39.3,0.28
2,"Canisius Golden Griffins",13,10,12.1,9.6,0.962,7.7,3.6,4.1,47,51,14.6,11.5,0.27,10.8,43.8,6.2,3,3.2,48.8,1.5,0.6,0.9,40,0.2
3,"Drake Bulldogs",13,10.7,12.8,10.2,0.957,9.3,3.8,5.5,41.3,46.7,4.3,11.5,0.23,11.5,43.9,6.7,2.8,3.8,42.5,2.6,1,1.6,38.2,0.28
4,"Le Moyne Dolphins",14,6.6,8.3,6.2,0.946,5.2,2.4,2.9,45.2,48.6,12,12,0.26,8.7,44.6,4.4,2,2.4,45.9,0.9,0.4,0.5,41.7,0.16
5,"Arkansas-(Pine Bluff) Golden Lions",12,8.6,9.7,8.1,0.942,5.8,2.9,2.8,50.7,54.3,21.4,14.6,0.39,13.6,45.6,4.1,2.5,1.6,61.2,1.7,0.4,1.3,25,0.29
6,"Cal State Bakersfield Roadrunners",14,12.5,15.2,11.6,0.931,8.9,4,4.9,44.8,49.2,15.4,16,0.41,13.7,45.1,6.7,3.2,3.5,47.9,2.2,0.8,1.4,35.5,0.25
7,"New Haven Chargers",12,5.5,7.2,5,0.909,4,1.8,2.2,45.8,54.2,21.2,6.1,0.17,4.5,39.4,2.8,1.2,1.6,42.4,1.3,0.7,0.6,53.3,0.31
8,"Morehead State Eagles",15,11.1,13,10.1,0.904,8.5,3.5,5.1,40.6,47.7,14.4,12.6,0.28,10.2,39.5,5.6,2.3,3.3,40.5,2.9,1.2,1.7,40.9,0.34
9,"Eastern Illinois Panthers",15,11.7,13.9,10.5,0.892,9,3.7,5.3,41.5,46.3,14.2,13.6,0.3,11.9,40.9,6.9,2.9,4,41.7,2.1,0.9,1.3,40.6,0.24
10,"Utah Tech University Trailblazers",12,14.8,16.6,13,0.881,11.7,4.8,6.9,40.7,45.4,11.3,12.4,0.28,11.3,41.8,9.6,3.7,5.9,38.3,2.1,1.1,1,52,0.18
10,"Detroit Titans",13,9.1,10.6,8,0.881,6.5,2.6,3.8,40.5,45.8,16.1,14.4,0.39,11.9,40.7,4.7,1.9,2.8,41,1.8,0.7,1.1,39.1,0.27
12,"Colorado Buffaloes",15,9.9,12.6,8.6,0.872,6.9,3.1,3.8,45.2,50,20.9,10.8,0.29,10.1,40.5,5.4,2.5,2.9,45.7,1.5,0.7,0.9,43.5,0.22
13,"Incarnate Word Cardinals",12,10.3,12.8,9,0.871,8.3,3.6,4.8,43,46.5,14.5,9.7,0.18,8.9,39.5,6.1,3,3.1,49.3,2.3,0.6,1.7,25.9,0.27
14,"Manhattan Jaspers",13,7,8.5,6.1,0.868,5.1,2.3,2.8,45.5,49.2,17.6,11,0.29,7.7,40.7,4.2,1.9,2.2,46.3,0.9,0.4,0.5,41.7,0.18
15,"Northern Arizona Lumberjacks",15,8.9,10.1,7.7,0.866,6.9,3.1,3.8,44.7,47.1,14.9,12.7,0.27,9.7,42.5,5.2,2.7,2.5,52.6,1.7,0.3,1.3,20,0.24
16,"Toledo Rockets",12,11.7,14.8,10.1,0.864,8.1,4.2,3.9,51.5,52.1,22.9,10,0.26,8.6,42.9,7.4,4.1,3.3,55.1,0.7,0.1,0.6,12.5,0.08
17,"Southeastern Louisiana Lions",12,6.7,7.5,5.8,0.863,4.8,2.4,2.3,50.9,51.8,20,11.3,0.28,11.3,45,3.9,2.3,1.6,59.6,0.8,0.1,0.8,10,0.18
18,"Saint Francis (PA) Red Flash",12,9,10.8,7.8,0.861,6.3,2.8,3.4,45.3,48.7,17.6,13.9,0.39,11.1,43.5,4.8,2.4,2.4,50,1.4,0.4,1,29.4,0.23
19,"Southern Utah Thunderbirds",14,12.8,15.8,11,0.86,9.6,3.7,5.9,38.8,43.7,13.4,13.4,0.34,11.2,40.8,7,2.8,4.2,39.8,2.6,0.9,1.6,36.1,0.27
20,"Massachusetts Lowell",15,3.2,4,2.7,0.854,2.5,1.1,1.3,45.9,51.4,18.8,4.2,0.14,2.1,39.6,1.8,0.9,0.9,48.1,0.7,0.3,0.4,40,0.27
21,"Presbyterian Blue Hose",14,9.4,11.1,8,0.848,6.6,2.6,4,39.8,44.1,16.7,15.2,0.4,12.1,40.2,5.2,2.1,3.1,39.7,1.4,0.6,0.9,40,0.22
22,"Wisconsin-(Milwaukee) Panthers",15,8.5,10.8,7.2,0.844,5.7,2.1,3.6,36.5,41.2,16.4,18,0.54,15.6,41.4,4.3,1.5,2.7,35.9,1.4,0.5,0.9,38.1,0.25
23,"American University Eagles",13,8.3,10.6,7,0.843,6.5,2.8,3.6,44,50.6,16.7,5.6,0.14,5.6,38.9,4.9,2,2.9,40.6,1.5,0.8,0.7,55,0.24
24,"Eastern Michigan Eagles",12,8.7,10.7,7.3,0.837,5.9,2.3,3.6,39.4,42.3,16.3,17.3,0.48,15.4,42.3,5.1,2,3.1,39.3,0.8,0.3,0.5,40,0.14
25,"Charleston Southern Buccaneers",15,10.9,12.8,9.1,0.834,8.9,3.7,5.2,41.4,45.9,13.5,6.1,0.14,6.1,38.7,6.8,2.9,3.9,42.2,2.1,0.8,1.3,38.7,0.23
26,"East Carolina Pirates",16,7.5,8.8,6.3,0.833,5.1,2.3,2.8,45.7,48.1,22.5,10.8,0.32,10,40.8,4.7,2.1,2.6,44,0.4,0.3,0.1,66.7,0.07
26,"Nebraska-Omaha Mavericks",17,7.4,8.7,6.2,0.833,5.8,2.6,3.2,44.4,47.5,15.1,8.7,0.19,8.7,40.5,4.5,2.2,2.2,50,1.4,0.4,1,26.1,0.23
28,"Oklahoma State Cowgirls",16,15.1,18.4,12.5,0.83,10.9,4.9,6,44.8,48.9,19.5,11.2,0.28,10.4,39.4,8.6,4,4.6,46.7,2.3,0.9,1.4,37.8,0.21
29,"Georgetown Hoyas",13,9.4,11.3,7.8,0.828,7,2.8,4.2,39.6,41.8,14.8,14.8,0.34,13.9,40.2,5.2,2.5,2.8,47.1,1.8,0.3,1.5,17.4,0.25
30,"Morgan State Bears",17,5.1,6,4.2,0.826,3.6,1.5,2.2,40.3,42.7,17.4,14,0.34,12.8,39.5,2.8,1.3,1.5,46.8,0.9,0.2,0.7,20,0.24
31,"Creighton Bluejays",14,11,13.9,9.1,0.825,7.7,3.4,4.4,43.5,47.7,21.4,10.4,0.27,10.4,39,5.9,2.7,3.1,46.3,1.9,0.6,1.2,34.6,0.24
32,"New Orleans Privateers",13,7.8,8.4,6.5,0.824,4.9,2.2,2.7,45.3,50.8,24.5,13.7,0.42,12.7,39.2,3.9,1.7,2.2,43.1,1,0.5,0.5,53.8,0.2
33,"Sacramento State Hornets",15,11.4,13.7,9.3,0.819,8.9,3.4,5.5,38.1,42.9,11.1,11.7,0.28,11.1,39.8,6.3,2.5,3.8,40,2.6,0.9,1.7,33.3,0.29
34,"Northwestern State Demons",13,14.9,18.4,12.2,0.814,10.9,4.5,6.5,40.8,44,18,12.4,0.3,11.3,38.7,8.1,3.8,4.3,46.7,2.8,0.7,2.2,24.3,0.26
35,"Boston College Eagles",16,8,9.9,6.5,0.813,5.4,2.1,3.3,39.5,44.8,20.3,15.6,0.42,11.7,39.1,3.4,1.6,1.8,46.3,2,0.6,1.4,28.1,0.37
36,"Mississippi Valley State Delta Devils",13,9.9,10.4,8,0.806,6.9,2.7,4.2,38.9,41.7,16.3,16.3,0.43,15.5,40.3,5.4,2.3,3.1,42.9,1.5,0.4,1.2,25,0.22
