sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Lehigh Mountain Hawks",13,0.5,0.6,0.6,1.333,0.4,0.2,0.2,60,60,0,33.3,0.6,33.3,66.7,0.3,0.2,0.1,75,0.1,0,0.1,0,0.2
2,"Fairfield Stags",14,8.8,11.1,8.9,1.016,6.9,3.2,3.6,46.9,55.7,15.4,10.6,0.23,10.6,43.1,4.7,2,2.7,42.4,2.1,1.2,0.9,56.7,0.31
3,"Michigan Wolverines",13,7.1,7.4,7.2,1.011,5.3,2.7,2.6,50.7,58.7,16.3,13,0.3,10.9,45.7,3.5,1.8,1.7,52.2,1.8,0.8,0.9,47.8,0.33
4,"Montana State Bobcats",13,4.5,4.9,4.5,1,3.2,1.8,1.5,54.8,57.1,13.8,15.5,0.4,15.5,53.4,3.1,1.6,1.5,52.5,0.2,0.2,0,100,0.05
4,"Arkansas Razorbacks",16,2.8,3.1,2.8,1,1.9,0.9,0.9,50,58.3,17.8,15.6,0.47,13.3,44.4,1.4,0.6,0.8,45.5,0.5,0.3,0.2,62.5,0.27
6,"Nebraska Cornhuskers",14,10,11.9,9.9,0.993,7.6,3.9,3.7,51.4,54.2,16.4,11.4,0.24,9.3,46.4,6.1,3.5,2.6,57.6,1.6,0.4,1.1,27.3,0.21
7,"Pepperdine Waves",15,5.8,7.1,5.7,0.989,4,2.1,1.9,53.3,55.8,19.5,14.9,0.4,13.8,48.3,3.3,1.9,1.4,58,0.7,0.2,0.5,30,0.17
8,"Maryland Terrapins",15,9.3,10.2,8.8,0.95,6.4,2.9,3.5,45.8,49,18,17.3,0.44,12.9,44.6,5.4,2.5,2.9,46.9,1,0.4,0.6,40,0.16
9,"Iowa State Cyclones",14,7,8.4,6.6,0.949,5.8,2.7,3.1,46.9,50.6,11.2,8.2,0.17,8.2,44.9,4.2,2.3,1.9,54.2,1.6,0.4,1.1,27.3,0.27
10,"LSU Tigers",15,12.7,12.8,12.1,0.948,9.8,4.3,5.5,44.2,50.3,14.1,10.5,0.25,8.4,42.9,7.1,3.1,3.9,44.3,2.7,1.2,1.5,43.9,0.28
10,"Indiana Hoosiers",15,12.7,16.6,12.1,0.948,9.4,4.4,5,46.8,50,15.7,13.6,0.33,12.6,45,7.5,3.8,3.7,50.9,1.9,0.6,1.3,31,0.21
12,"St. Bonaventure Bonnies",15,1.2,1.5,1.1,0.944,0.9,0.5,0.4,53.8,53.8,22.2,11.1,0.23,5.6,44.4,0.9,0.5,0.4,53.8,0,0,0,,0
13,"North Dakota State Bison",15,8.2,10.1,7.7,0.943,6.1,2.8,3.3,45.7,49.5,14.6,16.3,0.36,15.4,43.9,5.3,2.3,2.9,44.3,0.9,0.5,0.4,53.8,0.14
14,"Davidson Wildcats",16,5.8,7.3,5.4,0.935,4.1,2.1,2,50.8,52.3,18.3,16.1,0.4,10.8,47.3,3.4,1.9,1.5,56.4,0.6,0.1,0.5,20,0.15
14,"Colorado State Rams",15,7.2,9.5,6.7,0.935,5.6,2.8,2.8,50,52.4,13.9,11.1,0.25,10.2,45.4,5.1,2.5,2.6,49.4,0.5,0.3,0.2,57.1,0.08
16,"Toledo Rockets",12,8.5,10.5,7.9,0.931,5.9,2.7,3.3,45.1,48.6,17.6,14.7,0.39,10.8,44.1,5.1,2.3,2.8,44.3,0.8,0.4,0.4,50,0.14
16,"Ohio Bobcats",12,2.4,2.7,2.3,0.931,1.2,0.6,0.6,50,53.6,31,20.7,0.86,20.7,44.8,0.8,0.5,0.3,60,0.3,0.1,0.3,25,0.29
18,"UCLA Bruins",15,8.6,10.2,8,0.93,6.1,3,3.1,48.9,52.2,18.6,12.4,0.32,10.9,45,4.9,2.6,2.3,52.7,1.2,0.4,0.8,33.3,0.2
19,"Kansas Jayhawks",14,17.7,22.6,16.4,0.923,11.9,5.2,6.6,44,47.6,16.9,21,0.55,17.7,44.4,9.9,4.4,5.5,44.2,2,0.9,1.1,42.9,0.17
