sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Ohio Bobcats",14,0.3,0.3,0.6,2,0.3,0.2,0.1,75,100,0,0,0,0,75,0.1,0.1,0,100,0.2,0.1,0.1,66.7,0.75
2,"Texas A&M Aggies",12,1.3,1.4,1.9,1.533,1,0.8,0.3,75,75,6.7,20,0.42,20,73.3,0.8,0.8,0.1,90,0.2,0,0.2,0,0.17
3,"North Carolina-Wilmington Seahawks",15,0.5,0.6,0.8,1.5,0.5,0.3,0.2,62.5,75,0,0,0,0,62.5,0.3,0.2,0.1,60,0.2,0.1,0.1,66.7,0.38
3,"St. Bonaventure Bonnies",17,0.2,0.3,0.4,1.5,0.2,0.1,0.1,66.7,66.7,0,25,0.67,25,75,0.2,0.1,0.1,66.7,0,0,0,,0
3,"Connecticut Huskies",16,1.3,1.5,1.9,1.5,1.3,0.8,0.5,60,75,0,0,0,0,60,0.6,0.4,0.3,60,0.6,0.4,0.3,60,0.5
6,"Utah Utes",17,2.6,3.2,3.8,1.455,2.3,1.6,0.7,69.2,78.2,6.8,6.8,0.13,6.8,65.9,1.6,1.2,0.5,71.4,0.6,0.4,0.2,63.6,0.28
7,"Hawaii Warriors",15,1.8,2.2,2.6,1.444,1.5,0.9,0.7,56.5,73.9,3.7,11.1,0.26,11.1,59.3,0.6,0.3,0.3,55.6,0.9,0.5,0.4,57.1,0.61
8,"UCLA Bruins",15,2.5,2.9,3.5,1.432,2.1,1.4,0.7,65.6,75,5.4,8.1,0.19,5.4,64.9,1.5,1,0.5,68.2,0.7,0.4,0.3,60,0.31
9,"East Texas A&M Lions",14,2.1,2.5,2.9,1.414,1.9,1.1,0.7,61.5,73.1,3.4,6.9,0.15,6.9,62.1,1.1,0.7,0.4,62.5,0.7,0.4,0.3,60,0.38
10,"Wisconsin Badgers",16,1.9,2.4,2.7,1.387,1.5,1,0.5,66.7,72.9,9.7,16.1,0.38,16.1,64.5,1.1,0.8,0.3,72.2,0.4,0.2,0.2,50,0.25
11,"Notre Dame Fighting Irish",15,2.3,2.7,3.2,1.371,2.2,1.3,0.9,60.6,69.7,5.7,5.7,0.06,5.7,57.1,1.5,0.9,0.6,60.9,0.7,0.4,0.3,60,0.3
12,"Lamar Cardinals",14,2.2,2.7,3,1.355,1.6,1.1,0.4,72.7,77.3,9.7,22.6,0.59,19.4,67.7,1.4,1,0.4,73.7,0.2,0.1,0.1,66.7,0.14
13,"TCU Horned Frogs",16,4.8,5.7,6.4,1.338,4.3,2.7,1.6,63.2,71.3,7.8,9.1,0.15,9.1,59.7,2.7,2,0.7,74.4,1.6,0.7,0.9,44,0.37
14,"Appalachian State Mountaineers",15,1.4,1.8,1.9,1.333,1.3,0.7,0.5,57.9,73.7,9.5,0,0,0,52.4,0.5,0.3,0.1,71.4,0.8,0.4,0.4,50,0.63
14,"Washington Huskies",15,1.6,2,2.1,1.333,1.5,0.9,0.6,59.1,61.4,0,20.8,0.32,20.8,62.5,1.3,0.8,0.5,63.2,0.2,0.1,0.1,33.3,0.14
14,"Western Kentucky Hilltoppers",15,2,2.6,2.7,1.333,1.9,1,0.9,53.6,66.1,3.3,3.3,0.11,3.3,53.3,0.9,0.5,0.3,61.5,1,0.5,0.5,46.7,0.54
17,"Detroit Titans",16,1.8,2.1,2.3,1.286,1.2,0.9,0.3,73.7,84.2,21.4,17.9,0.47,17.9,57.1,0.8,0.6,0.1,83.3,0.4,0.3,0.2,57.1,0.37
