sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Charleston Cougars",25,2.6,3.2,2.9,1.091,2,1.1,0.9,55.1,55.1,10.6,21.2,0.49,21.2,54.5,2,1.1,0.9,55.1,0,0,0,,0
2,"Oral Roberts Golden Eagles",27,8.3,9.3,8.9,1.076,6.1,3.6,2.6,58.2,58.2,13.4,18.8,0.43,16.1,54.9,6.1,3.6,2.6,58.2,0,0,0,,0
3,"Cal State Fullerton Titans",27,3,3.5,3.2,1.074,2.1,1.2,0.9,57.1,57.1,11.1,23.5,0.63,16,56.8,2.1,1.2,0.9,57.1,0,0,0,,0
4,"Bethune-Cookman Wildcats",26,4.5,5.4,4.7,1.052,3.4,1.8,1.6,53.4,53.4,6.9,22.4,0.52,19,56,3.4,1.8,1.6,53.4,0,0,0,,0
5,"Northern Arizona Lumberjacks",28,5.2,5.9,5.4,1.048,3.6,2,1.5,57,57,14.5,18.6,0.51,17.2,53.8,3.6,2,1.5,57,0,0,0,,0
6,"Florida International Panthers",26,3.2,3.7,3.3,1.036,2.1,1.2,0.9,58.2,58.2,18.1,21.7,0.56,19.3,53,2.1,1.2,0.9,58.2,0,0,0,,0
7,"Akron Zips",27,7.1,8.2,7.4,1.031,5.5,3,2.5,55,55,12.4,14,0.32,11.9,51.3,5.5,3,2.5,55,0,0,0,,0
8,"Cornell Big Red",24,7.4,10.1,7.6,1.028,6.1,3.4,2.8,55.1,55.1,11.2,8.4,0.17,7.3,51.7,6.1,3.4,2.8,55.1,0,0,0,,0
9,"Saint Peter's Peacocks",27,4.7,6,4.8,1.024,3.3,1.8,1.5,54.4,54.4,14.2,19.7,0.49,15.7,52.8,3.3,1.8,1.5,54.4,0,0,0,,0
10,"Denver Pioneers",28,8.4,10.3,8.5,1.017,6.2,3.3,2.9,53.8,53.8,12.4,16.7,0.41,13.2,52.6,6.2,3.3,2.9,53.8,0,0,0,,0
11,"Michigan State Spartans",28,5.6,6.9,5.7,1.013,4.4,2.4,1.9,55.7,55.7,13.3,12,0.28,7,51.3,4.4,2.4,1.9,55.7,0,0,0,,0
12,"Indiana University - Indianapolis Jaguars",28,6.9,8.2,7,1.01,4.8,2.9,1.9,60.4,60.4,20.2,15,0.37,10.9,51.8,4.8,2.9,1.9,60.4,0,0,0,,0
13,"Northern Illinois Huskies",27,5.9,7.5,5.9,1.006,4.4,2.4,2,53.8,53.8,10.7,18.9,0.45,15.1,52.8,4.4,2.4,2,53.8,0,0,0,,0
14,"Lindenwood University Lions",29,6.7,8.6,6.7,1.005,5.1,2.9,2.2,57.4,57.4,16.5,10.3,0.23,9.8,51,5.1,2.9,2.2,57.4,0,0,0,,0
15,"Indiana State Sycamores",27,7.1,8,7.1,1,5.4,2.8,2.6,51.7,51.7,10.9,20.2,0.46,18.1,50.8,5.4,2.8,2.6,51.7,0,0,0,,0
15,"Incarnate Word Cardinals",26,5.3,6.4,5.3,1,3.7,2,1.8,52.6,52.6,13.9,16.8,0.45,14.6,52.6,3.7,2,1.8,52.6,0,0,0,,0
15,"Southern University Jaguars",24,4.6,5.5,4.6,1,3.3,1.9,1.5,56.3,56.3,17.3,15.5,0.35,10,50,3.3,1.9,1.5,56.3,0,0,0,,0
15,"Northwestern Wildcats",28,6.9,8.3,6.9,1,5.2,2.7,2.5,51.4,51.4,10.4,16.1,0.4,13,51.3,5.2,2.7,2.5,51.4,0,0,0,,0
19,"Wisconsin Badgers",28,6.8,8.2,6.7,0.995,5,2.6,2.4,52.5,52.5,11.6,18,0.43,15.3,51.3,5,2.6,2.4,52.5,0,0,0,,0
20,"Abilene Christian Wildcats",27,3.7,4.7,3.6,0.99,2.6,1.5,1,59.4,59.4,17.2,17.2,0.42,12.1,51.5,2.6,1.5,1,59.4,0,0,0,,0
21,"Eastern Michigan Eagles",26,7.3,8.9,7.2,0.989,5.2,2.8,2.4,54.4,54.4,15.3,16.3,0.41,11.1,51.6,5.2,2.8,2.4,54.4,0,0,0,,0
22,"Boston College Eagles",30,7.7,9.5,7.5,0.983,5.3,3.1,2.2,58.9,58.9,20.4,13.5,0.35,10,49.6,5.3,3.1,2.2,58.9,0,0,0,,0
22,"New Orleans Privateers",27,4.3,4.6,4.2,0.983,3.1,1.6,1.5,52.4,52.4,13,17.4,0.43,12.2,50.4,3.1,1.6,1.5,52.4,0,0,0,,0
24,"Arizona Wildcats",28,7.6,8.8,7.4,0.981,5.2,2.8,2.4,53.8,53.8,16.5,17.5,0.48,10.4,51.4,5.2,2.8,2.4,53.8,0,0,0,,0
24,"Air Force Falcons",28,5.6,7.4,5.5,0.981,3.9,2.3,1.6,57.8,57.8,17.8,14.6,0.39,12.7,50.3,3.9,2.3,1.6,57.8,0,0,0,,0
26,"Purdue Boilermakers",28,6.8,8.5,6.7,0.979,4.4,2.3,2.1,52,52,15.7,22,0.65,19.4,51.3,4.4,2.3,2.1,52,0,0,0,,0
27,"Evansville Aces",27,8.4,9.9,8.2,0.974,6.2,3.4,2.8,54.5,54.5,13.2,15.9,0.4,12.8,51.5,6.2,3.4,2.8,54.5,0,0,0,,0
28,"Saint Francis (PA) Red Flash",26,8,9.6,7.8,0.971,6.2,3,3.1,49.4,49.4,9.1,17.3,0.41,14.4,50,6.2,3,3.1,49.4,0,0,0,,0
29,"Eastern Illinois Panthers",29,6.6,7.9,6.3,0.968,4.6,2.3,2.3,50.4,50.4,12.6,21.6,0.56,17.4,50.5,4.6,2.3,2.3,50.4,0,0,0,,0
30,"Penn State Lady Lions",28,6.5,7.3,6.3,0.967,4.8,2.4,2.4,49.6,49.6,12.7,16.6,0.39,13.3,49.2,4.8,2.4,2.4,49.6,0,0,0,,0
31,"Rutgers Scarlet Knights",28,6.1,7.6,5.9,0.965,4.7,2.4,2.3,51.9,51.9,11.7,15.2,0.35,12.9,49.7,4.7,2.4,2.3,51.9,0,0,0,,0
32,"North Carolina Central Eagles",25,4.3,4.7,4.2,0.963,2.7,1.4,1.3,52.2,52.2,17.6,22.2,0.69,18.5,50,2.7,1.4,1.3,52.2,0,0,0,,0
33,"Santa Clara Broncos",30,7.1,8.1,6.8,0.962,5.3,2.8,2.6,51.9,51.9,13.7,14.6,0.34,13.2,49.1,5.3,2.8,2.6,51.9,0,0,0,,0
34,"Nebraska-Omaha Mavericks",29,6.9,8.4,6.7,0.96,4.6,2.7,1.9,58.6,58.6,21.9,15.9,0.42,14.9,50.2,4.6,2.7,1.9,58.6,0,0,0,,0
34,"Fairfield Stags",28,6.3,8.1,6,0.96,4.3,2.1,2.1,50,50,13.7,21.7,0.57,16,50.9,4.3,2.1,2.1,50,0,0,0,,0
36,"Chicago State Cougars",27,6.2,7.3,6,0.958,4.2,2.3,1.9,54,54,16.1,18.5,0.52,14.9,50.6,4.2,2.3,1.9,54,0,0,0,,0
36,"Mercyhurst Lakers",27,7.1,8.8,6.8,0.958,4.9,2.7,2.2,54.9,54.9,19.3,14.6,0.38,11.5,48.4,4.9,2.7,2.2,54.9,0,0,0,,0
38,"Texas State Bobcats",28,5.6,6.5,5.3,0.955,3.7,1.7,2,46.6,46.6,12.2,25.6,0.72,23.1,51.9,3.7,1.7,2,46.6,0,0,0,,0
39,"Murray State Racers",27,11.2,12.9,10.6,0.95,8.5,4.3,4.2,50.4,50.4,12.6,13.9,0.33,12.9,49,8.5,4.3,4.2,50.4,0,0,0,,0
39,"Florida State Seminoles",28,6.5,7.2,6.1,0.95,4.5,2.4,2.1,53.2,53.2,17.1,16.6,0.43,14.4,48.6,4.5,2.4,2.1,53.2,0,0,0,,0
41,"St. Thomas (MN) Tommies",28,7.5,9.7,7.1,0.948,5.9,2.9,3,48.8,48.8,11.9,12.9,0.29,11.4,47.6,5.9,2.9,3,48.8,0,0,0,,0
42,"Houston Cougars",28,4.7,5.5,4.5,0.947,3.5,1.8,1.7,51.5,51.5,14.4,16.7,0.36,15.2,47,3.5,1.8,1.7,51.5,0,0,0,,0
43,"Washington Huskies",28,7.8,9.9,7.4,0.945,6.1,3,3.1,49.7,49.7,10.6,13.8,0.32,11.9,48.6,6.1,3,3.1,49.7,0,0,0,,0
43,"Queens University of Charlotte Royals",28,5.2,6.3,4.9,0.945,3.7,1.8,1.9,49,49,11.7,20.7,0.52,17.9,48.3,3.7,1.8,1.9,49,0,0,0,,0
45,"Jacksonville State Gamecocks",27,5.6,7.4,5.2,0.94,4.7,2.4,2.3,51.2,51.2,10.7,8,0.15,8,47.3,4.7,2.4,2.3,51.2,0,0,0,,0
46,"Auburn Tigers",28,5.2,6.5,4.9,0.938,3.1,1.7,1.5,53.4,53.4,21.2,20.5,0.65,16.4,49.3,3.1,1.7,1.5,53.4,0,0,0,,0
46,"Nebraska Cornhuskers",28,6.9,8.4,6.4,0.938,5.4,2.9,2.6,52.6,52.6,14.1,9.4,0.2,6.3,47.9,5.4,2.9,2.6,52.6,0,0,0,,0
46,"Southeastern Louisiana Lions",26,4.3,5,4,0.938,2.8,1.5,1.2,55.6,55.6,18.8,21.4,0.6,17.9,50.9,2.8,1.5,1.2,55.6,0,0,0,,0
49,"Wright State Raiders",30,9.7,11.9,9.1,0.935,7.2,3.6,3.6,50.5,50.5,13.7,15.4,0.38,13,48.3,7.2,3.6,3.6,50.5,0,0,0,,0
50,"N.J.I.T. Highlanders",28,7.7,9.4,7.1,0.93,6.1,3.1,3,50.6,50.6,11.6,11.2,0.24,10.2,47.4,6.1,3.1,3,50.6,0,0,0,,0
51,"Texas Tech Lady Raiders",30,4.4,5.4,4.1,0.924,2.9,1.4,1.5,47.7,47.7,17.4,19.7,0.57,12.1,47,2.9,1.4,1.5,47.7,0,0,0,,0
51,"Boston University Terriers",27,4.4,6,4,0.924,3.5,1.7,1.8,48.9,48.9,12.7,8.5,0.2,7.6,46.6,3.5,1.7,1.8,48.9,0,0,0,,0
51,"North Florida Ospreys",28,5.6,6.7,5.2,0.924,4,2,1.9,51.4,51.4,15.9,18.5,0.45,16.6,47.8,4,2,1.9,51.4,0,0,0,,0
54,"Southern Methodist Mustangs",28,3.2,3.6,2.9,0.921,2.3,1.2,1.1,51.6,51.6,14.6,16.9,0.42,16.9,46.1,2.3,1.2,1.1,51.6,0,0,0,,0
54,"California Baptist Lancers",27,8,9.4,7.4,0.921,5.9,2.9,3,48.4,48.4,13.4,16.7,0.4,15.7,47.7,5.9,2.9,3,48.4,0,0,0,,0
54,"Nevada Wolf Pack",27,4.7,6.1,4.3,0.921,3.6,1.7,1.9,46.4,46.4,11,14.2,0.35,13.4,47.2,3.6,1.7,1.9,46.4,0,0,0,,0
54,"Duke Blue Devils",27,7.5,9.2,6.9,0.921,6,2.9,3.1,47.8,47.8,11.4,10.9,0.25,9.4,46.5,6,2.9,3.1,47.8,0,0,0,,0
58,"Sam Houston State Bearkats",26,3.3,4,3.1,0.92,2.2,1.3,0.9,59.6,59.6,24.1,12.6,0.35,12.6,47.1,2.2,1.3,0.9,59.6,0,0,0,,0
