sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Iowa State Cyclones",16,20.3,24.1,26.2,1.293,16.2,10.8,5.4,66.8,66.8,7.7,18.2,0.38,17.3,64.5,16.2,10.8,5.4,66.8,0,0,0,,0
2,"Oklahoma State Cowgirls",17,2.3,2.6,2.7,1.179,1.5,0.9,0.6,61.5,61.5,10.3,30.8,0.81,25.6,61.5,1.5,0.9,0.6,61.5,0,0,0,,0
3,"Richmond Spiders",18,4.2,5.4,4.9,1.158,3.2,2.1,1.1,65.5,65.5,14.5,13.2,0.29,10.5,57.9,3.2,2.1,1.1,65.5,0,0,0,,0
4,"North Dakota State Bison",17,11.1,13.7,12.6,1.132,8.4,4.5,3.8,54.2,54.2,7.4,22.8,0.54,20.1,57.7,8.4,4.5,3.8,54.2,0,0,0,,0
5,"Binghamton Bearcats",16,5.8,6.9,6.5,1.13,4.3,2.4,1.9,56.5,56.5,12,20.7,0.45,19.6,54.3,4.3,2.4,1.9,56.5,0,0,0,,0
5,"Penn State Lady Lions",16,9.6,10.7,10.9,1.13,7.1,4.8,2.4,66.7,66.7,16.2,15.6,0.34,14.3,57.1,7.1,4.8,2.4,66.7,0,0,0,,0
7,"Lehigh Mountain Hawks",15,3.7,4.8,4.1,1.127,2.7,1.7,1,63.4,63.4,14.5,10.9,0.29,7.3,58.2,2.7,1.7,1,63.4,0,0,0,,0
8,"South Dakota State Jackrabbits",17,14.1,17.6,15.8,1.117,10.7,6.5,4.2,60.4,60.4,12.5,16.7,0.37,12.9,56.3,10.7,6.5,4.2,60.4,0,0,0,,0
9,"Vermont Catamounts",18,9.1,12.6,10,1.098,7.6,4.3,3.2,57.4,57.4,8.5,12.8,0.26,12.8,56.1,7.6,4.3,3.2,57.4,0,0,0,,0
10,"Iowa Hawkeyes",15,15.2,17.7,16.7,1.096,11.2,7.1,4.1,63.7,63.7,13.6,16.7,0.4,14.5,57.5,11.2,7.1,4.1,63.7,0,0,0,,0
11,"Indiana Hoosiers",17,4.9,6.5,5.4,1.095,3.4,2.4,1.1,69,69,21.4,10.7,0.29,6,56,3.4,2.4,1.1,69,0,0,0,,0
11,"Cleveland State Vikings",18,13.5,16.5,14.8,1.095,8.8,5.3,3.4,60.8,60.8,19.3,21.8,0.58,18.9,54.7,8.8,5.3,3.4,60.8,0,0,0,,0
13,"Montana State Bobcats",15,2.1,2.3,2.3,1.094,1.9,1.1,0.9,55.2,55.2,3.1,9.4,0.17,9.4,56.3,1.9,1.1,0.9,55.2,0,0,0,,0
