sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Valparaiso University",12,10.2,14.9,10.6,1.041,10.2,5.2,5,50.8,50.8,0.05,4.9,50.8,10.2,5.2,5,50.8,0,0,0,,0
2,"Drake Bulldogs",11,9.4,14.4,9.6,1.029,9.4,4.8,4.5,51.5,51.5,0.02,1.9,51.5,9.4,4.8,4.5,51.5,0,0,0,,0
3,"Stonehill College Skyhawks",9,8.7,14.1,8.8,1.013,8.7,4.3,4.3,50,50,0.01,1.3,50,8.7,4.3,4.3,50,0,0,0,,0
4,"Loyola (Chicago) Ramblers",12,7.4,13.7,7.4,1,7.4,3.6,3.8,48.3,48.3,0.04,4.5,48.3,7.4,3.6,3.8,48.3,0,0,0,,0
5,"Kansas Jayhawks",13,7.7,13.4,7.2,0.94,7.7,3.5,4.2,46,46,0.05,5,46,7.7,3.5,4.2,46,0,0,0,,0
5,"Butler Bulldogs",13,8.2,13.4,9,1.093,8.2,4.5,3.8,54.2,54.2,0.02,1.9,54.2,8.2,4.5,3.8,54.2,0,0,0,,0
7,"New Hampshire Wildcats",12,7.6,13.2,7.1,0.934,7.6,3.5,4.1,46.2,46.2,0.02,2.2,46.2,7.6,3.5,4.1,46.2,0,0,0,,0
8,"North Carolina Tar Heels",14,6.9,12.8,6.1,0.876,6.9,2.9,4,42.3,42.3,0.04,4.1,42.3,6.9,2.9,4,42.3,0,0,0,,0
9,"Weber State Wildcats",13,7.5,12.6,7.2,0.959,7.5,3.6,3.9,48,48,0.02,2,48,7.5,3.6,3.9,48,0,0,0,,0
9,"Rice Owls",13,7.1,12.6,6.2,0.88,7.1,2.9,4.2,41.3,41.3,0.05,5.4,41.3,7.1,2.9,4.2,41.3,0,0,0,,0
11,"East Tennessee State Buccaneers",14,7.2,12.5,5.4,0.743,7.2,2.6,4.6,36.6,36.6,0.04,4,36.6,7.2,2.6,4.6,36.6,0,0,0,,0
11,"Army Black Knights",10,6.3,12.5,6.6,1.048,6.3,3.2,3.1,50.8,50.8,0.03,3.2,50.8,6.3,3.2,3.1,50.8,0,0,0,,0
13,"Sacred Heart Pioneers",11,6.5,12.3,6.6,1.014,6.5,3.2,3.4,48.6,48.6,0.04,4.2,48.6,6.5,3.2,3.4,48.6,0,0,0,,0
14,"SIU Edwardsville Cougars",12,6.9,12.1,5.5,0.795,6.9,2.7,4.3,38.6,38.6,0.02,2.4,38.6,6.9,2.7,4.3,38.6,0,0,0,,0
14,"Bryant University Bulldogs",13,6.4,12.1,4.1,0.639,6.4,2,4.4,31.3,31.3,0.02,2.4,31.3,6.4,2,4.4,31.3,0,0,0,,0
16,"American University Eagles",11,7.4,12,7.4,1,7.4,3.5,3.8,48.1,48.1,0.04,3.7,48.1,7.4,3.5,3.8,48.1,0,0,0,,0
16,"Utah Utes",13,7.4,12,5.8,0.781,7.4,2.8,4.5,38.5,38.5,0.01,1,38.5,7.4,2.8,4.5,38.5,0,0,0,,0
18,"Vermont Catamounts",14,6.1,11.5,4.9,0.791,6.1,2.4,3.8,38.4,38.4,0.02,2.3,38.4,6.1,2.4,3.8,38.4,0,0,0,,0
19,"South Dakota State Jackrabbits",14,7.4,11.4,7,0.942,7.4,3.4,4.1,45.2,45.2,0.05,4.8,45.2,7.4,3.4,4.1,45.2,0,0,0,,0
19,"Toledo Rockets",10,6.5,11.4,5.7,0.877,6.5,2.7,3.8,41.5,41.5,0.08,7.7,41.5,6.5,2.7,3.8,41.5,0,0,0,,0
19,"Davidson Wildcats",14,6,11.4,6.3,1.048,6,3.1,2.9,51.2,51.2,0.06,6,51.2,6,3.1,2.9,51.2,0,0,0,,0
22,"Evansville Aces",12,6.7,11.3,8.3,1.238,6.7,4.1,2.6,61.3,61.3,0.03,2.5,61.3,6.7,4.1,2.6,61.3,0,0,0,,0
23,"Cornell Big Red",11,5.8,11.1,7.6,1.313,5.8,3.7,2.1,64.1,64.1,0.03,3.1,64.1,5.8,3.7,2.1,64.1,0,0,0,,0
24,"Iona Gaels",12,6.1,11,4.8,0.795,6.1,2.3,3.8,38.4,38.4,0.04,4.1,38.4,6.1,2.3,3.8,38.4,0,0,0,,0
24,"Pepperdine Waves",12,7.1,11,6.1,0.859,7.1,2.9,4.2,41.2,41.2,0.06,5.9,41.2,7.1,2.9,4.2,41.2,0,0,0,,0
24,"Princeton Tigers",13,6.3,11,4.9,0.78,6.3,2.4,3.9,37.8,37.8,0.04,3.7,37.8,6.3,2.4,3.9,37.8,0,0,0,,0
27,"Florida Atlantic Owls",12,6.2,10.9,5,0.811,6.2,2.5,3.7,40.5,40.5,0.01,1.4,40.5,6.2,2.5,3.7,40.5,0,0,0,,0
27,"South Dakota Coyotes",13,6.1,10.9,4.5,0.734,6.1,2.2,3.8,36.7,36.7,0.01,1.3,36.7,6.1,2.2,3.8,36.7,0,0,0,,0
27,"Yale Bulldogs",13,6.6,10.9,7.5,1.14,6.6,3.7,2.9,55.8,55.8,0.03,3.5,55.8,6.6,3.7,2.9,55.8,0,0,0,,0
30,"Rhode Island Rams",12,5.9,10.8,5.2,0.873,5.9,2.5,3.4,42.3,42.3,0.03,2.8,42.3,5.9,2.5,3.4,42.3,0,0,0,,0
30,"Creighton Bluejays",12,6.3,10.8,6.2,0.987,6.3,3,3.3,48,48,0.04,4,48,6.3,3,3.3,48,0,0,0,,0
30,"N.J.I.T. Highlanders",12,6.8,10.8,6.2,0.914,6.8,3,3.8,44.4,44.4,0.02,2.5,44.4,6.8,3,3.8,44.4,0,0,0,,0
33,"Albany Great Danes",13,5.5,10.7,3.7,0.676,5.5,1.8,3.6,33.8,33.8,0.01,1.4,33.8,5.5,1.8,3.6,33.8,0,0,0,,0
33,"Youngstown State Penguins",12,6.1,10.7,5,0.822,6.1,2.4,3.7,39.7,39.7,0.03,2.7,39.7,6.1,2.4,3.7,39.7,0,0,0,,0
33,"Indiana Hoosiers",13,6.5,10.7,5.5,0.847,6.5,2.6,3.9,40,40,0.08,8.2,40,6.5,2.6,3.9,40,0,0,0,,0
33,"Saint Francis (PA) Red Flash",11,6.9,10.7,6.5,0.947,6.9,3.2,3.7,46.1,46.1,0.03,2.6,46.1,6.9,3.2,3.7,46.1,0,0,0,,0
37,"Saint Joseph's Hawks",10,5.9,10.6,4.9,0.831,5.9,2.4,3.5,40.7,40.7,0.02,1.7,40.7,5.9,2.4,3.5,40.7,0,0,0,,0
38,"New Haven Chargers",10,5.7,10.5,4.6,0.807,5.7,2.2,3.5,38.6,38.6,0.05,5.3,38.6,5.7,2.2,3.5,38.6,0,0,0,,0
38,"Murray State Racers",11,7.1,10.5,8.9,1.256,7.1,4.4,2.7,61.5,61.5,0.06,6.4,61.5,7.1,4.4,2.7,61.5,0,0,0,,0
40,"Villanova Wildcats",12,5.9,10.4,4.7,0.789,5.9,2.3,3.6,39.4,39.4,0.01,1.4,39.4,5.9,2.3,3.6,39.4,0,0,0,,0
40,"Texas Southern Tigers",11,7.1,10.4,7.7,1.09,7.1,3.8,3.3,53.8,53.8,0.03,2.6,53.8,7.1,3.8,3.3,53.8,0,0,0,,0
40,"Clemson Tigers",13,5.4,10.4,5.5,1.029,5.4,2.7,2.7,50,50,0.03,2.9,50,5.4,2.7,2.7,50,0,0,0,,0
