sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Iowa State Cyclones",13,16.7,26.6,23.2,1.392,16.7,11.2,5.5,67.3,67.3,0.07,7.4,67.3,16.7,11.2,5.5,67.3,0,0,0,,0
2,"Wisconsin-(Green Bay) Phoenix",13,12.2,22,13.6,1.12,12.2,6.5,5.6,53.8,53.8,0.06,6.3,53.8,12.2,6.5,5.6,53.8,0,0,0,,0
3,"Boston University Terriers",11,10.6,20.7,8.5,0.795,10.6,4.2,6.5,39.3,39.3,0.03,2.6,39.3,10.6,4.2,6.5,39.3,0,0,0,,0
4,"South Dakota State Jackrabbits",14,11.3,19.8,13.6,1.203,11.3,6.6,4.7,58.2,58.2,0.07,7,58.2,11.3,6.6,4.7,58.2,0,0,0,,0
5,"Loyola (MD) Greyhounds",11,9.6,19.2,9.3,0.962,9.6,4.6,5,48.1,48.1,0.04,3.8,48.1,9.6,4.6,5,48.1,0,0,0,,0
6,"Iowa Hawkeyes",12,11.1,17.7,14.5,1.308,11.1,7.1,4,63.9,63.9,0.05,5.3,63.9,11.1,7.1,4,63.9,0,0,0,,0
7,"Utah Valley Wolverines",11,10,16.8,8.9,0.891,10,4.5,5.5,44.5,44.5,0,0,44.5,10,4.5,5.5,44.5,0,0,0,,0
8,"Quinnipiac Bobcats",11,9.3,15.7,9.3,1,9.3,4.5,4.7,49,49,0.04,3.9,49,9.3,4.5,4.7,49,0,0,0,,0
9,"Cleveland State Vikings",14,8.2,14.9,10.9,1.322,8.2,5.1,3.1,61.7,61.7,0.1,9.6,61.7,8.2,5.1,3.1,61.7,0,0,0,,0
10,"USC Upstate Spartans",13,8.2,14.7,7,0.858,8.2,3.4,4.8,41.5,41.5,0.04,3.8,41.5,8.2,3.4,4.8,41.5,0,0,0,,0
11,"Bryant University Bulldogs",13,8.5,14.6,9.8,1.164,8.5,4.8,3.6,57.3,57.3,0.03,2.7,57.3,8.5,4.8,3.6,57.3,0,0,0,,0
12,"Illinois State Redbirds",12,8.8,14.4,8.3,0.952,8.8,3.9,4.8,44.8,44.8,0.08,7.6,44.8,8.8,3.9,4.8,44.8,0,0,0,,0
13,"Belmont Bruins",12,8.7,14.2,6.8,0.788,8.7,3.4,5.3,39.4,39.4,0.01,1,39.4,8.7,3.4,5.3,39.4,0,0,0,,0
14,"Southern Indiana Screaming Eagles",11,9.3,13.9,8.2,0.882,9.3,3.9,5.4,42.2,42.2,0.05,4.9,42.2,9.3,3.9,5.4,42.2,0,0,0,,0
14,"Western Illinois Leathernecks",11,9,13.9,9.7,1.081,9,4.7,4.3,52.5,52.5,0.04,4,52.5,9,4.7,4.3,52.5,0,0,0,,0
16,"William & Mary Tribe",11,8.4,13.8,10.2,1.217,8.4,4.8,3.5,57.6,57.6,0.11,10.9,57.6,8.4,4.8,3.5,57.6,0,0,0,,0
17,"Wisconsin-(Milwaukee) Panthers",13,7.5,13.7,7.1,0.939,7.5,3.5,4.1,45.9,45.9,0.05,5.1,45.9,7.5,3.5,4.1,45.9,0,0,0,,0
18,"North Dakota State Bison",12,7.9,13.6,8.5,1.074,7.9,4.1,3.8,51.6,51.6,0.05,5.3,51.6,7.9,4.1,3.8,51.6,0,0,0,,0
18,"Vermont Catamounts",14,7.9,13.6,8.6,1.091,7.9,4.2,3.6,53.6,53.6,0.04,3.6,53.6,7.9,4.2,3.6,53.6,0,0,0,,0
20,"Maine Black Bears",13,7.8,13.5,7.4,0.95,7.8,3.6,4.2,46.5,46.5,0.03,3,46.5,7.8,3.6,4.2,46.5,0,0,0,,0
21,"Wagner Seahawks",10,7.7,13.3,5.6,0.727,7.7,2.8,4.9,36.4,36.4,0.01,1.3,36.4,7.7,2.8,4.9,36.4,0,0,0,,0
349,"Purdue Boilermakers",13,8.1,13.3,8.9,1.105,8.1,4.5,3.6,55.2,55.2,0.03,2.9,55.2,8.1,4.5,3.6,55.2,0,0,0,,0
22,"North Carolina A&T Aggies",10,7.2,13.2,5.2,0.722,7.2,2.5,4.7,34.7,34.7,0.04,4.2,34.7,7.2,2.5,4.7,34.7,0,0,0,,0
23,"North Dakota Fighting Hawks",13,6.9,13,5.6,0.811,6.9,2.8,4.2,40,40,0.02,2.2,40,6.9,2.8,4.2,40,0,0,0,,0
23,"California Golden Bears",13,7.5,13,7.4,0.98,7.5,3.5,4,46.9,46.9,0.05,5.1,46.9,7.5,3.5,4,46.9,0,0,0,,0
25,"Texas-(Austin) Longhorns",14,9,12.9,9.5,1.056,9,4.7,4.3,52.4,52.4,0.04,4,52.4,9,4.7,4.3,52.4,0,0,0,,0
25,"Elon Phoenix",11,7.8,12.9,7,0.895,7.8,3.4,4.5,43,43,0.06,5.8,43,7.8,3.4,4.5,43,0,0,0,,0
27,"St. Thomas (MN) Tommies",13,6.8,12.6,8.1,1.18,6.8,3.9,2.9,57.3,57.3,0.04,4.5,57.3,6.8,3.9,2.9,57.3,0,0,0,,0
28,"Minnesota Golden Gophers",12,8.4,12.4,9.1,1.079,8.4,4.5,3.9,53.5,53.5,0.02,2,53.5,8.4,4.5,3.9,53.5,0,0,0,,0
29,"Davidson Wildcats",14,7.4,12.3,7,0.951,7.4,3.4,4,45.6,45.6,0.04,3.9,45.6,7.4,3.4,4,45.6,0,0,0,,0
30,"Middle Tennessee State Blue Raiders",12,6.2,12.2,5.3,0.851,6.2,2.6,3.6,41.9,41.9,0.01,1.4,41.9,6.2,2.6,3.6,41.9,0,0,0,,0
31,"Arizona State Sun Devils",14,7.1,11.9,6.5,0.91,7.1,3.2,3.9,45,45,0.03,3,45,7.1,3.2,3.9,45,0,0,0,,0
31,"Eastern Illinois Panthers",13,6.9,11.9,5.1,0.733,6.9,2.5,4.4,36.7,36.7,0,0,36.7,6.9,2.5,4.4,36.7,0,0,0,,0
31,"Loyola Marymount Lions",11,6.8,11.9,7.9,1.16,6.8,3.7,3.1,54.7,54.7,0.07,6.7,54.7,6.8,3.7,3.1,54.7,0,0,0,,0
34,"Marquette Golden Eagles",12,6.9,11.8,7.8,1.133,6.9,3.8,3.1,55.4,55.4,0.02,2.4,55.4,6.9,3.8,3.1,55.4,0,0,0,,0
34,"Dartmouth Big Green",11,6.5,11.8,5.8,0.889,6.5,2.9,3.6,44.4,44.4,0.01,1.4,44.4,6.5,2.9,3.6,44.4,0,0,0,,0
36,"North Texas Mean Green",12,7.7,11.7,7.1,0.924,7.7,3.5,4.2,45.7,45.7,0.02,2.2,45.7,7.7,3.5,4.2,45.7,0,0,0,,0
36,"Saint Joseph's Hawks",10,6.7,11.7,6.1,0.91,6.7,3,3.7,44.8,44.8,0.01,1.5,44.8,6.7,3,3.7,44.8,0,0,0,,0
36,"Robert Morris Colonials",11,6.8,11.7,7.4,1.08,6.8,3.5,3.4,50.7,50.7,0.08,8,50.7,6.8,3.5,3.4,50.7,0,0,0,,0
39,"Liberty Flames",11,6.7,11.6,6,0.892,6.7,2.9,3.8,43.2,43.2,0.04,4.1,43.2,6.7,2.9,3.8,43.2,0,0,0,,0
39,"Portland Pilots",12,7.1,11.6,6.2,0.871,7.1,3,4.1,42.4,42.4,0.04,3.5,42.4,7.1,3,4.1,42.4,0,0,0,,0
39,"Pacific Tigers",11,6.7,11.6,6,0.892,6.7,2.9,3.8,43.2,43.2,0.05,5.4,43.2,6.7,2.9,3.8,43.2,0,0,0,,0
39,"Ball State Cardinals",13,7.5,11.6,7.2,0.969,7.5,3.5,3.9,47.4,47.4,0.05,5.2,47.4,7.5,3.5,3.9,47.4,0,0,0,,0
43,"UCLA Bruins",12,7.5,11.5,8.7,1.156,7.5,4.2,3.3,55.6,55.6,0.07,6.7,55.6,7.5,4.2,3.3,55.6,0,0,0,,0
44,"Arizona Wildcats",12,6.8,11.3,7.1,1.049,6.8,3.4,3.3,50.6,50.6,0.06,6.2,50.6,6.8,3.4,3.3,50.6,0,0,0,,0
44,"Gonzaga Bulldogs",13,6.5,11.3,7.1,1.095,6.5,3.4,3.1,52.4,52.4,0.1,9.5,52.4,6.5,3.4,3.1,52.4,0,0,0,,0
