sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Cleveland State Vikings",33,29,35.8,22.1,0.762,24.8,7.8,17,31.3,41.7,11.7,3.6,0.08,3,29.5,6.8,2.6,4.3,37.6,17.9,5.2,12.8,28.9,0.72
2,"Ohio Bobcats",31,32.1,35.3,27.6,0.86,28,9.5,18.5,33.9,46.5,10.1,3.9,0.08,3.3,32.1,6.9,2.4,4.5,34.9,21,7.1,14,33.6,0.75
3,"Bellarmine Knights",32,29.2,33.6,27.2,0.932,26.5,9.3,17.3,35,48.2,6,4,0.08,3.4,34.4,5.5,2.3,3.3,40.7,21,7,14,33.5,0.79
4,"Gardner-Webb Runnin Bulldogs",31,26.8,33.3,21.3,0.794,23.3,7.2,16,31.1,41.8,9,4.9,0.12,4.1,30.9,6.3,2.2,4.1,35.4,17,5,12,29.5,0.73
5,"Wake Forest Demon Deacons",31,27.8,33.1,21.5,0.774,25.1,7.6,17.5,30.4,41,7.7,2.6,0.05,2.1,29.3,7.6,2.3,5.4,30,17.4,5.3,12.1,30.6,0.69
6,"Western Kentucky Hilltoppers",29,26.8,32.9,22.8,0.849,23.5,7.8,15.7,33,44.9,8.1,5,0.11,4.4,32.7,6.7,2.2,4.5,32.6,16.8,5.6,11.2,33.2,0.72
7,"Saint Mary's Gaels",32,25.3,32.6,19.2,0.761,21.4,6.8,14.6,31.7,42.4,12.6,3.8,0.08,3.6,29.1,5.9,2.2,3.7,37.2,15.5,4.6,10.9,29.6,0.73
7,"UC Irvine Anteaters",32,25.7,32.6,17.8,0.692,21.9,6.1,15.8,28,37.1,11.2,3.9,0.09,3.4,27.3,6.6,2.2,4.5,32.5,15.3,4,11.3,26,0.7
9,"New Haven Chargers",29,25,32.5,19.6,0.781,21.6,6.8,14.8,31.4,42,10.6,3.6,0.08,3.6,30,6.8,2.2,4.6,32.5,14.8,4.6,10.2,30.9,0.69
10,"Saint Peter's Peacocks",30,25.3,32.4,20.6,0.812,22,7.1,14.9,32.2,44.3,10.3,3.6,0.08,3.4,30.1,5.7,1.8,3.9,31.6,16.3,5.3,11,32.4,0.74
11,"Boston University Terriers",31,23.3,31.5,21.2,0.909,21.5,7.2,14.3,33.6,45.1,3.5,5.5,0.11,5.3,35.1,6.8,2.3,4.5,33.6,14.7,4.9,9.7,33.6,0.68
12,"Southeastern Louisiana Lions",29,26.1,30.6,21.3,0.817,22.9,7.8,15.1,33.9,44.2,9.6,3.6,0.08,3.4,32.3,7.3,3.1,4.3,41.8,15.5,4.7,10.8,30.2,0.68
13,"Utah Valley Wolverines",30,25.2,30.3,21.1,0.837,20.3,7.1,13.2,35.1,47.6,14.7,5.3,0.13,4,32.4,5.9,2,3.9,34.5,14.4,5.1,9.3,35.3,0.71
13,"Cal Poly SLO Mustangs",30,25.1,30.3,20.2,0.807,21.3,6.8,14.5,31.9,42.5,9.7,5.9,0.13,4.7,31.5,5.9,2.3,3.6,38.4,15.4,4.5,10.9,29.4,0.72
15,"San Jose State Spartans",32,26.1,30.1,22.9,0.878,23.4,7.9,15.5,33.8,46.5,7.9,3.1,0.06,2.9,32.6,6,2,4,33.3,17.4,5.9,11.5,34,0.74
