sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Bellarmine Knights",29,19.4,22.3,21.6,1.114,15.4,8.5,6.9,55.3,62.1,13.5,8.4,0.2,7.8,50.4,9.9,6.4,3.5,64.6,5.5,2.1,3.4,38.4,0.36
2,"Boston College Eagles",30,13.2,16.4,14.6,1.101,10.5,5.7,4.8,54.6,60.8,12.8,9.6,0.22,8.8,50.6,6.9,4.4,2.5,64.3,3.6,1.3,2.3,36.1,0.34
3,"Creighton Bluejays",27,12.6,15.8,13.9,1.1,9.7,5.3,4.4,55,63.7,15.6,9.7,0.22,8.8,48.2,6.2,3.6,2.6,58.3,3.5,1.7,1.8,48.9,0.36
4,"Cal Poly SLO Mustangs",26,16.8,20.2,18.4,1.094,13.5,7.2,6.4,52.8,59.8,12.3,11.2,0.23,10.5,48.9,8.4,5.3,3.2,62.6,5.1,1.9,3.2,36.8,0.38
5,"Evansville Aces",27,15.6,18.2,16.9,1.083,12,6.2,5.7,52,58.4,12.6,13.3,0.31,11,50.2,7.6,4.7,2.9,61.7,4.3,1.5,2.8,35,0.36
6,"Akron Zips",26,18.2,20.9,19.3,1.063,13.1,7.2,5.8,55.3,59.9,15.6,15.4,0.39,13.7,50.5,9.8,6,3.7,61.8,3.3,1.2,2.1,36,0.25
7,"Wisconsin Badgers",28,16,19.5,17,1.062,11.8,6,5.7,51.4,56.7,14.3,15.4,0.38,13.8,49.7,8.4,4.8,3.6,57.3,3.4,1.3,2.1,36.8,0.29
7,"Texas A&M-(Corpus Christi) Islanders",26,18.1,22.1,19.2,1.062,13.4,7,6.3,52.6,57.9,13,16.8,0.4,16.4,50.9,9.2,5.6,3.6,61.1,4.2,1.4,2.8,33.9,0.31
9,"Southern Methodist Mustangs",28,22,25.2,23.3,1.059,17.7,8.8,8.9,49.9,56.1,11.1,10.2,0.23,9.3,48.5,12.1,6.6,5.5,54.7,5.5,2.2,3.4,39.4,0.31
10,"Nebraska-Omaha Mavericks",29,16.8,20.3,17.7,1.056,12.8,6.6,6.2,51.6,58.5,14.2,12.3,0.29,11.5,48.1,7.9,4.8,3,61.4,4.9,1.8,3.1,35.9,0.38
11,"Le Moyne Dolphins",28,15.7,19.8,16.5,1.052,11.6,6.3,5.4,53.7,59.7,15,13,0.32,11.6,49.8,7.6,4.9,2.8,63.8,4,1.4,2.6,34.5,0.35
11,"Mississippi State Bulldogs",28,16.5,19.8,17.3,1.052,12.8,6.6,6.2,51.5,58.4,14.8,11.3,0.25,10.8,47.3,8.4,4.8,3.6,57.2,4.3,1.8,2.6,40.5,0.34
13,"Indiana Hoosiers",28,10.4,12.7,10.9,1.048,8.3,4.1,4.1,50.2,56.1,11.7,11,0.25,10.7,47.8,5.5,3.2,2.3,57.8,2.8,1,1.8,35.1,0.33
14,"San Francisco Dons",28,13.3,15.5,13.9,1.046,9.9,5,4.9,50.7,57.4,15.6,12.1,0.3,10,46.9,6.6,3.7,2.9,56.5,3.4,1.3,2,39.4,0.34
14,"Long Beach State 49ers",26,15.2,18.4,15.9,1.046,12,5.5,6.5,46.2,51.9,8.1,13.9,0.34,12.9,48.9,7.3,4.2,3.2,56.8,4.7,1.4,3.3,29.5,0.39
16,"UCF Knights",27,13.9,16.8,14.5,1.045,10.8,5.6,5.2,51.7,57.2,13.1,10.9,0.26,9.9,48.8,7.8,4.4,3.4,56.4,3,1.2,1.8,39.5,0.28
16,"Utah Utes",28,12,14.9,12.5,1.045,9.2,4.7,4.5,50.8,56.6,13.4,11.9,0.28,11,48.7,5.8,3.6,2.2,62,3.4,1.1,2.3,31.6,0.37
18,"North Carolina-Wilmington Seahawks",26,18.4,21.7,19.2,1.044,14.3,7.3,6.9,51.5,58.9,15,9.8,0.23,9.2,47.2,9.5,5.2,4.3,54.8,4.7,2.1,2.6,44.7,0.33
19,"Drake Bulldogs",26,11.6,13.9,12.1,1.043,9.3,4.7,4.6,50.4,56.8,12.6,9.3,0.21,8.6,46.7,6.1,3.5,2.6,57.6,3.2,1.2,2,36.9,0.35
20,"Penn State Lady Lions",27,23.8,26.8,24.7,1.04,18.4,9.3,9.1,50.3,56.4,12.8,12.6,0.29,11.5,47.8,12.4,7,5.4,56.6,6,2.3,3.8,37.4,0.33
20,"Tennessee State Tigers",27,16.6,19.2,17.3,1.04,12.3,6.5,5.8,53,59.9,15.8,12.1,0.3,10,48.2,7.6,4.8,2.8,63.1,4.7,1.7,3,36.5,0.38
22,"Cornell Big Red",24,10.2,13.9,10.6,1.037,7.6,4,3.6,52.7,58.8,16.7,10.6,0.27,9.4,48.2,5.2,3.1,2.1,59.2,2.4,0.9,1.5,38.6,0.31
23,"Stonehill College Skyhawks",25,11.7,15,12.1,1.034,9.1,5,4.1,55.1,61.7,18.2,7.5,0.15,7.2,46.6,6.3,3.8,2.5,60.1,2.8,1.2,1.6,43.5,0.3
24,"South Alabama Jaguars",27,16.8,19.6,17.3,1.033,12.5,6.4,6.1,51,56.2,14.3,14.8,0.35,11.5,47.9,8.7,5.1,3.6,58.5,3.8,1.3,2.5,34,0.31
25,"Mercyhurst Lakers",26,19.1,23.6,19.7,1.03,13.5,7.5,6,55.4,60.8,19.4,12.5,0.32,10.7,48.2,9.5,6,3.5,63.3,4,1.5,2.5,36.5,0.3
26,"North Dakota Fighting Hawks",28,16,19,16.5,1.029,12.4,6.3,6.1,50.4,59.7,15.8,7.8,0.19,7.4,44.9,6.8,4,2.9,58.1,5.6,2.3,3.3,41,0.45
27,"Oregon Ducks",29,13.6,16.1,14,1.028,10.3,5.2,5,51,59.1,16.8,10.9,0.25,9.6,45.9,6.2,3.6,2.6,58.1,4.1,1.7,2.4,40.3,0.4
27,"Purdue Boilermakers",27,16.1,20,16.5,1.028,12,5.8,6.1,48.6,55.9,14.7,13.8,0.33,12.7,46.8,6.9,4.1,2.9,58.8,5,1.7,3.3,34.6,0.42
29,"Canisius Golden Griffins",27,14.9,18.2,15.3,1.027,11.9,6.2,5.7,52.2,56.5,13.4,9.7,0.2,8.7,48.1,8.5,5.2,3.3,60.9,3.4,1,2.4,30.4,0.29
29,"UMKC Kangaroos",28,18.5,22.8,19,1.027,13,7,6.1,53.4,59.5,18.9,13.5,0.35,11.9,47.6,8.9,5.4,3.5,60.4,4.1,1.6,2.5,38.3,0.32
31,"Queens University of Charlotte Royals",27,19.7,23.9,20.2,1.026,14.7,7.9,6.8,53.5,58.8,16.9,11.1,0.27,9.2,47.7,9.7,6.3,3.4,64.6,4.9,1.6,3.4,31.6,0.34
31,"Northwestern Wildcats",27,14.5,17.6,14.9,1.026,11.4,5.7,5.7,49.8,55.8,12,12.3,0.27,11,47.1,7.9,4.3,3.6,54.9,3.6,1.4,2.2,38.5,0.31
33,"Valparaiso University",27,17.6,19.9,18,1.025,13.1,6.9,6.3,52.3,59,15.8,12.7,0.3,11.8,47.9,8.7,5.1,3.6,58.5,4.4,1.8,2.7,40,0.34
34,"Pittsburgh Panthers",29,16.4,19.7,16.7,1.021,13.1,6.4,6.7,48.7,55.3,12.8,10.5,0.22,9.9,45.5,8.4,4.7,3.8,55.3,4.7,1.7,3,36.8,0.36
35,"Illinois State Redbirds",27,11.4,14,11.7,1.019,8.4,4.2,4.2,50,55.9,15.5,15.2,0.36,14.9,46.6,5.8,3.2,2.6,55.8,2.7,1,1.7,37.5,0.32
