sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Vanderbilt Commodores",28,15.2,17.8,19.1,1.256,12.3,7.3,5,59.5,68.8,11.5,10.6,0.23,9.2,55.6,6.9,5,1.9,72.5,5.4,2.3,3.1,42.7,0.44
2,"Nebraska Cornhuskers",28,14.3,17.4,17.3,1.207,11.1,6.5,4.6,58.4,68.5,15,10.5,0.24,8.7,52.6,6.3,4.2,2.1,67,4.8,2.3,2.5,47,0.43
3,"Connecticut Huskies",29,20.5,24.3,24.7,1.205,16.6,9.8,6.7,59.4,66.1,13,11.1,0.21,10.8,53.9,11.2,7.6,3.6,67.9,5.4,2.2,3.1,41.7,0.33
4,"South Carolina Gamecocks",29,21.5,24.9,25.5,1.184,16.7,10,6.7,59.8,64.2,12.7,13.6,0.3,12.5,55.8,12.4,8.5,3.9,68.8,4.3,1.4,2.8,33.9,0.26
5,"Clemson Tigers",28,9,11.8,10.6,1.178,7.6,4.1,3.4,54.7,64.4,10.3,7.9,0.17,7.1,51,4.4,2.7,1.7,61.5,3.2,1.5,1.8,45.6,0.42
6,"Oklahoma State Cowgirls",30,17.2,20.3,20.1,1.164,13.2,7.3,5.8,55.7,64.1,13.9,12.6,0.3,11.2,51.8,7.5,5.1,2.4,68.1,5.6,2.2,3.4,39.1,0.43
7,"Texas-(Austin) Longhorns",29,14.7,16.8,16.8,1.141,11.7,6.7,5.1,56.8,59.9,10.1,14.5,0.31,13.8,54.8,9.2,5.9,3.3,64.2,2.5,0.7,1.8,29.2,0.21
8,"Austin Peay Governors",27,14,17.5,15.9,1.138,10.7,6.1,4.5,57.6,63.2,14.3,12.7,0.3,11.9,53.4,7.5,5,2.6,66,3.1,1.2,2,37.6,0.3
9,"Notre Dame Fighting Irish",27,17.9,21.4,20.2,1.128,13.8,7.9,5.9,57.3,62,13.3,12.2,0.28,11.8,53.2,10.4,6.6,3.8,63.3,3.4,1.3,2.1,38.5,0.24
10,"Baylor Bears",30,11.3,13.6,12.7,1.124,8.4,4.7,3.7,55.8,62.9,16.2,14.2,0.33,11.5,50.4,5.3,3.5,1.9,65,3,1.2,1.8,39.6,0.36
11,"UC San Diego Tritons",26,14.4,17.6,16,1.115,11.2,6.2,5,55,60.7,11.8,12.3,0.3,11.2,52.4,8,4.9,3.1,61.1,3.2,1.3,1.9,39.8,0.29
12,"Georgia Southern Eagles",28,14.1,17.6,15.7,1.111,10.5,6.1,4.3,58.7,63.8,15.7,12.9,0.31,12.4,52.9,8,5.1,2.9,63.4,2.5,1.1,1.4,43.5,0.24
13,"California Golden Bears",29,11.7,14.6,13,1.109,8.9,4.7,4.2,52.9,61.2,13.9,13,0.3,11.2,49.3,5,3.2,1.8,64.4,3.9,1.5,2.4,38.1,0.44
14,"Iowa Hawkeyes",27,13.3,16,14.7,1.106,9.9,5.6,4.3,56.7,65.3,16.8,10.3,0.25,8.1,50,5.7,3.9,1.7,69.3,4.3,1.7,2.6,40,0.43
15,"LSU Tigers",28,24.1,25.2,26.6,1.101,18.3,10.6,7.7,57.8,61.5,14.3,13.8,0.31,13,52.8,14.5,9.2,5.3,63.5,3.8,1.4,2.4,35.8,0.21
16,"South Dakota State Jackrabbits",28,11.8,14.8,12.9,1.1,9,5,4.1,54.9,62.8,16.4,9.4,0.21,8.5,48.3,5.6,3.5,2.1,62.7,3.4,1.4,2,42.1,0.38
17,"North Dakota State Bison",27,14.8,18.6,16.3,1.098,10.7,5.7,5,53.4,59.3,13.8,16.5,0.42,13.5,51.5,7.9,4.5,3.4,57.1,2.9,1.3,1.6,43.6,0.27
18,"UCLA Bruins",28,16,19.2,17.5,1.096,12.4,6.7,5.7,54.2,59.5,13.9,12.1,0.27,11.6,50.6,8.7,5.4,3.3,62.1,3.7,1.3,2.4,35.6,0.3
19,"TCU Horned Frogs",30,15.9,19.5,17.4,1.094,12.2,6.8,5.4,56,62,15.5,10.3,0.24,9,50.6,7.9,5.4,2.5,68.2,4.3,1.5,2.9,33.8,0.36
19,"Ohio State Buckeyes",29,26.6,30.4,29,1.094,20.7,11,9.7,53.1,59.7,13.2,11.3,0.26,9.6,49.6,13.7,8.2,5.5,60.1,7,2.8,4.2,39.4,0.34
21,"Illinois Fighting Illini",27,14.7,17.7,16,1.091,11.2,5.8,5.4,51.8,57.9,12.4,13.4,0.32,11.9,50.5,8.1,4.4,3.6,55,3.1,1.4,1.8,43.5,0.28
22,"Vermont Catamounts",30,11.1,15.4,12.1,1.09,8.8,4.8,4,54.9,61.7,14.4,7.8,0.18,6.6,49.8,6,3.6,2.4,60.6,2.8,1.2,1.6,42.9,0.32
23,"Western Illinois Leathernecks",27,15.1,18.8,16.4,1.088,12,6.3,5.7,52.5,57.7,10.8,12.3,0.28,10.3,51.2,8.3,5,3.3,60.4,3.7,1.3,2.4,34.3,0.31
24,"Wisconsin-(Green Bay) Phoenix",29,8.7,11.5,9.5,1.087,6.7,3.6,3,54.4,61.9,15,10.7,0.26,9.5,50.2,4.1,2.6,1.4,64.4,2.6,1,1.6,38.7,0.39
24,"Charleston Cougars",25,17.5,19.9,19,1.087,13.6,7,6.6,51.6,58.6,12.8,14.2,0.31,13.7,49.1,8.8,5.1,3.7,58.2,4.8,1.9,2.9,39.5,0.35
24,"West Virginia Mountaineers",29,15.9,18.7,17.3,1.087,11.2,6,5.2,53.8,58,14.5,18,0.47,16.5,52.4,8.7,5.1,3.6,58.5,2.5,0.9,1.6,37.5,0.22
27,"USC Trojans",28,16.2,19.4,17.5,1.079,12.6,6.8,5.8,54.1,61,14.8,9.9,0.22,9.5,49.1,7.9,5.1,2.8,64.5,4.8,1.8,3,36.8,0.38
28,"Michigan Wolverines",28,24.5,26.7,26.4,1.077,18.3,10.1,8.1,55.5,60.1,14.7,14.7,0.34,13.1,50.8,13.6,8.5,5.2,62,4.6,1.7,3,36.2,0.25
29,"Wisconsin Badgers",28,13.8,16.8,14.9,1.075,11,5.6,5.4,50.8,62.5,15.8,6.2,0.15,5.9,45,4.4,3,1.4,67.7,6.5,2.6,4,39.3,0.6
30,"UC Irvine Anteaters",27,13.2,16.6,14.1,1.073,9.4,4.7,4.7,49.8,61.4,17.7,13.5,0.34,11.2,45.5,4.6,2.5,2.1,54.4,4.8,2.2,2.6,45.4,0.51
