sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"West Georgia Wolves",10,26.6,96.4,24.6,0.925,26.6,8.2,18.4,30.8,46.2,0,0,30.8,0,0,0,,26.6,8.2,18.4,30.8,1
2,"Ohio Bobcats",9,31.8,95.7,27.4,0.864,31.8,9.1,22.7,28.7,43,0,0.3,28.7,0,0,0,,31.8,9.1,22.7,28.7,1
3,"Abilene Christian Wildcats",12,27.2,95.6,21.5,0.791,27.2,7.2,20,26.4,39.6,0,0,26.4,0,0,0,,27.2,7.2,20,26.4,1
4,"Fairfield Stags",11,32,95.1,38.3,1.196,32,12.7,19.3,39.8,59.7,0,0.3,39.8,0,0,0,,32,12.7,19.3,39.8,1
5,"Davidson Wildcats",14,23.9,94.4,26.1,1.093,23.9,8.7,15.2,36.4,54.6,0,0.3,36.4,0,0,0,,23.9,8.7,15.2,36.4,1
6,"Lehigh Mountain Hawks",11,27.3,93.8,22.1,0.81,27.3,7.4,19.9,27,40.5,0,0,27,0,0,0,,27.3,7.4,19.9,27,1
7,"California Baptist Lancers",13,29.8,93,22.8,0.765,29.8,7.6,22.2,25.5,38.3,0,0,25.5,0,0,0,,29.8,7.6,22.2,25.5,1
8,"Richmond Spiders",14,29,91.6,30.6,1.057,29,10.2,18.8,35.2,52.8,0,0,35.2,0,0,0,,29,10.2,18.8,35.2,1
9,"Montana Lady Griz",11,31.2,91.5,29.2,0.936,31.2,9.7,21.5,31.2,46.8,0,0,31.2,0,0,0,,31.2,9.7,21.5,31.2,1
10,"Stetson Hatters",9,26.3,90.8,29.3,1.114,26.3,9.8,16.6,37.1,55.7,0,0,37.1,0,0,0,,26.3,9.8,16.6,37.1,1
11,"Morehead State Eagles",12,27.7,90.7,22.3,0.804,27.7,7.4,20.3,26.8,40.2,0,0,26.8,0,0,0,,27.7,7.4,20.3,26.8,1
12,"Bowling Green Falcons",12,28.3,90.4,23,0.814,28.3,7.7,20.6,27.1,40.7,0,0,27.1,0,0,0,,28.3,7.7,20.6,27.1,1
13,"Marshall Thundering Herd",14,27,90,26.2,0.971,27,8.7,18.3,32.3,48.4,0,0.3,32.3,0,0,0,,27,8.7,18.3,32.3,1
14,"Stephen F. Austin Lumberjacks",11,28.5,89.7,23.5,0.822,28.5,7.8,20.7,27.4,41.1,0,0,27.4,0,0,0,,28.5,7.8,20.7,27.4,1
15,"UC Davis Aggies",12,29,89.2,29.6,1.02,29,9.8,19.2,33.9,50.9,0,0.3,33.9,0,0,0,,29,9.8,19.2,33.9,1
16,"Arkansas State Red Wolves",13,33.1,88.3,30,0.907,33.1,10,23.1,30.2,45.3,0,0,30.2,0,0,0,,33.1,10,23.1,30.2,1
17,"Eastern Kentucky Colonels",12,25.4,87.9,25.5,1.003,25.4,8.5,16.9,33.4,50.2,0,0,33.4,0,0,0,,25.4,8.5,16.9,33.4,1
18,"Boston University Terriers",11,18.5,87.6,18,0.971,18.5,6,12.5,32.4,48.5,0,0,32.4,0,0,0,,18.5,6,12.5,32.4,1
19,"Mercyhurst Lakers",11,28.2,87.3,24.5,0.871,28.2,8.2,20,29,43.5,0,0,29,0,0,0,,28.2,8.2,20,29,1
19,"North Dakota Fighting Hawks",13,25.3,87.3,18.2,0.72,25.3,6.1,19.2,24,36,0,0,24,0,0,0,,25.3,6.1,19.2,24,1
21,"Indiana University - Indianapolis Jaguars",12,21.7,87.2,16.5,0.762,21.7,5.5,16.2,25.4,38.1,0,0,25.4,0,0,0,,21.7,5.5,16.2,25.4,1
22,"St. Thomas (MN) Tommies",13,21.6,87,21,0.972,21.6,7,14.6,32.4,48.6,0,0,32.4,0,0,0,,21.6,7,14.6,32.4,1
23,"Tennessee Lady Volunteers",11,34.9,86.9,31.1,0.891,34.9,10.4,24.5,29.7,44.5,0,0,29.7,0,0,0,,34.9,10.4,24.5,29.7,1
24,"Utah Utes",13,27.2,86.8,28.2,1.037,27.2,9.4,17.8,34.5,51.7,0,0.3,34.5,0,0,0,,27.2,9.4,17.8,34.5,1
25,"Cal State Northridge Matadors",11,31.4,86.7,28.5,0.91,31.4,9.5,21.9,30.1,45.2,0.01,0.6,30.1,0,0,0,,31.4,9.5,21.9,30.1,1
26,"San Francisco Dons",11,21.2,86.6,18.3,0.863,21.2,6.1,15.1,28.8,43.1,0,0,28.8,0,0,0,,21.2,6.1,15.1,28.8,1
27,"Drake Bulldogs",11,23.8,86.5,19.4,0.813,23.8,6.5,17.4,27.1,40.6,0,0,27.1,0,0,0,,23.8,6.5,17.4,27.1,1
28,"Utah Tech University Trailblazers",10,29.4,86.2,22.5,0.765,29.4,7.5,21.9,25.5,38.3,0,0,25.5,0,0,0,,29.4,7.5,21.9,25.5,1
28,"Cleveland State Vikings",14,18.7,86.2,18,0.962,18.7,6,12.7,32.1,48.1,0,0,32.1,0,0,0,,18.7,6,12.7,32.1,1
30,"Louisiana Tech Lady Techsters",11,23.6,86.1,22.1,0.935,23.6,7.4,16.3,31.2,46.7,0,0,31.2,0,0,0,,23.6,7.4,16.3,31.2,1
31,"West Virginia Mountaineers",13,20.5,85.9,20.5,1,20.5,6.8,13.7,33.3,50,0,0,33.3,0,0,0,,20.5,6.8,13.7,33.3,1
32,"Miami (OH) RedHawks",12,24.2,85.8,23.8,0.983,24.2,7.9,16.3,32.8,49.1,0,0,32.8,0,0,0,,24.2,7.9,16.3,32.8,1
33,"California Golden Bears",13,22.7,85.5,19.8,0.875,22.7,6.6,16.1,29.2,43.7,0,0,29.2,0,0,0,,22.7,6.6,16.1,29.2,1
34,"North Florida Ospreys",11,22.9,85.4,20.5,0.893,22.9,6.8,16.1,29.8,44.6,0,0,29.8,0,0,0,,22.9,6.8,16.1,29.8,1
