sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Ohio Bobcats",9,31.1,87,30.2,0.971,31.1,10,21.1,32.1,48.2,0.01,0.7,32.1,0,0,0,,31.1,10,21.1,32.1,1
2,"Long Beach State 49ers",11,26.1,82.9,24.3,0.93,26.1,8.1,18,31,46.5,0,0,31,0,0,0,,26.1,8.1,18,31,1
3,"Nebraska-Omaha Mavericks",14,26.9,82.7,26.6,0.987,26.9,8.9,18.1,32.9,49.3,0,0,32.9,0,0,0,,26.9,8.9,18.1,32.9,1
4,"Boise State Broncos",13,24.3,82.5,22.1,0.908,24.3,7.3,17,30.1,45.1,0.01,0.6,30.1,0,0,0,,24.3,7.3,17,30.1,1
5,"Gardner-Webb Runnin Bulldogs",14,24.6,81.9,25.4,1.035,24.6,8.4,16.1,34.3,51.5,0.01,0.6,34.3,0,0,0,,24.6,8.4,16.1,34.3,1
6,"Western Kentucky Hilltoppers",11,27.7,81.8,24.5,0.885,27.7,8.2,19.5,29.5,44.3,0,0.3,29.5,0,0,0,,27.7,8.2,19.5,29.5,1
7,"Northern Arizona Lumberjacks",13,25.8,81.7,24.6,0.955,25.8,8.2,17.6,31.6,47.5,0.01,0.6,31.6,0,0,0,,25.8,8.2,17.6,31.6,1
8,"Kent State Golden Flashes",12,26.3,80.8,23.6,0.898,26.3,7.8,18.4,29.8,44.8,0,0.3,29.8,0,0,0,,26.3,7.8,18.4,29.8,1
9,"Georgia State Panthers",13,25.7,80.7,24.2,0.943,25.7,8.1,17.6,31.4,47.2,0,0,31.4,0,0,0,,25.7,8.1,17.6,31.4,1
10,"Mount St. Mary's Mountaineers",11,22.4,80.1,19.4,0.866,22.4,6.5,15.9,28.9,43.3,0,0,28.9,0,0,0,,22.4,6.5,15.9,28.9,1
