sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Nebraska Cornhuskers",12,27.7,42.3,40.2,1.452,27.7,19.3,8.4,69.6,69.6,0.09,9,69.6,27.7,19.3,8.4,69.6,0,0,0,,0
2,"South Carolina Gamecocks",13,35.9,54.2,49.6,1.381,35.9,24.2,11.8,67.2,67.2,0.06,5.8,67.2,35.9,24.2,11.8,67.2,0,0,0,,0
3,"LSU Tigers",13,40,53.7,55.1,1.377,40,26.5,13.5,66.2,66.2,0.08,7.7,66.2,40,26.5,13.5,66.2,0,0,0,,0
4,"Iowa State Cyclones",13,28.2,44.9,38.6,1.372,28.2,18.6,9.5,66.1,66.1,0.06,6.3,66.1,28.2,18.6,9.5,66.1,0,0,0,,0
5,"Oklahoma State Cowgirls",14,27.9,41.7,37.8,1.356,27.9,18.2,9.6,65.4,65.4,0.07,6.7,65.4,27.9,18.2,9.6,65.4,0,0,0,,0
5,"Florida Gulf Coast Eagles",10,23.3,42.6,31.6,1.356,23.3,15.3,8,65.7,65.7,0.07,6.9,65.7,23.3,15.3,8,65.7,0,0,0,,0
7,"UCLA Bruins",12,29.9,45.9,40.5,1.354,29.9,19.6,10.3,65.5,65.5,0.06,6.4,65.5,29.9,19.6,10.3,65.5,0,0,0,,0
8,"Kentucky Wildcats",13,21.9,33.8,29.6,1.351,21.9,14.4,7.5,65.6,65.6,0.07,6.7,65.6,21.9,14.4,7.5,65.6,0,0,0,,0
9,"Connecticut Huskies",12,32.2,46.5,43.3,1.347,32.2,20.7,11.5,64.2,64.2,0.08,8,64.2,32.2,20.7,11.5,64.2,0,0,0,,0
9,"TCU Horned Frogs",13,31.1,47.5,41.8,1.347,31.1,20.3,10.8,65.3,65.3,0.06,6.2,65.3,31.1,20.3,10.8,65.3,0,0,0,,0
11,"Michigan State Spartans",12,33.8,51.3,44.8,1.323,33.8,21.6,12.3,63.8,63.8,0.08,7.6,63.8,33.8,21.6,12.3,63.8,0,0,0,,0
12,"Notre Dame Fighting Irish",11,30.5,45.1,40.3,1.322,30.5,19.5,10.9,64.2,64.2,0.05,4.8,64.2,30.5,19.5,10.9,64.2,0,0,0,,0
13,"Iowa Hawkeyes",12,29,46.3,38.2,1.316,29,18.7,10.3,64.4,64.4,0.06,6.3,64.4,29,18.7,10.3,64.4,0,0,0,,0
14,"Portland Pilots",12,25.2,41.2,32.9,1.308,25.2,15.9,9.3,63.2,63.2,0.06,6.3,63.2,25.2,15.9,9.3,63.2,0,0,0,,0
