sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Vermont Catamounts",14,3.4,6.3,2.6,0.787,3.4,1.2,2.1,36.2,36.2,0.06,6.4,36.2,3.4,1.2,2.1,36.2,0,0,0,,0
2,"Wyoming Cowgirls",11,3.5,6.1,3.8,1.105,3.5,1.9,1.5,55.3,55.3,0,0,55.3,3.5,1.9,1.5,55.3,0,0,0,,0
3,"American University Eagles",11,3,4.9,2.5,0.848,3,1.3,1.7,42.4,42.4,0,0,42.4,3,1.3,1.7,42.4,0,0,0,,0
4,"Cornell Big Red",11,2.5,4.8,3.1,1.214,2.5,1.5,1,60.7,60.7,0,0,60.7,2.5,1.5,1,60.7,0,0,0,,0
5,"Hofstra Pride",10,2.6,4.6,1.9,0.731,2.6,0.9,1.7,34.6,34.6,0.04,3.8,34.6,2.6,0.9,1.7,34.6,0,0,0,,0
5,"Creighton Bluejays",12,2.7,4.6,2,0.75,2.7,1,1.7,37.5,37.5,0.03,3.1,37.5,2.7,1,1.7,37.5,0,0,0,,0
7,"Weber State Wildcats",13,2.7,4.5,2.6,0.971,2.7,1.3,1.4,48.6,48.6,0,0,48.6,2.7,1.3,1.4,48.6,0,0,0,,0
7,"New Hampshire Wildcats",12,2.6,4.5,1.7,0.645,2.6,0.8,1.8,32.3,32.3,0,0,32.3,2.6,0.8,1.8,32.3,0,0,0,,0
9,"Youngstown State Penguins",12,2.4,4.3,2.3,0.931,2.4,1.1,1.3,44.8,44.8,0.03,3.4,44.8,2.4,1.1,1.3,44.8,0,0,0,,0
9,"Brown Bears",11,2.5,4.3,1.7,0.704,2.5,0.8,1.6,33.3,33.3,0.04,3.7,33.3,2.5,0.8,1.6,33.3,0,0,0,,0
11,"Pepperdine Waves",12,2.7,4.2,1.3,0.5,2.7,0.7,2,25,25,0.03,3.1,25,2.7,0.7,2,25,0,0,0,,0
12,"Portland State Vikings",12,2.7,4.1,2.5,0.938,2.7,1.3,1.4,46.9,46.9,0,0,46.9,2.7,1.3,1.4,46.9,0,0,0,,0
13,"Cleveland State Vikings",14,2.3,4,2.4,1.063,2.3,1.2,1.1,53.1,53.1,0.03,3.1,53.1,2.3,1.2,1.1,53.1,0,0,0,,0
13,"East Tennessee State Buccaneers",14,2.3,4,1.4,0.625,2.3,0.7,1.6,31.3,31.3,0,0,31.3,2.3,0.7,1.6,31.3,0,0,0,,0
15,"New Haven Chargers",10,2.1,3.9,1.2,0.571,2.1,0.6,1.5,28.6,28.6,0,0,28.6,2.1,0.6,1.5,28.6,0,0,0,,0
16,"Clemson Tigers",13,2,3.8,1.5,0.769,2,0.8,1.2,38.5,38.5,0,0,38.5,2,0.8,1.2,38.5,0,0,0,,0
16,"North Carolina Tar Heels",14,2.1,3.8,1.2,0.586,2.1,0.6,1.5,27.6,27.6,0.03,3.4,27.6,2.1,0.6,1.5,27.6,0,0,0,,0
