sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"William & Mary Tribe",11,5.1,8.4,5.9,1.161,5.1,2.9,2.2,57.1,57.1,0.02,1.8,57.1,5.1,2.9,2.2,57.1,0,0,0,,0
2,"Eastern Illinois Panthers",13,4.5,7.8,3.1,0.678,4.5,1.5,3,33.9,33.9,0,0,33.9,4.5,1.5,3,33.9,0,0,0,,0
3,"Wisconsin-(Green Bay) Phoenix",13,4.2,7.5,3.2,0.778,4.2,1.6,2.5,38.9,38.9,0,0,38.9,4.2,1.6,2.5,38.9,0,0,0,,0
4,"Seattle Redhawks",11,4,6.6,3.6,0.909,4,1.8,2.2,45.5,45.5,0,0,45.5,4,1.8,2.2,45.5,0,0,0,,0
4,"Boston University Terriers",11,3.4,6.6,2.2,0.649,3.4,1.1,2.3,32.4,32.4,0,0,32.4,3.4,1.1,2.3,32.4,0,0,0,,0
6,"USC Upstate Spartans",13,3.6,6.5,2.6,0.723,3.6,1.2,2.4,34,34,0.04,4.3,34,3.6,1.2,2.4,34,0,0,0,,0
7,"Holy Cross Crusaders",11,3.6,6.3,3.4,0.925,3.6,1.6,2,45,45,0.03,2.5,45,3.6,1.6,2,45,0,0,0,,0
8,"Utah Valley Wolverines",11,3.7,6.3,2.7,0.732,3.7,1.4,2.4,36.6,36.6,0,0,36.6,3.7,1.4,2.4,36.6,0,0,0,,0
9,"St. Thomas (MN) Tommies",13,3.2,5.8,3.2,1.024,3.2,1.6,1.5,51.2,51.2,0,0,51.2,3.2,1.6,1.5,51.2,0,0,0,,0
10,"Santa Clara Broncos",13,3.8,5.4,3,0.78,3.8,1.5,2.4,38,38,0.02,2,38,3.8,1.5,2.4,38,0,0,0,,0
11,"Fordham Rams",12,3.4,5.3,2,0.585,3.4,1,2.4,29.3,29.3,0,0,29.3,3.4,1,2.4,29.3,0,0,0,,0
11,"Appalachian State Mountaineers",11,2.8,5.3,2.5,0.871,2.8,1.2,1.6,41.9,41.9,0.03,3.2,41.9,2.8,1.2,1.6,41.9,0,0,0,,0
13,"North Florida Ospreys",11,3,5.1,2.3,0.758,3,1.1,1.9,36.4,36.4,0.09,9.1,36.4,3,1.1,1.9,36.4,0,0,0,,0
14,"Minnesota Golden Gophers",12,3.4,5,3.3,0.976,3.4,1.7,1.8,48.8,48.8,0.02,2.4,48.8,3.4,1.7,1.8,48.8,0,0,0,,0
15,"Southern Indiana Screaming Eagles",11,3.3,4.9,2.2,0.667,3.3,1.1,2.2,33.3,33.3,0,0,33.3,3.3,1.1,2.2,33.3,0,0,0,,0
15,"South Dakota State Jackrabbits",14,2.8,4.9,2.9,1.051,2.8,1.4,1.4,51.3,51.3,0.05,5.1,51.3,2.8,1.4,1.4,51.3,0,0,0,,0
17,"Northern Iowa Panthers",11,2.7,4.8,1.6,0.6,2.7,0.8,1.9,30,30,0,0,30,2.7,0.8,1.9,30,0,0,0,,0
17,"Arizona State Sun Devils",14,2.9,4.8,2.2,0.775,2.9,1.1,1.8,37.5,37.5,0.05,5,37.5,2.9,1.1,1.8,37.5,0,0,0,,0
17,"Wisconsin-(Milwaukee) Panthers",13,2.6,4.8,2.2,0.853,2.6,1.1,1.5,41.2,41.2,0.03,2.9,41.2,2.6,1.1,1.5,41.2,0,0,0,,0
20,"Purdue Boilermakers",12,2.8,4.6,2.3,0.824,2.8,1.2,1.7,41.2,41.2,0,0,41.2,2.8,1.2,1.7,41.2,0,0,0,,0
20,"East Texas A&M Lions",9,2.8,4.6,2.9,1.04,2.8,1.4,1.3,52,52,0,0,52,2.8,1.4,1.3,52,0,0,0,,0
20,"Rhode Island Rams",12,2.8,4.6,2.3,0.848,2.8,1.2,1.6,42.4,42.4,0,0,42.4,2.8,1.2,1.6,42.4,0,0,0,,0
20,"Canisius Golden Griffins",11,2.2,4.6,2.3,1.042,2.2,1.1,1.1,50,50,0.04,4.2,50,2.2,1.1,1.1,50,0,0,0,,0
24,"Wagner Seahawks",10,2.6,4.5,1.8,0.692,2.6,0.9,1.7,34.6,34.6,0,0,34.6,2.6,0.9,1.7,34.6,0,0,0,,0
24,"Nebraska Cornhuskers",12,2.9,4.5,1.8,0.629,2.9,0.9,2,31.4,31.4,0,0,31.4,2.9,0.9,2,31.4,0,0,0,,0
26,"Detroit Titans",10,2.4,4.4,2.6,1.083,2.4,1.3,1.1,54.2,54.2,0,0,54.2,2.4,1.3,1.1,54.2,0,0,0,,0
26,"Harvard Crimson",12,2.7,4.4,1.5,0.563,2.7,0.8,1.9,28.1,28.1,0,0,28.1,2.7,0.8,1.9,28.1,0,0,0,,0
28,"Wyoming Cowgirls",11,2.3,4.2,1.7,0.76,2.3,0.8,1.5,36,36,0.04,4,36,2.3,0.8,1.5,36,0,0,0,,0
28,"Illinois-Chicago Flames",12,2.3,4.2,2.7,1.143,2.3,1.3,1,57.1,57.1,0,0,57.1,2.3,1.3,1,57.1,0,0,0,,0
28,"San Francisco Dons",11,2.5,4.2,2,0.786,2.5,1,1.5,39.3,39.3,0,0,39.3,2.5,1,1.5,39.3,0,0,0,,0
31,"Texas-(Austin) Longhorns",14,2.9,4.1,3.6,1.275,2.9,1.8,1.1,62.5,62.5,0.03,2.5,62.5,2.9,1.8,1.1,62.5,0,0,0,,0
32,"Robert Morris Colonials",11,2.4,4,2.4,1,2.4,1.1,1.3,46.2,46.2,0.08,7.7,46.2,2.4,1.1,1.3,46.2,0,0,0,,0
32,"Portland Pilots",12,2.4,4,1.3,0.552,2.4,0.7,1.8,27.6,27.6,0,0,27.6,2.4,0.7,1.8,27.6,0,0,0,,0
34,"Stetson Hatters",9,2.3,3.9,1.3,0.571,2.3,0.7,1.7,28.6,28.6,0,0,28.6,2.3,0.7,1.7,28.6,0,0,0,,0
34,"Duke Blue Devils",12,2.5,3.9,1.9,0.767,2.5,0.9,1.6,36.7,36.7,0.03,3.3,36.7,2.5,0.9,1.6,36.7,0,0,0,,0
34,"North Dakota Fighting Hawks",13,2.1,3.9,2,0.963,2.1,1,1.1,48.1,48.1,0,0,48.1,2.1,1,1.1,48.1,0,0,0,,0
34,"Mississippi Valley State Delta Devils",11,2.4,3.9,1.5,0.615,2.4,0.7,1.6,30.8,30.8,0.04,3.8,30.8,2.4,0.7,1.6,30.8,0,0,0,,0
34,"Boise State Broncos",13,2.3,3.9,1.2,0.533,2.3,0.6,1.7,26.7,26.7,0,0,26.7,2.3,0.6,1.7,26.7,0,0,0,,0
34,"North Dakota State Bison",12,2.3,3.9,2,0.889,2.3,1,1.3,44.4,44.4,0,0,44.4,2.3,1,1.3,44.4,0,0,0,,0
34,"Valparaiso University",12,2.3,3.9,1.3,0.593,2.3,0.7,1.6,29.6,29.6,0,0,29.6,2.3,0.7,1.6,29.6,0,0,0,,0
41,"Northwestern State Demons",11,2.2,3.8,1.5,0.708,2.2,0.7,1.5,33.3,33.3,0.08,8.3,33.3,2.2,0.7,1.5,33.3,0,0,0,,0
41,"California Baptist Lancers",13,2.5,3.8,2.4,0.969,2.5,1.2,1.3,46.9,46.9,0.03,3.1,46.9,2.5,1.2,1.3,46.9,0,0,0,,0
43,"Washington State Cougars",13,2.2,3.7,1.2,0.571,2.2,0.6,1.5,28.6,28.6,0,0,28.6,2.2,0.6,1.5,28.6,0,0,0,,0
43,"Columbia Lions",12,2.3,3.7,2.1,0.926,2.3,1,1.3,44.4,44.4,0.04,3.7,44.4,2.3,1,1.3,44.4,0,0,0,,0
43,"Fresno State Bulldogs",13,2.2,3.7,1.1,0.483,2.2,0.5,1.7,24.1,24.1,0,0,24.1,2.2,0.5,1.7,24.1,0,0,0,,0
43,"Pittsburgh Panthers",14,2.2,3.7,2.4,1.097,2.2,1.2,1,54.8,54.8,0,0,54.8,2.2,1.2,1,54.8,0,0,0,,0
47,"Le Moyne Dolphins",12,1.9,3.6,1.8,0.957,1.9,0.9,1,47.8,47.8,0,0,47.8,1.9,0.9,1,47.8,0,0,0,,0
47,"Loyola (MD) Greyhounds",11,1.8,3.6,0.5,0.3,1.8,0.3,1.5,15,15,0.05,5,15,1.8,0.3,1.5,15,0,0,0,,0
47,"Jackson State Tigers",11,2.3,3.6,1.1,0.48,2.3,0.5,1.7,24,24,0,0,24,2.3,0.5,1.7,24,0,0,0,,0
47,"Manhattan Jaspers",10,2,3.6,1,0.5,2,0.5,1.5,25,25,0,0,25,2,0.5,1.5,25,0,0,0,,0
47,"Davidson Wildcats",14,2.1,3.6,1.9,0.867,2.1,0.9,1.2,43.3,43.3,0,0,43.3,2.1,0.9,1.2,43.3,0,0,0,,0
47,"Georgetown Hoyas",11,2.2,3.6,1.6,0.75,2.2,0.8,1.4,37.5,37.5,0,0,37.5,2.2,0.8,1.4,37.5,0,0,0,,0
47,"California Golden Bears",13,2.1,3.6,1.7,0.815,2.1,0.8,1.2,40.7,40.7,0,0,40.7,2.1,0.8,1.2,40.7,0,0,0,,0
54,"New Hampshire Wildcats",12,1.9,3.5,1.2,0.609,1.9,0.6,1.3,30.4,30.4,0,0,30.4,1.9,0.6,1.3,30.4,0,0,0,,0
55,"Akron Zips",11,2,3.4,2.4,1.182,2,1.1,0.9,54.5,54.5,0.09,9.1,54.5,2,1.1,0.9,54.5,0,0,0,,0
55,"Buffalo Bulls",11,2.1,3.4,0.9,0.435,2.1,0.5,1.6,21.7,21.7,0,0,21.7,2.1,0.5,1.6,21.7,0,0,0,,0
55,"Louisiana-(Monroe) Warhawks",11,2,3.4,1.3,0.636,2,0.6,1.4,31.8,31.8,0,0,31.8,2,0.6,1.4,31.8,0,0,0,,0
55,"Massachusetts Minutewomen",10,2.1,3.4,1.8,0.857,2.1,0.9,1.2,42.9,42.9,0,0,42.9,2.1,0.9,1.2,42.9,0,0,0,,0
55,"Dartmouth Big Green",11,1.9,3.4,0.7,0.381,1.9,0.4,1.5,19,19,0,0,19,1.9,0.4,1.5,19,0,0,0,,0
55,"Central Michigan Chippewas",11,2,3.4,0.9,0.455,2,0.5,1.5,22.7,22.7,0,0,22.7,2,0.5,1.5,22.7,0,0,0,,0
55,"Northwestern Wildcats",12,2.1,3.4,1.3,0.64,2.1,0.7,1.4,32,32,0,0,32,2.1,0.7,1.4,32,0,0,0,,0
55,"Cal Poly SLO Mustangs",11,1.8,3.4,1.1,0.6,1.8,0.5,1.3,30,30,0,0,30,1.8,0.5,1.3,30,0,0,0,,0
55,"Lipscomb Bisons",11,1.9,3.4,2,1.048,1.9,1,0.9,52.4,52.4,0.05,4.8,52.4,1.9,1,0.9,52.4,0,0,0,,0
64,"Tarleton State Texans",11,2,3.3,1.1,0.545,2,0.5,1.5,27.3,27.3,0,0,27.3,2,0.5,1.5,27.3,0,0,0,,0
64,"Texas-(San Antonio) Roadrunners",11,1.9,3.3,1.9,1,1.9,0.9,1,47.6,47.6,0.05,4.8,47.6,1.9,0.9,1,47.6,0,0,0,,0
64,"Belmont Bruins",12,2,3.3,1.5,0.75,2,0.8,1.3,37.5,37.5,0,0,37.5,2,0.8,1.3,37.5,0,0,0,,0
64,"Yale Bulldogs",13,2,3.3,1.2,0.615,2,0.6,1.4,30.8,30.8,0,0,30.8,2,0.6,1.4,30.8,0,0,0,,0
64,"Oral Roberts Golden Eagles",12,2.1,3.3,0.9,0.44,2.1,0.4,1.7,20,20,0.04,4,20,2.1,0.4,1.7,20,0,0,0,,0
69,"Quinnipiac Bobcats",11,1.9,3.2,2.2,1.143,1.9,1.1,0.8,57.1,57.1,0,0,57.1,1.9,1.1,0.8,57.1,0,0,0,,0
69,"Purdue Fort Wayne Mastodons",13,1.8,3.2,1.8,1,1.8,0.9,0.9,50,50,0.04,4.2,50,1.8,0.9,0.9,50,0,0,0,,0
