sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Oregon State Beavers",13,38.8,61.9,34.1,0.877,38.8,13.5,25.4,34.7,43.9,0,0,34.7,15.9,6.3,9.6,39.6,22.9,7.2,15.8,31.2,0.59
2,"Colorado State Rams",13,33,60.7,25.9,0.786,33,9.6,23.4,29.1,39.2,0,0.2,29.1,10.9,3,7.9,27.5,22.1,6.6,15.5,30,0.67
3,"LSU Tigers",13,34.8,60.5,24.6,0.708,34.8,8.8,25.9,25.4,35.2,0.01,0.7,25.4,9.2,2.1,7.1,22.7,25.6,6.8,18.8,26.4,0.74
4,"Connecticut Huskies",12,33.3,60,26.3,0.79,33.3,9.7,23.7,29,39.5,0,0,29,9.8,2.7,7.1,27.4,23.6,7,16.6,29.7,0.71
5,"Ohio Bobcats",9,35.8,59.9,34.8,0.972,35.8,12.2,23.6,34.2,48.1,0.01,0.9,34.2,4.7,2.2,2.4,47.6,31.1,10,21.1,32.1,0.87
6,"Southern Indiana Screaming Eagles",11,30.8,59.4,23.9,0.776,30.8,8.6,22.2,28,38.8,0,0,28,6.7,2,4.7,29.7,24.1,6.6,17.5,27.5,0.78
7,"USC Upstate Spartans",13,35.1,59.3,30.4,0.866,35.1,10.8,24.2,30.9,43.1,0.01,0.7,30.9,7.4,2.3,5.1,31.3,27.7,8.5,19.2,30.8,0.79
8,"Coastal Carolina Chanticleers",13,36.1,59.2,25.8,0.716,36.1,9.5,26.5,26.4,35.8,0,0,26.4,8.5,2.8,5.7,32.7,27.6,6.8,20.8,24.5,0.77
9,"South Carolina Gamecocks",13,37.5,58.5,25.3,0.676,37.5,9.7,27.8,25.9,33.4,0.01,1,25.9,14.6,4.1,10.5,27.9,22.8,5.6,17.2,24.6,0.61
10,"Seton Hall Pirates",12,35.1,58.1,30.7,0.874,35.1,11.3,23.8,32.3,43.7,0,0,32.3,9.3,3.3,5.9,36,25.8,8,17.8,31,0.74
10,"Texas-(San Antonio) Roadrunners",11,34.7,58.1,26.5,0.764,34.7,10.2,24.5,29.3,38.2,0,0,29.3,11.9,4,7.9,33.6,22.8,6.2,16.6,27.1,0.66
12,"Auburn Tigers",13,30.3,58,23.8,0.787,30.3,9.1,21.2,29.9,39.1,0.01,0.5,29.9,10.5,3.5,7,33.6,19.8,5.5,14.2,28,0.65
13,"Iowa Hawkeyes",12,35.3,57.7,29,0.823,35.3,10.8,24.5,30.5,41.1,0,0,30.5,10.4,3.3,7.2,31.2,24.8,7.5,17.3,30.2,0.7
13,"Central Arkansas Bears",12,31.9,57.7,23.3,0.728,31.9,8.6,23.3,26.9,36.4,0,0,26.9,10,2.5,7.5,25,21.9,6.1,15.8,27.8,0.69
15,"Minnesota Golden Gophers",12,30.8,57.6,21,0.683,30.8,7.7,23.1,24.9,34.1,0,0,24.9,8.5,2,6.5,23.5,22.3,5.7,16.6,25.5,0.72
16,"Iowa State Cyclones",13,33.4,57.4,25.1,0.751,33.4,9.5,23.8,28.6,37.6,0,0.2,28.6,13,3.5,9.5,27.2,20.4,6,14.4,29.4,0.61
17,"Nicholls State Colonels",9,35.6,57.3,30.6,0.859,35.6,11.2,24.3,31.6,42.8,0.01,0.6,31.6,11.2,3.2,8,28.7,24.3,8,16.3,32.9,0.68
18,"North Dakota Fighting Hawks",13,39.4,57.2,34.8,0.883,39.4,13.3,26.1,33.8,44.1,0,0,33.8,14.8,5.2,9.6,34.9,24.6,8.2,16.5,33.1,0.63
19,"Tennessee-Martin Skyhawks",11,34.9,57.1,27.5,0.789,34.9,10,24.9,28.6,39.5,0.01,0.5,28.6,8.5,2.5,6,29,26.5,7.5,18.9,28.5,0.76
20,"Duquesne Dukes",12,35.1,57,30.6,0.872,35.1,11,24.1,31.4,43.5,0,0.2,31.4,7.5,2.5,5,33.3,27.6,8.5,19.1,30.8,0.79
21,"McNeese State Cowgirls",11,26.1,56.8,20.5,0.787,26.1,7.5,18.6,28.6,39.4,0,0,28.6,5.6,1.8,3.8,32.3,20.5,5.6,14.8,27.6,0.78
