sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Charleston Southern Buccaneers",12,37.3,64.6,32.9,0.884,37.3,11.8,25.4,31.8,44,0,0.4,31.8,8.3,2.8,5.5,33.3,29,9.1,19.9,31.3,0.78
2,"Samford Bulldogs",15,35.7,63.1,30.5,0.854,35.7,10.8,24.9,30.3,42.7,0,0.2,30.3,6.4,1.9,4.5,30.2,29.3,8.9,20.4,30.3,0.82
3,"Fairleigh Dickinson Knights",11,37.4,60.2,36.2,0.968,37.4,13.2,24.2,35.3,48.4,0,0,35.3,9.4,3.4,6,35.9,28,9.8,18.2,35.1,0.75
4,"Marist Red Foxes",12,34.4,59.8,30.1,0.874,34.4,11.3,23.2,32.7,43.5,0,0.5,32.7,12.5,3.8,8.7,30.7,21.9,7.4,14.5,33.8,0.64
5,"Air Force Falcons",12,35.7,59.4,25.3,0.71,35.7,9.8,25.9,27.3,35.5,0,0.2,27.3,14.5,3.9,10.6,27,21.2,5.8,15.3,27.6,0.59
5,"Middle Tennessee State Blue Raiders",12,30.2,59.4,23.1,0.765,30.2,8.8,21.4,29,38,0.01,0.6,29,9.9,3.3,6.6,33.6,20.3,5.4,14.8,26.7,0.67
7,"UC Irvine Anteaters",13,33.8,59.3,32.9,0.975,33.8,12.3,21.5,36.4,48.7,0,0,36.4,10.2,4,6.2,39.1,23.5,8.3,15.2,35.3,0.7
8,"Creighton Bluejays",12,36.5,59.2,35.5,0.973,36.5,12.7,23.8,34.7,48.6,0,0,34.7,7.1,2.5,4.6,35.3,29.4,10.2,19.3,34.6,0.81
8,"Colgate Raiders",11,33.1,59.2,23.6,0.714,33.1,9.5,23.5,28.8,35.6,0.01,0.5,28.8,14,5.1,8.9,36.4,19.1,4.5,14.6,23.3,0.58
10,"Mercyhurst Lakers",11,32.3,59.1,26.9,0.834,32.3,9.4,22.9,29,41.7,0,0,29,4.1,1.2,2.9,28.9,28.2,8.2,20,29,0.87
10,"American University Eagles",11,31.7,59.1,25,0.788,31.7,9.2,22.5,28.9,39.4,0,0,28.9,7.9,2.5,5.4,32.2,23.8,6.6,17.2,27.9,0.75
12,"Navy Midshipmen",11,37.3,59,31.2,0.837,37.3,11.6,25.6,31.2,41.6,0,0.5,31.2,11.4,3.9,7.5,34.4,25.9,7.7,18.2,29.8,0.7
13,"Wisconsin Badgers",12,36,58.8,34.7,0.963,36,12.7,23.3,35.2,47.9,0,0.5,35.2,9.4,3.5,5.9,37.2,26.6,9.2,17.4,34.5,0.74
14,"Rice Owls",13,36.3,58.7,27.9,0.769,36.3,10.5,25.8,28.8,38,0.01,0.8,28.8,12.5,3.8,8.7,30.2,23.8,6.7,17.2,28.1,0.66
15,"Massachusetts Lowell",12,32.3,58.5,26.4,0.819,32.3,9.7,22.6,30,40.8,0.01,0.5,30,8.6,2.7,5.9,31.1,23.7,7,16.7,29.6,0.73
16,"Lafayette Leopards",11,31.4,58.2,31.3,0.997,31.4,11.8,19.5,37.7,49.9,0,0,37.7,11,4.2,6.8,38,20.4,7.6,12.7,37.5,0.65
17,"Washington State Cougars",13,33.7,58.1,24.9,0.74,33.7,9.3,24.4,27.6,37,0,0,27.6,8.8,3,5.8,33.9,24.8,6.3,18.5,25.4,0.74
18,"San Diego State Aztecs",11,34.7,57.9,32.7,0.942,34.7,12,22.7,34.6,46.9,0.01,0.5,34.6,9.1,3.5,5.6,38,25.6,8.5,17.1,33.3,0.74
19,"Nebraska-Omaha Mavericks",14,31.5,57.8,23.6,0.751,31.5,8.6,22.9,27.2,37.5,0,0,27.2,9.2,2.1,7.1,22.5,22.3,6.5,15.8,29.2,0.71
20,"Montana Lady Griz",11,34.1,57.7,30.5,0.893,34.1,10.4,23.7,30.4,44.7,0,0,30.4,2.9,0.6,2.3,21.9,31.2,9.7,21.5,31.2,0.91
20,"Denver Pioneers",13,34.5,57.7,27.4,0.795,34.5,10.1,24.4,29.2,39.5,0,0.4,29.2,9.1,3,6.1,33.1,25.4,7.1,18.3,27.9,0.74
22,"George Mason Patriots",12,37.8,57.6,33,0.874,37.8,12.9,24.8,34.2,43.6,0,0.4,34.2,15.8,5.8,9.9,37,22,7.1,14.9,32.2,0.58
23,"Wofford Terriers",12,36.3,57.4,28.8,0.794,36.3,11.3,25,31.2,39.6,0,0.2,31.2,13.6,5.3,8.3,38.7,22.8,6.1,16.7,26.7,0.63
24,"Hampton Pirates",9,37.7,57.3,28.1,0.746,37.7,11,26.7,29.2,37.2,0.01,0.6,29.2,14.1,5,9.1,35.4,23.6,6,17.6,25.5,0.63
25,"Prairie View A&M Panthers",11,32.9,57.1,25.4,0.771,32.9,9.7,23.2,29.6,38.1,0.01,0.8,29.6,13.4,4.1,9.3,30.6,19.5,5.6,13.9,28.8,0.59
26,"Vanderbilt Commodores",12,38.7,57,37.4,0.968,38.7,13.6,25.1,35.1,48.4,0,0,35.1,10.6,3.3,7.3,31.5,28.1,10.3,17.8,36.5,0.73
27,"Bellarmine Knights",13,32.2,56.9,23.6,0.733,32.2,8.7,23.5,27,36.5,0,0.2,27,10.5,2.5,7.9,24.3,21.8,6.2,15.6,28.3,0.68
28,"UNC Greensboro Spartans",13,33.8,56.8,25.8,0.761,33.8,9.2,24.6,27.3,37.8,0,0.5,27.3,8.8,2.1,6.7,23.7,25.1,7.2,17.9,28.5,0.74
29,"Texas Southern Tigers",11,36.2,56.5,24.8,0.686,36.2,9.6,26.5,26.6,34.2,0,0.3,26.6,12.6,4.2,8.5,33.1,23.5,5.5,18.1,23.2,0.65
30,"Princeton Tigers",13,33.8,56.3,32,0.945,33.8,12.1,21.8,35.7,46.9,0.01,0.7,35.7,11.6,4.5,7.2,38.4,22.2,7.6,14.6,34.3,0.66
30,"Fairfield Stags",11,33.6,56.3,38.8,1.154,33.6,13,20.6,38.6,57.6,0,0.3,38.6,1.6,0.3,1.4,16.7,32,12.7,19.3,39.8,0.95
32,"Villanova Wildcats",12,34.9,56.2,34.6,0.99,34.9,12.6,22.3,36,49.5,0,0,36,10.3,3.2,7.1,30.9,24.7,9.4,15.3,38.2,0.71
32,"Cal State Northridge Matadors",11,36.2,56.2,32.4,0.894,36.2,11.4,24.8,31.4,44.5,0.01,0.5,31.4,4.8,1.9,2.9,39.6,31.4,9.5,21.9,30.1,0.87
34,"Boston College Eagles",14,34.6,56.1,31,0.897,34.6,11.8,22.8,34.1,44.7,0,0.2,34.1,11.4,4.4,6.9,39,23.2,7.4,15.9,31.7,0.67
35,"Arkansas State Red Wolves",13,37.5,56,32.8,0.875,37.5,11.4,26.1,30.4,43.7,0,0,30.4,4.4,1.4,3,31.6,33.1,10,23.1,30.2,0.88
36,"Pacific Tigers",11,32.5,55.9,30.8,0.947,32.5,11.4,21.2,34.9,47.1,0.01,0.6,34.9,9.2,3.5,5.7,37.6,23.4,7.9,15.5,33.9,0.72
36,"UAB Blazers",13,33.5,55.9,35.7,1.067,33.5,12.9,20.5,38.6,53.2,0,0.2,38.6,7.7,3.2,4.5,41,25.8,9.8,16,37.9,0.77
