sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Mississippi Rebels",13,5.3,21.8,4.2,0.783,5.3,2.1,3.2,39.1,39.1,0,0,39.1,5.3,2.1,3.2,39.1,0,0,0,,0
2,"Monmouth Hawks",10,6.5,20.5,4.4,0.677,6.5,2.2,4.3,33.8,33.8,0,0,33.8,6.5,2.2,4.3,33.8,0,0,0,,0
3,"High Point Panthers",13,6.5,20.1,4,0.619,6.5,2,4.5,31,31,0,0,31,6.5,2,4.5,31,0,0,0,,0
4,"TCU Horned Frogs",13,6.2,20,2.5,0.4,6.2,1.2,4.9,20,20,0,0,20,6.2,1.2,4.9,20,0,0,0,,0
5,"Utah Tech University Trailblazers",10,6.4,19.8,4.9,0.766,6.4,2.4,4,37.5,37.5,0.02,1.6,37.5,6.4,2.4,4,37.5,0,0,0,,0
6,"Idaho Vandals",13,6.5,19.1,5.2,0.8,6.5,2.6,3.9,40,40,0,0,40,6.5,2.6,3.9,40,0,0,0,,0
6,"Rice Owls",13,4.4,19.1,1.7,0.386,4.4,0.8,3.5,19.3,19.3,0,0,19.3,4.4,0.8,3.5,19.3,0,0,0,,0
6,"N.J.I.T. Highlanders",12,5.3,19.1,3.2,0.603,5.3,1.6,3.7,30.2,30.2,0,0,30.2,5.3,1.6,3.7,30.2,0,0,0,,0
9,"St. John's Red Storm",14,5.1,19,3,0.592,5.1,1.5,3.6,29.6,29.6,0,0,29.6,5.1,1.5,3.6,29.6,0,0,0,,0
10,"Iona Gaels",12,4.8,18.8,3.8,0.807,4.8,1.9,2.8,40.4,40.4,0,0,40.4,4.8,1.9,2.8,40.4,0,0,0,,0
10,"East Tennessee State Buccaneers",14,5.6,18.8,3,0.538,5.6,1.4,4.1,25.6,25.6,0.03,2.6,25.6,5.6,1.4,4.1,25.6,0,0,0,,0
10,"Virginia Tech Hokies",14,4.5,18.8,2.8,0.619,4.5,1.4,3.1,30.2,30.2,0.02,1.6,30.2,4.5,1.4,3.1,30.2,0,0,0,,0
13,"Iowa State Cyclones",13,6.2,18.4,3.5,0.575,6.2,1.8,4.4,28.7,28.7,0,0,28.7,6.2,1.8,4.4,28.7,0,0,0,,0
13,"Washington State Cougars",13,5.8,18.4,4.5,0.773,5.8,2.2,3.5,38.7,38.7,0,0,38.7,5.8,2.2,3.5,38.7,0,0,0,,0
15,"UCF Knights",12,5,18.2,2,0.4,5,1,4,20,20,0,0,20,5,1,4,20,0,0,0,,0
15,"Bryant University Bulldogs",13,4.5,18.2,1.7,0.373,4.5,0.8,3.7,18.6,18.6,0,0,18.6,4.5,0.8,3.7,18.6,0,0,0,,0
17,"Fairleigh Dickinson Knights",11,4.5,18.1,2.4,0.52,4.5,1.2,3.4,26,26,0,0,26,4.5,1.2,3.4,26,0,0,0,,0
17,"Towson Tigers",11,4.5,18.1,3.1,0.694,4.5,1.5,2.9,34.7,34.7,0,0,34.7,4.5,1.5,2.9,34.7,0,0,0,,0
19,"UCLA Bruins",12,6.1,18,3.8,0.63,6.1,1.9,4.2,31.5,31.5,0,0,31.5,6.1,1.9,4.2,31.5,0,0,0,,0
19,"George Washington Revolutionaries",13,4.8,18,2.8,0.571,4.8,1.4,3.5,28.6,28.6,0,0,28.6,4.8,1.4,3.5,28.6,0,0,0,,0
21,"SIU Edwardsville Cougars",12,4.8,17.9,3.3,0.702,4.8,1.7,3.1,35.1,35.1,0.02,1.8,35.1,4.8,1.7,3.1,35.1,0,0,0,,0
21,"Rhode Island Rams",12,4.8,17.9,2.8,0.596,4.8,1.4,3.3,29.8,29.8,0,0,29.8,4.8,1.4,3.3,29.8,0,0,0,,0
23,"Utah Valley Wolverines",11,4.6,17.8,3.6,0.784,4.6,1.8,2.8,39.2,39.2,0,0,39.2,4.6,1.8,2.8,39.2,0,0,0,,0
24,"Miami (FL) Hurricanes",12,5.5,17.7,3.1,0.561,5.5,1.5,4,27.3,27.3,0.02,1.5,27.3,5.5,1.5,4,27.3,0,0,0,,0
25,"Seattle Redhawks",11,5.3,17.3,2.9,0.552,5.3,1.5,3.8,27.6,27.6,0,0,27.6,5.3,1.5,3.8,27.6,0,0,0,,0
26,"Kentucky Wildcats",13,4.5,17.1,3.4,0.746,4.5,1.7,2.8,37.3,37.3,0,0,37.3,4.5,1.7,2.8,37.3,0,0,0,,0
26,"Albany Great Danes",13,4.4,17.1,2.6,0.596,4.4,1.3,3.1,29.8,29.8,0,0,29.8,4.4,1.3,3.1,29.8,0,0,0,,0
28,"Georgia Southern Eagles",12,5.3,17,3.3,0.635,5.3,1.7,3.6,31.7,31.7,0,0,31.7,5.3,1.7,3.6,31.7,0,0,0,,0
