sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Louisiana-(Lafayette) Ragin Cajuns",11,9.2,27.4,5.5,0.594,9.2,2.7,6.5,29.7,29.7,0,0,29.7,9.2,2.7,6.5,29.7,0,0,0,,0
1,"Sam Houston State Bearkats",10,7.9,27.4,3.4,0.43,7.9,1.7,6.2,21.5,21.5,0,0,21.5,7.9,1.7,6.2,21.5,0,0,0,,0
3,"Florida A&M Rattlers",10,9.1,27.2,6,0.659,9.1,3,6.1,33,33,0,0,33,9.1,3,6.1,33,0,0,0,,0
4,"Yale Bulldogs",13,8.3,26.5,5.4,0.648,8.3,2.7,5.6,32.4,32.4,0,0,32.4,8.3,2.7,5.6,32.4,0,0,0,,0
5,"Mississippi Valley State Delta Devils",11,8.5,26.2,5.4,0.634,8.5,2.6,5.8,31.2,31.2,0.01,1.1,31.2,8.5,2.6,5.8,31.2,0,0,0,,0
6,"Bethune-Cookman Wildcats",10,6.8,25.4,3.2,0.471,6.8,1.6,5.2,23.5,23.5,0,0,23.5,6.8,1.6,5.2,23.5,0,0,0,,0
7,"Drexel Dragons",11,7,25,3.6,0.519,7,1.8,5.2,26,26,0,0,26,7,1.8,5.2,26,0,0,0,,0
8,"Texas-(Arlington) Mavericks",12,5.9,24.9,2.7,0.451,5.9,1.3,4.6,22.5,22.5,0,0,22.5,5.9,1.3,4.6,22.5,0,0,0,,0
9,"Virginia Tech Hokies",14,7.5,23.9,4.4,0.59,7.5,2.2,5.3,29.5,29.5,0,0,29.5,7.5,2.2,5.3,29.5,0,0,0,,0
10,"LSU Tigers",13,6.9,23.7,6,0.867,6.9,2.9,4,42.2,42.2,0.02,2.2,42.2,6.9,2.9,4,42.2,0,0,0,,0
11,"Morgan State Bears",15,5.8,23.3,3.2,0.552,5.8,1.6,4.2,27.6,27.6,0,0,27.6,5.8,1.6,4.2,27.6,0,0,0,,0
12,"Norfolk State Spartans",15,6.9,22.8,4,0.577,6.9,2,4.9,28.8,28.8,0,0,28.8,6.9,2,4.9,28.8,0,0,0,,0
13,"New Mexico State Aggies",11,5.4,22.7,3.3,0.61,5.4,1.6,3.7,30.5,30.5,0,0,30.5,5.4,1.6,3.7,30.5,0,0,0,,0
14,"Niagara Purple Eagles",11,6.1,21.9,3.6,0.597,6.1,1.8,4.3,29.9,29.9,0,0,29.9,6.1,1.8,4.3,29.9,0,0,0,,0
15,"Mercer Bears",15,6.6,21.5,3.3,0.505,6.6,1.7,4.9,25.3,25.3,0,0,25.3,6.6,1.7,4.9,25.3,0,0,0,,0
16,"Fresno State Bulldogs",13,5.3,21.2,3.2,0.609,5.3,1.6,3.7,30.4,30.4,0,0,30.4,5.3,1.6,3.7,30.4,0,0,0,,0
17,"Texas A&M Aggies",9,7.2,21,3.6,0.492,7.2,1.8,5.4,24.6,24.6,0,0,24.6,7.2,1.8,5.4,24.6,0,0,0,,0
17,"George Mason Patriots",12,7.9,21,6.5,0.821,7.9,3.3,4.7,41.1,41.1,0,0,41.1,7.9,3.3,4.7,41.1,0,0,0,,0
19,"Coppin State Eagles",14,5.5,20.8,2.4,0.442,5.5,1.2,4.3,22.1,22.1,0,0,22.1,5.5,1.2,4.3,22.1,0,0,0,,0
