sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"UC Santa Barbara Gauchos",11,2.2,3.7,2.7,1.25,2.2,1.3,0.9,58.3,58.3,0.08,8.3,58.3,2.2,1.3,0.9,58.3,0,0,0,,0
2,"Saint Mary's Gaels",13,1.6,3.1,2,1.238,1.6,1,0.6,61.9,61.9,0,0,61.9,1.6,1,0.6,61.9,0,0,0,,0
3,"Murray State Racers",11,2.7,4,3.2,1.167,2.7,1.5,1.2,56.7,56.7,0.07,6.7,56.7,2.7,1.5,1.2,56.7,0,0,0,,0
4,"Drake Bulldogs",11,2.3,3.5,2.6,1.16,2.3,1.3,1,56,56,0.04,4,56,2.3,1.3,1,56,0,0,0,,0
5,"McNeese State Cowgirls",11,2.5,5.3,2.8,1.148,2.5,1.4,1.1,55.6,55.6,0.11,11.1,55.6,2.4,1.4,1,57.7,0.1,0,0.1,0,0.04
6,"Mercyhurst Lakers",11,2.6,4.5,3,1.138,2.6,1.5,1.2,55.2,55.2,0.03,3.4,55.2,2.6,1.5,1.2,55.2,0,0,0,,0
7,"Grand Canyon University Antelopes",11,3,5.4,3.3,1.091,3,1.6,1.4,54.5,54.5,0.03,3,54.5,3,1.6,1.4,54.5,0,0,0,,0
8,"Eastern Washington University",12,2.3,3.7,2.5,1.071,2.3,1.3,1.1,53.6,53.6,0,0,53.6,2.3,1.3,1.1,53.6,0,0,0,,0
9,"Texas State Bobcats",11,2.1,3.8,2.2,1.043,2.1,1,1.1,47.8,47.8,0.13,13,47.8,2.1,1,1.1,47.8,0,0,0,,0
9,"Dayton Flyers",12,1.9,3.1,2,1.043,1.9,0.9,1,47.8,47.8,0.13,13,47.8,1.9,0.9,1,47.8,0,0,0,,0
11,"Texas Tech Lady Raiders",14,2.2,3.9,2.3,1.032,2.2,1.1,1.1,48.4,48.4,0.13,12.9,48.4,2.2,1.1,1.1,48.4,0,0,0,,0
12,"Washington State Cougars",13,1.8,3,1.8,1,1.8,0.9,0.9,50,50,0,0,50,1.8,0.9,0.9,50,0,0,0,,0
12,"Davidson Wildcats",14,2.2,4.2,2.2,1,2.2,1.1,1.1,48.4,48.4,0.03,3.2,48.4,2.2,1.1,1.1,48.4,0,0,0,,0
12,"Marist Red Foxes",12,1.7,2.7,1.7,1,1.7,0.8,0.8,50,50,0,0,50,1.7,0.8,0.8,50,0,0,0,,0
12,"Cal State Bakersfield Roadrunners",12,1.7,3,1.7,1,1.7,0.8,0.8,50,50,0,0,50,1.7,0.8,0.8,50,0,0,0,,0
12,"North Carolina State Wolfpack",13,2.2,3.2,2.2,1,2.2,1.1,1.1,50,50,0,0,50,2.2,1.1,1.1,50,0,0,0,,0
12,"Youngstown State Penguins",12,1.4,2.5,1.4,1,1.4,0.7,0.8,47.1,47.1,0.12,11.8,47.1,1.4,0.7,0.8,47.1,0,0,0,,0
12,"Charleston Southern Buccaneers",12,2.4,3.6,2.4,1,2.4,1.2,1.3,48.3,48.3,0.03,3.4,48.3,2.4,1.2,1.3,48.3,0,0,0,,0
19,"Oakland Golden Grizzlies",12,2.4,3.9,2.3,0.966,2.4,1.1,1.3,44.8,44.8,0.1,10.3,44.8,2.4,1.1,1.3,44.8,0,0,0,,0
20,"New Haven Chargers",10,2.5,4.6,2.4,0.96,2.5,1.2,1.3,48,48,0,0,48,2.5,1.2,1.3,48,0,0,0,,0
21,"Villanova Wildcats",12,1.9,3.4,1.8,0.957,1.9,0.9,1,47.8,47.8,0,0,47.8,1.9,0.9,1,47.8,0,0,0,,0
22,"Arkansas-(Little Rock) Trojans",12,1.6,2.8,1.5,0.947,1.6,0.8,0.8,47.4,47.4,0,0,47.4,1.6,0.8,0.8,47.4,0,0,0,,0
23,"Florida A&M Rattlers",10,3.7,6,3.5,0.946,3.7,1.7,2,45.9,45.9,0.03,2.7,45.9,3.7,1.7,2,45.9,0,0,0,,0
24,"Le Moyne Dolphins",12,1.4,2.3,1.3,0.941,1.4,0.6,0.8,41.2,41.2,0.12,11.8,41.2,1.4,0.6,0.8,41.2,0,0,0,,0
25,"Louisiana-(Monroe) Warhawks",11,4.3,7.6,4,0.936,4.3,2,2.3,46.8,46.8,0.02,2.1,46.8,4.3,2,2.3,46.8,0,0,0,,0
26,"New Orleans Privateers",10,3.1,4.9,2.9,0.935,3.1,1.4,1.7,45.2,45.2,0.03,3.2,45.2,3.1,1.4,1.7,45.2,0,0,0,,0
