sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Tarleton State Texans",11,1.6,2.7,2.3,1.389,1.6,1,0.6,61.1,61.1,0.17,16.7,61.1,1.6,1,0.6,61.1,0,0,0,,0
2,"Middle Tennessee State Blue Raiders",12,1.5,3,1.8,1.222,1.5,0.8,0.7,55.6,55.6,0.17,16.7,55.6,1.5,0.8,0.7,55.6,0,0,0,,0
3,"Richmond Spiders",14,1,1.7,1.2,1.214,1,0.6,0.4,57.1,57.1,0.07,7.1,57.1,1,0.6,0.4,57.1,0,0,0,,0
4,"Minnesota Golden Gophers",12,2.8,4.1,3.3,1.212,2.8,1.7,1.1,60.6,60.6,0,0,60.6,2.8,1.7,1.1,60.6,0,0,0,,0
5,"Oklahoma State Cowgirls",14,2.1,3.1,2.5,1.207,2.1,1.1,0.9,55.2,55.2,0.1,10.3,55.2,2.1,1.1,0.9,55.2,0,0,0,,0
6,"Maine Black Bears",13,0.8,1.5,1,1.182,0.8,0.5,0.4,54.5,54.5,0.09,9.1,54.5,0.8,0.5,0.4,54.5,0,0,0,,0
6,"Iowa State Cyclones",13,0.8,1.3,1,1.182,0.8,0.5,0.4,54.5,54.5,0.09,9.1,54.5,0.8,0.5,0.4,54.5,0,0,0,,0
8,"Washington State Cougars",13,2.7,4.6,3.2,1.171,2.7,1.5,1.2,57.1,57.1,0.03,2.9,57.1,2.7,1.5,1.2,57.1,0,0,0,,0
9,"Incarnate Word Cardinals",9,0.9,1.6,1,1.125,0.9,0.4,0.4,50,50,0.13,12.5,50,0.9,0.4,0.4,50,0,0,0,,0
10,"Texas-(Austin) Longhorns",14,1.3,1.8,1.4,1.111,1.3,0.7,0.6,55.6,55.6,0,0,55.6,1.3,0.7,0.6,55.6,0,0,0,,0
11,"Arizona State Sun Devils",14,2,3.3,2.2,1.107,2,1.1,0.9,53.6,53.6,0.04,3.6,53.6,2,1.1,0.9,53.6,0,0,0,,0
12,"Brigham Young Cougars",13,2.9,4.5,3.2,1.105,2.9,1.5,1.4,52.6,52.6,0.08,7.9,52.6,2.9,1.5,1.4,52.6,0,0,0,,0
13,"Baylor Bears",14,0.8,1.3,0.9,1.091,0.8,0.4,0.4,54.5,54.5,0.09,9.1,54.5,0.8,0.4,0.4,54.5,0,0,0,,0
14,"Houston Christian Huskies",10,2.4,4.3,2.6,1.083,2.4,1.3,1.1,54.2,54.2,0,0,54.2,2.4,1.3,1.1,54.2,0,0,0,,0
15,"Indiana Hoosiers",13,1.9,3.4,2.1,1.08,1.9,1,0.9,52,52,0.04,4,52,1.9,1,0.9,52,0,0,0,,0
15,"Saint Mary's Gaels",13,1.9,3.7,2.1,1.08,1.9,1,0.9,52,52,0.04,4,52,1.9,1,0.9,52,0,0,0,,0
17,"Purdue Boilermakers",12,2.3,3.7,2.4,1.074,2.3,1.2,1.1,51.9,51.9,0.07,7.4,51.9,2.3,1.2,1.1,51.9,0,0,0,,0
