sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Rice Owls",13,6.7,29.2,4.5,0.667,6.7,2.2,4.5,32.2,32.2,0.02,2.3,32.2,6.7,2.2,4.5,32.2,0,0,0,,0
2,"Tennessee Lady Volunteers",11,7.6,28.6,5.3,0.69,7.6,2.6,5,34.5,34.5,0,0,34.5,7.6,2.6,5,34.5,0,0,0,,0
3,"Mississippi Rebels",13,6.9,28.5,4,0.578,6.9,2,4.9,28.9,28.9,0,0,28.9,6.9,2,4.9,28.9,0,0,0,,0
4,"Texas-(Austin) Longhorns",14,7.4,26.7,4.1,0.558,7.4,2.1,5.4,27.9,27.9,0,0,27.9,7.4,2.1,5.4,27.9,0,0,0,,0
5,"Grand Canyon University Antelopes",11,7.1,26.5,6.6,0.936,7.1,3.3,3.8,46.2,46.2,0.03,2.6,46.2,7.1,3.3,3.8,46.2,0,0,0,,0
6,"Alabama Crimson Tide",14,7.4,26,4,0.544,7.4,2,5.4,27.2,27.2,0,0,27.2,7.4,2,5.4,27.2,0,0,0,,0
7,"Bowling Green Falcons",12,7.1,25.9,5.8,0.812,7.1,2.8,4.3,40,40,0.01,1.2,40,7.1,2.8,4.3,40,0,0,0,,0
8,"Florida State Seminoles",14,8.7,25.8,5.8,0.664,8.7,2.9,5.9,32.8,32.8,0.02,1.6,32.8,8.7,2.9,5.9,32.8,0,0,0,,0
9,"Oklahoma State Cowgirls",14,7.1,25.7,4.6,0.657,7.1,2.3,4.8,32.3,32.3,0.01,1,32.3,7.1,2.3,4.8,32.3,0,0,0,,0
9,"Old Dominion Lady Monarchs",11,6.3,25.7,3.6,0.58,6.3,1.8,4.5,29,29,0,0,29,6.3,1.8,4.5,29,0,0,0,,0
11,"South Carolina Gamecocks",13,9.5,25.5,6.8,0.71,9.5,3.3,6.2,34.7,34.7,0.02,2.4,34.7,9.5,3.3,6.2,34.7,0,0,0,,0
12,"High Point Panthers",13,8.2,25.4,6.4,0.783,8.2,3.2,5,38.7,38.7,0.02,1.9,38.7,8.2,3.2,5,38.7,0,0,0,,0
13,"Florida Gators",14,6.9,25.3,5.3,0.763,6.9,2.6,4.3,38.1,38.1,0.02,2.1,38.1,6.9,2.6,4.3,38.1,0,0,0,,0
14,"Syracuse Orange",12,6.5,25.1,4.9,0.756,6.5,2.4,4.1,37.2,37.2,0.01,1.3,37.2,6.5,2.4,4.1,37.2,0,0,0,,0
15,"Tennessee Tech Golden Eagles",11,6.2,25,5.3,0.853,6.2,2.6,3.5,42.6,42.6,0,0,42.6,6.2,2.6,3.5,42.6,0,0,0,,0
15,"Texas-(Arlington) Mavericks",12,6.5,25,5.6,0.859,6.5,2.8,3.8,42.3,42.3,0.01,1.3,42.3,6.5,2.8,3.8,42.3,0,0,0,,0
15,"Portland Pilots",12,6,25,3.5,0.583,6,1.8,4.3,29.2,29.2,0,0,29.2,6,1.8,4.3,29.2,0,0,0,,0
18,"Oregon State Beavers",13,9.6,24.8,8,0.832,9.6,4,5.6,41.6,41.6,0,0,41.6,9.6,4,5.6,41.6,0,0,0,,0
19,"North Dakota State Bison",12,5.8,24.7,4.6,0.786,5.8,2.3,3.6,38.6,38.6,0.01,1.4,38.6,5.8,2.3,3.6,38.6,0,0,0,,0
19,"Davidson Wildcats",14,5.6,24.7,4.6,0.81,5.6,2.3,3.4,40.5,40.5,0,0,40.5,5.6,2.3,3.4,40.5,0,0,0,,0
21,"Northwestern State Demons",11,6.9,24.6,6.7,0.974,6.9,3.4,3.5,48.7,48.7,0,0,48.7,6.9,3.4,3.5,48.7,0,0,0,,0
22,"Duke Blue Devils",12,6.8,24.5,3.7,0.537,6.8,1.8,5,26.8,26.8,0,0,26.8,6.8,1.8,5,26.8,0,0,0,,0
23,"Cal State Bakersfield Roadrunners",12,6.5,24.4,5.5,0.846,6.5,2.8,3.8,42.3,42.3,0.01,1.3,42.3,6.5,2.8,3.8,42.3,0,0,0,,0
24,"Stephen F. Austin Lumberjacks",11,7.5,24.3,5.3,0.707,7.5,2.6,4.8,35.4,35.4,0,0,35.4,7.5,2.6,4.8,35.4,0,0,0,,0
25,"South Dakota Coyotes",13,6.6,24.2,3,0.453,6.6,1.5,5.2,22.1,22.1,0.02,2.3,22.1,6.6,1.5,5.2,22.1,0,0,0,,0
26,"Georgetown Hoyas",11,6.3,24.1,3.8,0.609,6.3,1.9,4.4,30.4,30.4,0,0,30.4,6.3,1.9,4.4,30.4,0,0,0,,0
27,"North Dakota Fighting Hawks",13,9.5,24,6.8,0.715,9.5,3.4,6.1,35.8,35.8,0,0,35.8,9.5,3.4,6.1,35.8,0,0,0,,0
28,"Sam Houston State Bearkats",10,5.4,23.9,3,0.556,5.4,1.5,3.9,27.8,27.8,0,0,27.8,5.4,1.5,3.9,27.8,0,0,0,,0
29,"Santa Clara Broncos",13,6.8,23.7,4.6,0.682,6.8,2.3,4.5,34.1,34.1,0,0,34.1,6.8,2.3,4.5,34.1,0,0,0,,0
30,"Memphis Tigers",12,6.5,23.6,3,0.462,6.5,1.5,5,23.1,23.1,0,0,23.1,6.5,1.5,5,23.1,0,0,0,,0
30,"Utah State Aggies",11,7.8,23.6,4.7,0.605,7.8,2.4,5.5,30.2,30.2,0,0,30.2,7.8,2.4,5.5,30.2,0,0,0,,0
30,"UNLV Rebels",12,7.5,23.6,5.3,0.711,7.5,2.7,4.8,35.6,35.6,0.01,1.1,35.6,7.5,2.7,4.8,35.6,0,0,0,,0
33,"Murray State Racers",11,7.4,23.5,6.2,0.84,7.4,3.1,4.3,42,42,0,0,42,7.4,3.1,4.3,42,0,0,0,,0
33,"Bryant University Bulldogs",13,5.8,23.5,4.1,0.697,5.8,2,3.8,34.2,34.2,0.01,1.3,34.2,5.8,2,3.8,34.2,0,0,0,,0
35,"California Golden Bears",13,6,23.3,3.5,0.59,6,1.8,4.2,29.5,29.5,0.01,1.3,29.5,6,1.8,4.2,29.5,0,0,0,,0
36,"Utah Tech University Trailblazers",10,7.5,23.2,6,0.8,7.5,3,4.5,40,40,0,0,40,7.5,3,4.5,40,0,0,0,,0
36,"Army Black Knights",10,4.5,23.2,3.9,0.867,4.5,1.9,2.6,42.2,42.2,0.02,2.2,42.2,4.5,1.9,2.6,42.2,0,0,0,,0
38,"Butler Bulldogs",13,6,22.9,3.8,0.641,6,1.9,4.1,32.1,32.1,0,0,32.1,6,1.9,4.1,32.1,0,0,0,,0
39,"Illinois Fighting Illini",12,6.8,22.8,4.2,0.61,6.8,2.1,4.8,30.5,30.5,0,0,30.5,6.8,2.1,4.8,30.5,0,0,0,,0
39,"Iona Gaels",12,5.8,22.8,2.9,0.507,5.8,1.4,4.3,24.6,24.6,0.01,1.4,24.6,5.8,1.4,4.3,24.6,0,0,0,,0
41,"Southeast Missouri State Redhawks",10,6.9,22.5,5,0.725,6.9,2.5,4.4,36.2,36.2,0,0,36.2,6.9,2.5,4.4,36.2,0,0,0,,0
