sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Texas-(Austin) Longhorns",14,16.4,49.8,15.4,0.939,16.4,7.6,8.9,46.1,46.1,0.02,2.2,46.1,16.4,7.6,8.9,46.1,0,0,0,,0
2,"Nevada Wolf Pack",11,9.2,36.7,6.5,0.713,9.2,3.3,5.9,35.6,35.6,0,0,35.6,9.2,3.3,5.9,35.6,0,0,0,,0
3,"Syracuse Orange",12,12.3,36,8.5,0.689,12.3,4.2,8.2,33.8,33.8,0.01,1.4,33.8,12.3,4.2,8.2,33.8,0,0,0,,0
4,"Southern Illinois Salukis",10,10.2,35.1,7.6,0.745,10.2,3.7,6.5,36.3,36.3,0.03,2.9,36.3,10.2,3.7,6.5,36.3,0,0,0,,0
5,"Louisiana-(Lafayette) Ragin Cajuns",11,11.5,34.2,7,0.611,11.5,3.4,8.1,29.4,29.4,0.03,3.2,29.4,11.5,3.4,8.1,29.4,0,0,0,,0
6,"Idaho State Bengals",11,9.8,34.1,5.4,0.546,9.8,2.6,7.2,26.9,26.9,0.02,1.9,26.9,9.8,2.6,7.2,26.9,0,0,0,,0
7,"McNeese State Cowgirls",11,10.1,34,7.6,0.757,10.1,3.8,6.3,37.8,37.8,0,0,37.8,10.1,3.8,6.3,37.8,0,0,0,,0
8,"Northeastern Huskies",10,9.3,33.7,8.6,0.925,9.3,4.2,5.1,45.2,45.2,0.02,2.2,45.2,9.3,4.2,5.1,45.2,0,0,0,,0
9,"UNLV Rebels",12,10.9,32.7,8.5,0.779,10.9,4.3,6.7,38.9,38.9,0,0,38.9,10.9,4.3,6.7,38.9,0,0,0,,0
10,"Illinois Fighting Illini",12,9.2,32.4,7.9,0.864,9.2,3.9,5.3,42.7,42.7,0.01,0.9,42.7,9.2,3.9,5.3,42.7,0,0,0,,0
11,"Western Illinois Leathernecks",11,8.9,31.4,7.6,0.857,8.9,3.7,5.2,41.8,41.8,0.02,2,41.8,8.9,3.7,5.2,41.8,0,0,0,,0
12,"Central Connecticut State Blue Devils",11,10,31.3,4.8,0.482,10,2.4,7.6,23.6,23.6,0.01,0.9,23.6,10,2.4,7.6,23.6,0,0,0,,0
13,"Tennessee-Martin Skyhawks",11,9.8,31.1,7.5,0.759,9.8,3.7,6.1,38,38,0,0,38,9.8,3.7,6.1,38,0,0,0,,0
14,"Memphis Tigers",12,11.1,31,6.8,0.617,11.1,3.4,7.7,30.8,30.8,0,0,30.8,11.1,3.4,7.7,30.8,0,0,0,,0
14,"Yale Bulldogs",13,9.7,31,6.2,0.643,9.7,3.1,6.6,31.7,31.7,0.01,0.8,31.7,9.7,3.1,6.6,31.7,0,0,0,,0
16,"Jacksonville Dolphins",10,8.6,30.7,4.4,0.512,8.6,2.2,6.4,25.6,25.6,0.01,1.2,25.6,8.6,2.2,6.4,25.6,0,0,0,,0
17,"Illinois-Chicago Flames",12,7.9,30.4,6.5,0.821,7.9,3.3,4.7,41.1,41.1,0,0,41.1,7.9,3.3,4.7,41.1,0,0,0,,0
18,"Missouri State Lady Bears",13,8.6,30.2,5.4,0.625,8.6,2.7,5.9,31.3,31.3,0.01,0.9,31.3,8.6,2.7,5.9,31.3,0,0,0,,0
