sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Boston College Eagles",31,22.1,37.3,29.9,1.354,22.1,14.4,7.6,65.4,65.4,0.06,6,65.4,22.1,14.4,7.6,65.4,0,0,0,,0
2,"Penn State Lady Lions",29,24.9,37.5,31.7,1.272,24.9,15.1,9.8,60.7,60.7,0.08,7.9,60.7,24.9,15.1,9.8,60.7,0,0,0,,0
2,"Bellarmine Knights",31,24.6,36.4,31.3,1.272,24.6,15.1,9.5,61.5,61.5,0.05,5.1,61.5,24.6,15.1,9.5,61.5,0,0,0,,0
2,"Mercyhurst Lakers",28,26.8,46.8,34.1,1.272,26.8,16.5,10.4,61.4,61.4,0.07,6.5,61.4,26.8,16.5,10.4,61.4,0,0,0,,0
5,"DePaul Blue Demons",31,28.5,50.5,35.6,1.249,28.5,17.2,11.4,60.2,60.2,0.06,6,60.2,28.5,17.2,11.4,60.2,0,0,0,,0
6,"Nebraska Cornhuskers",29,24,42.5,29.9,1.247,24,14.3,9.7,59.7,59.7,0.06,6.5,59.7,24,14.3,9.7,59.7,0,0,0,,0
7,"Georgia State Panthers",30,24.3,39.8,29.9,1.23,24.3,14.5,9.9,59.5,59.5,0.07,7.1,59.5,24.3,14.5,9.9,59.5,0,0,0,,0
8,"Southeastern Louisiana Lions",28,25.4,40.5,31.2,1.228,25.4,15,10.4,59.1,59.1,0.06,6.3,59.1,25.4,15,10.4,59.1,0,0,0,,0
9,"Akron Zips",28,30,48.5,36.9,1.227,30,17.7,12.4,58.9,58.9,0.07,6.8,58.9,30,17.7,12.4,58.9,0,0,0,,0
10,"Morgan State Bears",29,25.3,42.2,30.9,1.22,25.3,15,10.4,59,59,0.06,6.3,59,25.3,15,10.4,59,0,0,0,,0
11,"Abilene Christian Wildcats",29,21.6,42.2,26.3,1.219,21.6,12.7,8.9,58.8,58.8,0.06,6.4,58.8,21.6,12.7,8.9,58.8,0,0,0,,0
12,"Gardner-Webb Runnin Bulldogs",30,18.8,34.4,22.8,1.215,18.8,11,7.8,58.6,58.6,0.06,6.4,58.6,18.8,11,7.8,58.6,0,0,0,,0
13,"Nebraska-Omaha Mavericks",31,25.2,40.8,30.5,1.213,25.2,14.6,10.5,58.2,58.2,0.07,7.3,58.2,25.2,14.6,10.5,58.2,0,0,0,,0
13,"Oral Roberts Golden Eagles",29,25.4,40.7,30.9,1.213,25.4,14.8,10.7,58,58,0.09,9.3,58,25.4,14.8,10.7,58,0,0,0,,0
15,"Presbyterian Blue Hose",28,27.3,49.1,33.1,1.21,27.3,15.9,11.4,58.3,58.3,0.06,6.3,58.3,27.3,15.9,11.4,58.3,0,0,0,,0
16,"Virginia Commonwealth Rams",30,22.2,37.2,26.8,1.207,22.2,13.1,9.1,59,59,0.06,5.7,59,22.2,13.1,9.1,59,0,0,0,,0
17,"Central Connecticut State Blue Devils",28,24.4,40.7,29.3,1.201,24.4,14.1,10.3,57.9,57.9,0.06,6.2,57.9,24.4,14.1,10.3,57.9,0,0,0,,0
17,"Arizona Wildcats",29,23.7,40.2,28.5,1.201,23.7,13.9,9.9,58.4,58.4,0.05,4.9,58.4,23.7,13.9,9.9,58.4,0,0,0,,0
19,"Cal Poly SLO Mustangs",28,24.5,40.7,29.4,1.2,24.5,14.1,10.4,57.6,57.6,0.07,6.6,57.6,24.5,14.1,10.4,57.6,0,0,0,,0
20,"Northwestern Wildcats",29,28.3,44.8,33.9,1.199,28.3,16.1,12.2,57,57,0.07,6.9,57,28.3,16.1,12.2,57,0,0,0,,0
21,"Cornell Big Red",26,21.1,37.8,25.2,1.197,21.1,12.3,8.7,58.6,58.6,0.04,4.2,58.6,21.1,12.3,8.7,58.6,0,0,0,,0
22,"Le Moyne Dolphins",30,20.7,34,24.8,1.196,20.7,12,8.7,57.8,57.8,0.05,5.2,57.8,20.7,12,8.7,57.8,0,0,0,,0
23,"Houston Cougars",29,29.7,49.6,35.4,1.193,29.7,17,12.7,57.4,57.4,0.07,6.7,57.4,29.7,17,12.7,57.4,0,0,0,,0
24,"Louisiana-(Monroe) Warhawks",28,21.8,37.2,25.9,1.19,21.8,12.5,9.3,57.3,57.3,0.06,6.4,57.3,21.8,12.5,9.3,57.3,0,0,0,,0
25,"Cal State Fullerton Titans",28,20.2,38.1,24,1.186,20.2,11.6,8.6,57.4,57.4,0.05,5.3,57.4,20.2,11.6,8.6,57.4,0,0,0,,0
26,"American University Eagles",28,24.4,40.4,28.9,1.184,24.4,14,10.4,57.2,57.2,0.05,5.4,57.2,24.4,14,10.4,57.2,0,0,0,,0
26,"Niagara Purple Eagles",29,29.4,49.2,34.8,1.184,29.4,17,12.4,57.9,57.9,0.04,4.5,57.9,29.4,17,12.4,57.9,0,0,0,,0
