sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Tennessee-Martin Skyhawks",13,0.1,0.1,0.2,2,0.1,0.1,0,100,100,0,0,100,0.1,0.1,0,100,0,0,0,,0
2,"Arizona Wildcats",14,0.7,1.2,1.1,1.6,0.7,0.6,0.1,80,80,0,0,80,0.7,0.6,0.1,80,0,0,0,,0
3,"Colgate Raiders",13,0.5,0.9,0.8,1.429,0.5,0.4,0.2,71.4,71.4,0,0,71.4,0.5,0.4,0.2,71.4,0,0,0,,0
3,"Texas A&M Aggies",10,0.7,1.2,1,1.429,0.7,0.5,0.2,71.4,71.4,0,0,71.4,0.7,0.5,0.2,71.4,0,0,0,,0
3,"Montana State Bobcats",13,0.5,1,0.8,1.429,0.5,0.4,0.2,71.4,71.4,0,0,71.4,0.5,0.4,0.2,71.4,0,0,0,,0
6,"UCLA Bruins",15,1.1,1.9,1.5,1.353,1.1,0.7,0.4,64.7,64.7,0.06,5.9,64.7,1.1,0.7,0.4,64.7,0,0,0,,0
7,"Akron Zips",13,1.2,2,1.6,1.313,1.2,0.8,0.5,62.5,62.5,0.06,6.3,62.5,1.2,0.8,0.5,62.5,0,0,0,,0
8,"Indiana University - Indianapolis Jaguars",14,1.2,2.2,1.6,1.294,1.2,0.8,0.4,64.7,64.7,0,0,64.7,1.2,0.8,0.4,64.7,0,0,0,,0
8,"Pacific Tigers",14,1.2,2.1,1.6,1.294,1.2,0.8,0.4,64.7,64.7,0.06,5.9,64.7,1.2,0.8,0.4,64.7,0,0,0,,0
10,"Maine Black Bears",15,2.1,3.6,2.7,1.29,2.1,1.3,0.7,64.5,64.5,0,0,64.5,2.1,1.3,0.7,64.5,0,0,0,,0
11,"Niagara Purple Eagles",13,0.5,0.8,0.7,1.286,0.5,0.3,0.2,57.1,57.1,0.14,14.3,57.1,0.5,0.3,0.2,57.1,0,0,0,,0
12,"DePaul Blue Demons",16,1.1,2,1.4,1.278,1.1,0.7,0.4,61.1,61.1,0.06,5.6,61.1,1.1,0.7,0.4,61.1,0,0,0,,0
13,"La Salle Explorers",14,0.9,1.4,1.1,1.25,0.9,0.5,0.4,58.3,58.3,0.08,8.3,58.3,0.9,0.5,0.4,58.3,0,0,0,,0
14,"Cornell Big Red",13,2.2,4.1,2.8,1.241,2.2,1.4,0.8,62.1,62.1,0,0,62.1,2.2,1.4,0.8,62.1,0,0,0,,0
15,"Ohio Bobcats",12,0.8,1.2,0.9,1.222,0.8,0.4,0.3,55.6,55.6,0.11,11.1,55.6,0.8,0.4,0.3,55.6,0,0,0,,0
16,"Boston College Eagles",16,1.4,2.4,1.8,1.217,1.4,0.9,0.6,60.9,60.9,0,0,60.9,1.4,0.9,0.6,60.9,0,0,0,,0
17,"Maryland-Eastern Shore Hawks",18,1.4,2.4,1.7,1.2,1.4,0.8,0.6,56,56,0.12,12,56,1.4,0.8,0.6,56,0,0,0,,0
17,"Southern University Jaguars",12,0.8,1.5,1,1.2,0.8,0.5,0.3,60,60,0.1,10,60,0.8,0.5,0.3,60,0,0,0,,0
19,"Houston Christian Huskies",12,1.3,2.2,1.6,1.188,1.3,0.8,0.6,56.3,56.3,0.06,6.3,56.3,1.3,0.8,0.6,56.3,0,0,0,,0
20,"Evansville Aces",14,1.4,2.3,1.6,1.158,1.4,0.8,0.6,57.9,57.9,0,0,57.9,1.4,0.8,0.6,57.9,0,0,0,,0
