sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Prairie View A&M Panthers",15,0.1,0.1,0.1,2,0.1,0.1,0,100,100,0,0,100,0.1,0.1,0,100,0,0,0,,0
1,"Northeastern Huskies",13,0.4,0.7,0.8,2,0.4,0.3,0.1,80,80,0.4,40,80,0.4,0.3,0.1,80,0,0,0,,0
1,"Georgia State Panthers",17,0.1,0.2,0.2,2,0.1,0.1,0,100,100,0,0,100,0.1,0.1,0,100,0,0,0,,0
4,"San Diego State Aztecs",15,0.2,0.3,0.3,1.667,0.2,0.1,0.1,66.7,66.7,0.33,33.3,66.7,0.2,0.1,0.1,66.7,0,0,0,,0
5,"St. John's Red Storm",18,0.8,1.5,1.3,1.643,0.8,0.6,0.2,78.6,78.6,0.14,14.3,78.6,0.8,0.6,0.2,78.6,0,0,0,,0
6,"Youngstown State Penguins",16,0.7,1.2,0.9,1.364,0.7,0.4,0.3,63.6,63.6,0.09,9.1,63.6,0.7,0.4,0.3,63.6,0,0,0,,0
7,"Kansas Jayhawks",16,0.8,1.3,1,1.333,0.8,0.5,0.3,66.7,66.7,0.08,8.3,66.7,0.8,0.5,0.3,66.7,0,0,0,,0
7,"Bucknell Bison",15,0.8,1.6,1.1,1.333,0.8,0.5,0.3,58.3,58.3,0.17,16.7,58.3,0.8,0.5,0.3,58.3,0,0,0,,0
9,"Vanderbilt Commodores",16,1.4,2.1,1.9,1.304,1.4,0.9,0.5,65.2,65.2,0.09,8.7,65.2,1.4,0.9,0.5,65.2,0,0,0,,0
10,"South Carolina Gamecocks",17,1.1,1.7,1.4,1.263,1.1,0.7,0.4,63.2,63.2,0,0,63.2,1.1,0.7,0.4,63.2,0,0,0,,0
11,"Texas-(Austin) Longhorns",18,2.5,3.6,3.1,1.222,2.5,1.5,1,60,60,0.02,2.2,60,2.5,1.5,1,60,0,0,0,,0
12,"Western Illinois Leathernecks",15,0.3,0.5,0.4,1.2,0.3,0.2,0.1,60,60,0.2,20,60,0.3,0.2,0.1,60,0,0,0,,0
