sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Mercyhurst Lakers",11,25.5,43.7,28.4,1.11,25.5,10.4,15.2,40.6,55.5,0,0,40.6,5.9,2.7,3.2,46.2,19.6,7.6,12,38.9,0.77
2,"Lehigh Mountain Hawks",11,26.2,43.2,27.5,1.052,26.2,10,16.2,38.2,52.3,0.01,0.7,38.2,6.6,2.6,4,39.7,19.5,7.4,12.2,37.7,0.75
3,"Presbyterian Blue Hose",12,20,35.1,20.9,1.046,20,7.7,12.3,38.3,52.1,0,0.4,38.3,5.5,2.2,3.3,39.4,14.5,5.5,9,37.9,0.73
4,"New Orleans Privateers",10,31,48.7,32.2,1.039,31,11.5,19.5,37.1,51.8,0,0.3,37.1,6.6,2.4,4.2,36.4,24.4,9.1,15.3,37.3,0.79
5,"North Carolina-Wilmington Seahawks",11,28.8,45.6,29.6,1.028,28.8,10.8,18,37.5,51.1,0.01,0.6,37.5,8.3,3,5.3,36.3,20.5,7.8,12.7,38.1,0.71
6,"Mississippi Valley State Delta Devils",11,30,45.3,30.7,1.024,30,11.1,18.9,37,51.2,0,0,37,8.3,2.5,5.7,30.8,21.7,8.5,13.2,39.3,0.72
7,"Manhattan Jaspers",10,29.1,50.1,29.1,1,29.1,10.3,18.8,35.4,49.8,0,0.3,35.4,6.3,1.9,4.4,30.2,22.8,8.4,14.4,36.8,0.78
8,"Oakland Golden Grizzlies",12,28.5,46,28.4,0.997,28.5,10.5,18,36.8,49.9,0,0,36.8,7.8,3.1,4.8,39.4,20.7,7.4,13.3,35.9,0.73
9,"Le Moyne Dolphins",12,32.3,52,31.9,0.99,32.3,11.7,20.6,36.2,49.5,0,0.3,36.2,7.6,3.1,4.5,40.7,24.7,8.6,16.1,34.8,0.76
10,"Jackson State Tigers",11,27.6,48.7,27,0.977,27.6,10.1,17.5,36.5,48,0.02,2,36.5,8.1,3.7,4.4,46.1,19.5,6.4,13.2,32.6,0.71
11,"Tennessee State Tigers",11,29.7,47.8,29,0.976,29.7,10.9,18.8,36.7,48.6,0,0.3,36.7,9.8,3.8,6,38.9,19.9,7.1,12.8,35.6,0.67
12,"Northern Kentucky Norse",14,27.4,44.7,26.6,0.974,27.4,9.4,17.9,34.5,48.7,0,0,34.5,5.7,1.6,4.1,28.7,21.6,7.8,13.9,36,0.79
13,"Ohio Bobcats",10,35,57.7,34,0.971,35,12,23,34.3,48.1,0.01,0.9,34.3,5.2,2.3,2.9,44.2,29.8,9.7,20.1,32.6,0.85
14,"Montana State Bobcats",11,27.4,53.6,26.5,0.97,27.4,9.5,17.8,34.9,48.5,0,0.3,34.9,5.8,2.1,3.7,35.9,21.5,7.5,14.1,34.6,0.79
15,"Cincinnati Bearcats",11,29.1,47.5,28.2,0.969,29.1,10.3,18.8,35.3,48.4,0,0,35.3,7.1,2.6,4.5,37.2,22,7.6,14.4,34.7,0.76
16,"Towson Tigers",11,24.6,38.4,23.8,0.967,24.6,9.1,15.5,36.9,48.2,0.01,0.7,36.9,9.8,3.5,6.3,36.1,14.8,5.5,9.3,37.4,0.6
16,"Gardner-Webb Runnin Bulldogs",14,30,54.7,29,0.967,30,10.2,19.8,34,48.1,0,0.5,34,5.4,1.8,3.6,32.9,24.6,8.4,16.1,34.3,0.82
18,"Southern Illinois Salukis",10,29.1,52,28.1,0.966,29.1,10.3,18.8,35.4,47.9,0.01,0.7,35.4,7.1,3,4.1,42.3,22,7.3,14.7,33.2,0.76
19,"Northern Illinois Huskies",11,27.1,45.8,26,0.96,27.1,9.5,17.6,34.9,48,0,0,34.9,7.5,2.4,5.2,31.3,19.5,7.1,12.5,36.3,0.72
20,"Nebraska-Omaha Mavericks",15,32.3,49.8,30.9,0.959,32.3,11.1,21.1,34.5,47.9,0,0,34.5,5.9,2.5,3.5,41.6,26.3,8.7,17.7,32.9,0.82
21,"Princeton Tigers",13,27.6,48.1,26.4,0.955,27.6,9.9,17.7,35.9,47.5,0.01,0.8,35.9,8.4,3.5,4.8,42.2,19.2,6.4,12.8,33.2,0.7
22,"Washington State Cougars",14,30.9,50.1,29.4,0.954,30.9,11.4,19.4,37,47.6,0,0.2,37,12,4.9,7.1,41.1,18.9,6.5,12.4,34.5,0.61
23,"Stonehill College Skyhawks",10,24.9,40.3,23.7,0.952,24.9,8.6,16.3,34.5,47.6,0,0,34.5,6.8,2.1,4.7,30.9,18.1,6.5,11.6,35.9,0.73
24,"UMKC Kangaroos",13,26.8,46.5,25.5,0.951,26.8,9.3,17.5,34.8,47.4,0.01,1.1,34.8,6.5,2.5,4,38.8,20.2,6.8,13.5,33.5,0.76
25,"Drake Bulldogs",11,32.2,49.4,30.4,0.944,32.2,10.9,21.3,33.9,47,0,0.3,33.9,6.7,2.5,4.3,36.5,25.5,8.5,17,33.2,0.79
26,"Charleston Southern Buccaneers",12,36.1,53.3,34,0.942,36.1,12.8,23.3,35.6,47,0,0.2,35.6,12.2,4.6,7.6,37.7,23.9,8.3,15.7,34.5,0.66
26,"Grand Canyon University Antelopes",12,27.3,48.7,25.7,0.942,27.3,9.9,17.3,36.4,46.9,0.01,0.9,36.4,9.6,4.2,5.4,43.5,17.7,5.8,11.9,32.5,0.65
28,"Boston College Eagles",14,31.1,53.2,29.2,0.938,31.1,10.6,20.5,34.2,46.7,0,0.5,34.2,7.3,2.9,4.4,39.2,23.9,7.8,16.1,32.6,0.77
29,"Southeastern Louisiana Lions",10,31.9,47.4,29.9,0.937,31.9,11.5,20.4,36.1,46.6,0.01,0.6,36.1,9.3,4.8,4.5,51.6,22.6,6.7,15.9,29.6,0.71
29,"Niagara Purple Eagles",11,24.6,37.8,23.1,0.937,24.6,8.5,16.2,34.3,46.3,0.01,1.5,34.3,6.7,2.5,4.2,37.8,17.9,5.9,12,33,0.73
31,"Marist Red Foxes",12,28.7,46.6,26.8,0.936,28.7,10,18.7,34.9,46.8,0,0,34.9,8,3.2,4.8,39.6,20.7,6.8,13.8,33.1,0.72
32,"Texas-(Rio Grande Valley) Vaqueros",11,33.3,50.5,31.1,0.934,33.3,11.6,21.6,35,46.7,0,0,35,10.2,3.8,6.4,37.5,23.1,7.8,15.3,33.9,0.69
33,"Columbia Lions",12,24.3,43.4,22.6,0.931,24.3,8.2,16.1,33.7,46.6,0,0,33.7,7.1,1.9,5.2,27.1,17.2,6.3,10.9,36.4,0.71
34,"Evansville Aces",12,23.9,40.5,22.3,0.93,23.9,8.1,15.8,33.8,46.5,0,0,33.8,5.6,2,3.6,35.8,18.3,6.1,12.3,33.2,0.77
34,"Idaho Vandals",13,34.2,53.8,31.8,0.93,34.2,12.2,22,35.6,46.4,0,0.2,35.6,11.5,4.8,6.7,41.6,22.7,7.4,15.3,32.5,0.66
36,"Florida A&M Rattlers",10,27.8,44.8,25.8,0.928,27.8,9.4,18.4,33.8,46.4,0,0,33.8,7.5,2.4,5.1,32,20.3,7,13.3,34.5,0.73
36,"Long Beach State 49ers",11,31.5,48.4,29.2,0.928,31.5,10.5,20.9,33.5,46.4,0,0,33.5,5.4,2.5,2.9,45.8,26.1,8.1,18,31,0.83
38,"Central Connecticut State Blue Devils",11,28.3,47.6,26.2,0.926,28.3,9.4,18.9,33.1,46.1,0,0.3,33.1,5.8,2,3.8,34.4,22.5,7.4,15.1,32.8,0.79
