sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Fairfield Stags",28,34,56.1,37.5,1.102,34,12.7,21.3,37.4,54.9,0,0.4,37.4,2.2,0.8,1.5,33.9,31.8,12,19.9,37.6,0.93
2,"Connecticut Huskies",28,33,49.9,35.9,1.089,33,13.3,19.7,40.2,54.3,0,0.2,40.2,9.8,3.9,5.8,40.3,23.2,9.3,13.9,40.2,0.7
3,"Richmond Spiders",28,32.1,55.2,34.1,1.065,32.1,11.7,20.4,36.5,53.2,0,0,36.5,2.8,1,1.8,35.4,29.3,10.7,18.5,36.6,0.91
4,"Lindenwood University Lions",29,30.1,52.7,31.8,1.056,30.1,11.8,18.3,39.2,52.7,0,0.1,39.2,8.4,3.7,4.7,43.9,21.7,8.1,13.6,37.5,0.72
5,"Indiana Hoosiers",27,29.3,54.2,30.8,1.052,29.3,11.6,17.6,39.7,52.2,0.01,1,39.7,9.8,4.4,5.4,44.5,19.4,7.3,12.2,37.3,0.66
6,"Alabama Crimson Tide",27,28,48.4,29.4,1.049,28,10.5,17.5,37.4,52.4,0,0.1,37.4,5,2.1,2.9,41.9,23,8.4,14.6,36.5,0.82
7,"Iowa State Cyclones",27,29.5,48,30.8,1.045,29.5,11.2,18.3,37.9,52.2,0,0.1,37.9,6.8,2.8,4,41,22.7,8.4,14.3,37,0.77
8,"UCLA Bruins",27,28.3,44.2,29.4,1.042,28.3,10.9,17.3,38.7,52,0,0.3,38.7,8.3,3.4,4.9,41.3,20,7.5,12.5,37.6,0.71
9,"TCU Horned Frogs",28,30.4,49.1,31.5,1.038,30.4,11.1,19.3,36.7,51.8,0,0.2,36.7,5,1.9,3.1,38.6,25.4,9.2,16.2,36.3,0.84
10,"North Dakota State Bison",27,23.8,40.8,24.6,1.034,23.8,9,14.8,37.9,51.6,0,0.3,37.9,6,2.5,3.5,41.4,17.8,6.5,11.3,36.7,0.75
11,"Michigan State Spartans",27,26.9,41.7,27.1,1.011,26.9,9.7,17.1,36.1,50.4,0,0.3,36.1,5.4,2,3.4,37.4,21.4,7.7,13.7,35.8,0.8
12,"Oklahoma State Cowgirls",29,33.9,52.8,34.2,1.009,33.9,12.4,21.5,36.6,50.4,0,0.1,36.6,6.9,3,3.9,43.3,26.9,9.4,17.6,34.8,0.8
13,"Nebraska Cornhuskers",27,29.9,48.6,30.1,1.007,29.9,11.1,18.8,37.2,50.3,0,0.1,37.2,7.4,3.3,4.2,43.8,22.4,7.9,14.6,35,0.75
14,"San Diego State Aztecs",26,33,55.5,33.2,1.006,33,12.3,20.7,37.2,49.9,0.01,0.9,37.2,9.2,3.9,5.3,42.7,23.8,8.3,15.4,35.1,0.72
15,"Miami (OH) RedHawks",27,28,49.1,28.2,1.005,28,10,18.1,35.5,50.2,0,0.1,35.5,4.1,1.7,2.4,42.3,23.9,8.2,15.7,34.4,0.85
16,"Vanderbilt Commodores",27,36.4,55.9,36.6,1.003,36.4,13.4,23,36.8,50.2,0,0.1,36.8,10,3.7,6.3,36.8,26.5,9.7,16.7,36.8,0.73
16,"South Dakota State Jackrabbits",28,27.1,46.2,27.2,1.003,27.1,9.9,17.3,36.4,50.1,0,0,36.4,6.1,2.5,3.7,40.1,21,7.4,13.6,35.4,0.77
18,"UAB Blazers",27,31.8,55,31.9,1.002,31.8,11.7,20,36.9,50,0,0.2,36.9,8.4,3.4,5,41,23.4,8.3,15.1,35.5,0.74
19,"Boise State Broncos",28,28.6,47.9,28.6,1,28.6,10.7,17.9,37.4,49.8,0,0.5,37.4,10.5,3.6,6.9,34.6,18.1,7.1,11,39.1,0.63
20,"Missouri Tigers",28,28.7,50.6,28.7,0.999,28.7,10.1,18.6,35.1,49.8,0,0.4,35.1,5,1.6,3.4,32.4,23.8,8.5,15.3,35.6,0.83
21,"Quinnipiac Bobcats",27,29.9,51.8,29.7,0.994,29.9,10.9,19,36.4,49.5,0,0.4,36.4,8.3,3,5.3,36.4,21.6,7.9,13.7,36.4,0.72
22,"Louisiana Tech Lady Techsters",26,25.7,43,25.5,0.993,25.7,9,16.7,35.2,49.5,0,0.3,35.2,4.3,1.7,2.6,39.6,21.4,7.3,14.1,34.3,0.83
23,"Utah Utes",28,31,53.7,30.7,0.992,31,10.9,20.1,35.2,49.4,0,0.5,35.2,4.8,2.1,2.7,44,26.2,8.8,17.4,33.6,0.85
24,"Iowa Hawkeyes",26,28,46,27.5,0.985,28,10.1,17.9,36,49,0.01,0.6,36,7.9,2.8,5.1,35.6,20.1,7.3,12.8,36.2,0.72
25,"Oregon Ducks",28,30.8,50.2,30.1,0.98,30.8,11.5,19.3,37.3,48.9,0.01,0.6,37.3,10.4,4.3,6,41.7,20.4,7.1,13.3,35,0.66
25,"South Carolina Gamecocks",28,27,41.8,26.5,0.98,27,10.1,16.9,37.5,48.8,0.01,0.5,37.5,10.7,4,6.6,37.8,16.4,6.1,10.3,37.3,0.61
25,"UC Irvine Anteaters",27,34.7,60.7,34,0.98,34.7,12.7,22,36.6,48.9,0,0.1,36.6,10.6,4.1,6.4,39.3,24.1,8.6,15.6,35.4,0.7
28,"Texas Tech Lady Raiders",29,30.7,52.7,30,0.979,30.7,11,19.7,35.8,48.7,0.01,0.8,35.8,8.2,3.1,5.1,37.6,22.5,7.9,14.6,35.1,0.73
29,"Clemson Tigers",27,31.6,54.5,30.9,0.977,31.6,11.1,20.5,35.2,48.5,0.01,0.8,35.2,6.9,2.7,4.2,39.2,24.7,8.4,16.3,34,0.78
30,"Marquette Golden Eagles",26,27.8,48.7,27.2,0.976,27.8,9.9,17.9,35.7,48.8,0,0.1,35.7,7.8,2.7,5.1,34.2,20,7.3,12.8,36.3,0.72
31,"Ohio Bobcats",25,31.6,51.1,30.8,0.973,31.6,10.4,21.2,33,48.5,0,0.3,33,1.7,0.6,1,38.1,29.9,9.8,20.1,32.8,0.95
32,"Pepperdine Waves",28,27,45.8,26.2,0.972,27,9.4,17.5,35,48.6,0,0.1,35,5,2.1,2.9,41.7,22,7.4,14.6,33.4,0.82
33,"Gonzaga Bulldogs",29,29.9,49.7,29.1,0.971,29.9,11,19,36.6,48.6,0,0,36.6,11.1,3.8,7.2,34.6,18.9,7.1,11.7,37.8,0.63
33,"Albany Great Danes",27,25.2,49.9,24.4,0.971,25.2,9.1,16.1,36,48.1,0.01,0.9,36,7.6,3,4.6,39.7,17.6,6.1,11.6,34.5,0.7
35,"Coastal Carolina Chanticleers",28,31.5,51.1,30.5,0.969,31.5,10.8,20.7,34.3,48.2,0.01,0.7,34.3,5.8,2,3.8,35.2,25.7,8.8,16.9,34.1,0.82
36,"LSU Tigers",27,29.1,41.3,28.2,0.968,29.1,11.4,17.8,39,48.2,0.01,0.6,39,14.6,6,8.6,41.3,14.5,5.3,9.2,36.7,0.5
37,"Marshall Thundering Herd",30,30.4,50.2,29.4,0.967,30.4,10.1,20.4,33.1,48.1,0,0.4,33.1,2.5,0.9,1.6,36,27.9,9.2,18.8,32.8,0.92
37,"Oral Roberts Golden Eagles",27,27.8,43.9,26.9,0.967,27.8,10.4,17.4,37.5,48.3,0,0.1,37.5,10.3,4.4,5.9,43,17.5,6,11.5,34.2,0.63
37,"Mercyhurst Lakers",26,31.1,55.1,30.1,0.967,31.1,10.3,20.8,33.3,48.3,0,0,33.3,3.1,1,2.1,31.3,28,9.4,18.7,33.5,0.9
40,"West Georgia Wolves",27,27.4,47,26.5,0.966,27.4,9,18.4,32.8,48.2,0,0.3,32.8,1.6,0.6,1,34.9,25.8,8.4,17.4,32.7,0.94
41,"Davidson Wildcats",29,24.3,42.6,23.4,0.963,24.3,7.9,16.4,32.6,48.1,0,0.3,32.6,1.4,0.4,1,26.8,22.9,7.6,15.4,32.9,0.94
42,"Kansas Jayhawks",28,23.5,43.4,22.6,0.962,23.5,8.3,15.2,35.2,48.1,0,0.2,35.2,6.3,2.2,4.1,34.9,17.2,6.1,11.1,35.3,0.73
43,"Villanova Wildcats",27,34.5,55,33.1,0.96,34.5,12.1,22.4,35.1,48,0,0,35.1,9.8,3.2,6.6,32.8,24.7,8.9,15.8,36,0.72
43,"Saint Joseph's Hawks",27,26.9,48.3,25.8,0.96,26.9,9.4,17.5,34.8,47.9,0,0.3,34.8,5.8,2.3,3.4,40.4,21.1,7,14.1,33.3,0.79
45,"Kansas State Wildcats",29,26,44.6,24.9,0.959,26,8.8,17.2,34,47.8,0,0.3,34,4.9,1.6,3.2,33.3,21.1,7.2,13.9,34.1,0.81
46,"Lehigh Mountain Hawks",26,27.7,52.9,26.6,0.958,27.7,9,18.7,32.6,47.9,0,0.1,32.6,1.7,0.5,1.1,32.6,26.1,8.5,17.6,32.6,0.94
46,"Ohio State Buckeyes",27,35.4,52.8,33.9,0.958,35.4,13,22.4,36.8,47.8,0,0.2,36.8,12.2,5.2,7,42.4,23.1,7.8,15.3,33.8,0.65
48,"Vermont Catamounts",30,28,49.2,26.8,0.957,28,10.3,17.8,36.6,47.8,0,0.2,36.6,9.6,4,5.6,41.7,18.4,6.3,12.2,34,0.66
49,"Michigan Wolverines",26,30.1,44.3,28.8,0.955,30.1,11,19.1,36.5,47.6,0.01,0.5,36.5,9.9,4.3,5.5,44,20.2,6.7,13.6,32.9,0.67
49,"UNLV Rebels",27,31.4,52.9,30,0.955,31.4,11.6,19.9,36.8,47.6,0.01,0.6,36.8,11.3,4.7,6.5,42.1,20.1,6.8,13.3,33.8,0.64
51,"UC Santa Barbara Gauchos",26,31.1,54.5,29.7,0.953,31.1,10.3,20.8,33.3,47.7,0,0.2,33.3,3.9,1.4,2.5,35.6,27.2,9,18.3,32.9,0.88
52,"Fairleigh Dickinson Knights",28,34.2,56.7,32.5,0.95,34.2,11.6,22.6,34,47.4,0,0.1,34,7.9,2.5,5.4,31.4,26.4,9.2,17.2,34.8,0.77
53,"Bradley Braves",27,33.3,54.1,31.6,0.948,33.3,11.7,21.7,35,47.3,0,0.2,35,9.8,3.5,6.3,35.5,23.5,8.2,15.3,34.8,0.71
54,"North Carolina Tar Heels",28,32,50.2,30.3,0.946,32,11.1,20.9,34.7,47.3,0,0,34.7,8.8,3,5.8,34.4,23.2,8.1,15.1,34.8,0.72
54,"West Virginia Mountaineers",28,24.6,40.9,23.3,0.946,24.6,8.4,16.3,34.1,47.2,0,0.1,34.1,5.3,1.9,3.4,36.1,19.4,6.5,12.9,33.5,0.79
54,"Boston University Terriers",27,20.4,40.8,19.3,0.946,20.4,6.7,13.7,33,47.3,0,0,33,2.7,0.9,1.9,32.4,17.7,5.9,11.9,33.1,0.87
54,"N.J.I.T. Highlanders",28,28.2,49.6,26.6,0.946,28.2,10,18.2,35.5,47.1,0,0.4,35.5,7.5,3.4,4,45.9,20.7,6.6,14.1,31.7,0.74
58,"Wisconsin-(Green Bay) Phoenix",28,24.5,42.6,23.1,0.945,24.5,8.3,16.2,33.8,47,0,0.4,33.8,4.9,1.8,3,37.5,19.6,6.5,13.2,32.9,0.8
58,"Georgia Lady Bulldogs",27,32.7,52.8,30.9,0.945,32.7,11.9,20.8,36.4,46.8,0.01,1.2,36.4,12.4,5.1,7.3,40.9,20.3,6.8,13.5,33.6,0.62
60,"Princeton Tigers",24,31.7,53.6,29.9,0.942,31.7,11.4,20.3,36,46.8,0.01,0.8,36,11.3,4.6,6.7,40.6,20.4,6.8,13.6,33.5,0.64
