sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Mississippi Valley State Delta Devils",15,19.9,68.7,22.2,1.117,19.9,7.4,12.5,37.2,55.9,0,0,37.2,0,0,0,,19.9,7.4,12.5,37.2,1
2,"Mercyhurst Lakers",15,18.7,76.6,20.8,1.11,18.7,6.9,11.8,37,55.5,0,0,37,0,0,0,,18.7,6.9,11.8,37,1
3,"Lehigh Mountain Hawks",15,17.7,72,19.3,1.091,17.7,6.4,11.3,36.2,54.3,0,0.4,36.2,0,0,0,,17.7,6.4,11.3,36.2,1
4,"Presbyterian Blue Hose",15,15.8,72.7,17.1,1.08,15.8,5.7,10.1,35.9,53.8,0,0.4,35.9,0,0,0,,15.8,5.7,10.1,35.9,1
5,"Columbia Lions",15,16.5,70.9,17.8,1.077,16.5,5.9,10.6,35.9,53.8,0,0,35.9,0,0,0,,16.5,5.9,10.6,35.9,1
6,"Utah Valley Wolverines",16,20,74.8,21.4,1.069,20,7.1,12.9,35.6,53.4,0,0,35.6,0,0,0,,20,7.1,12.9,35.6,1
7,"Oakland Golden Grizzlies",17,20.6,74.3,21.9,1.063,20.6,7.3,13.3,35.4,53.1,0,0,35.4,0,0,0,,20.6,7.3,13.3,35.4,1
8,"Cincinnati Bearcats",15,22.1,75.4,23.2,1.051,22.1,7.7,14.3,35,52.6,0,0,35,0,0,0,,22.1,7.7,14.3,35,1
9,"Northern Illinois Huskies",15,20,73.5,21,1.05,20,7,13,35,52.5,0,0,35,0,0,0,,20,7,13,35,1
10,"North Carolina Central Eagles",16,18.7,65.4,19.6,1.047,18.7,6.5,12.2,34.8,52.2,0,0.3,34.8,0,0,0,,18.7,6.5,12.2,34.8,1
11,"New Orleans Privateers",15,24.5,79.1,25.6,1.043,24.5,8.5,16,34.8,52.2,0,0,34.8,0,0,0,,24.5,8.5,16,34.8,1
12,"Towson Tigers",14,14.2,57.2,14.8,1.04,14.2,4.9,9.3,34.7,52,0,0,34.7,0,0,0,,14.2,4.9,9.3,34.7,1
13,"Boston College Eagles",18,23.1,75.8,24,1.038,23.1,8,15.1,34.6,51.9,0,0,34.6,0,0,0,,23.1,8,15.1,34.6,1
13,"Penn State Lady Lions",16,21.6,63.3,22.4,1.038,21.6,7.4,14.1,34.5,51.7,0,0.3,34.5,0,0,0,,21.6,7.4,14.1,34.5,1
15,"Tennessee State Tigers",15,19.3,65.7,19.9,1.031,19.3,6.6,12.7,34.3,51.4,0,0.3,34.3,0,0,0,,19.3,6.6,12.7,34.3,1
16,"North Carolina-Wilmington Seahawks",15,20.5,71.1,21.1,1.029,20.5,7,13.5,34.2,51.3,0,0.3,34.2,0,0,0,,20.5,7,13.5,34.2,1
16,"Niagara Purple Eagles",15,18.7,72.7,19.2,1.029,18.7,6.4,12.3,34.3,51.4,0,0,34.3,0,0,0,,18.7,6.4,12.3,34.3,1
18,"James Madison Dukes",18,19.8,67.4,20.3,1.025,19.8,6.8,13.1,34.2,51.3,0,0,34.2,0,0,0,,19.8,6.8,13.1,34.2,1
18,"Western Carolina Lady Catamounts",17,19,69.6,19.5,1.025,19,6.5,12.5,34.1,51.1,0.01,0.6,34.1,0,0,0,,19,6.5,12.5,34.1,1
20,"Lafayette Leopards",15,23.7,72.2,24.2,1.023,23.7,8.1,15.6,34.1,51.1,0,0,34.1,0,0,0,,23.7,8.1,15.6,34.1,1
21,"Manhattan Jaspers",15,20.7,75.1,21.1,1.019,20.7,7,13.7,33.9,50.8,0,0.3,33.9,0,0,0,,20.7,7,13.7,33.9,1
22,"Clemson Tigers",17,15.5,61.7,15.7,1.015,15.5,5.2,10.2,33.8,50.8,0,0,33.8,0,0,0,,15.5,5.2,10.2,33.8,1
22,"West Virginia Mountaineers",16,16.6,65.8,16.9,1.015,16.6,5.6,11,33.8,50.8,0,0,33.8,0,0,0,,16.6,5.6,11,33.8,1
24,"Stonehill College Skyhawks",14,16.1,67.6,16.3,1.013,16.1,5.4,10.6,33.8,50.7,0,0,33.8,0,0,0,,16.1,5.4,10.6,33.8,1
24,"Nicholls State Colonels",14,21.8,66.3,22.1,1.013,21.8,7.4,14.4,33.8,50.7,0,0.3,33.8,0,0,0,,21.8,7.4,14.4,33.8,1
26,"Southern Miss Golden Eagles",16,23,70.5,23.3,1.011,23,7.8,15.3,33.7,50.5,0,0,33.7,0,0,0,,23,7.8,15.3,33.7,1
27,"Temple Owls",15,20.6,67.6,20.8,1.01,20.6,6.9,13.7,33.7,50.5,0,0,33.7,0,0,0,,20.6,6.9,13.7,33.7,1
28,"Montana State Bobcats",15,22.2,78.7,22.4,1.009,22.2,7.5,14.7,33.6,50.5,0,0.3,33.6,0,0,0,,22.2,7.5,14.7,33.6,1
29,"Washington State Cougars",19,20.2,63,20.4,1.008,20.2,6.8,13.4,33.6,50.4,0,0,33.6,0,0,0,,20.2,6.8,13.4,33.6,1
30,"Northwestern Wildcats",16,21.1,76.8,21.2,1.006,21.1,7.1,14,33.5,50.3,0,0.3,33.5,0,0,0,,21.1,7.1,14,33.5,1
31,"Gardner-Webb Runnin Bulldogs",17,24.1,80.2,24.1,1.002,24.1,8,16.1,33.3,49.9,0,0.5,33.3,0,0,0,,24.1,8,16.1,33.3,1
32,"Princeton Tigers",15,18.9,67.9,18.9,1,18.9,6.3,12.6,33.2,49.8,0,0.4,33.2,0,0,0,,18.9,6.3,12.6,33.2,1
32,"Charleston Southern Buccaneers",17,22.6,62.8,22.6,1,22.6,7.5,15.1,33.3,50,0,0,33.3,0,0,0,,22.6,7.5,15.1,33.3,1
34,"Le Moyne Dolphins",17,23.9,74.5,23.8,0.995,23.9,7.9,16,33.2,49.8,0,0,33.2,0,0,0,,23.9,7.9,16,33.2,1
34,"Xavier Musketeers",16,23.9,76.1,23.8,0.995,23.9,7.9,16,33.2,49.7,0,0,33.2,0,0,0,,23.9,7.9,16,33.2,1
36,"Pepperdine Waves",17,19.9,62,19.8,0.994,19.9,6.6,13.3,33.1,49.7,0,0,33.1,0,0,0,,19.9,6.6,13.3,33.1,1
37,"Tarleton State Texans",15,20.4,66.8,20.3,0.993,20.4,6.7,13.7,33,49.5,0,0.3,33,0,0,0,,20.4,6.7,13.7,33,1
37,"Portland State Vikings",15,19.1,64.1,19,0.993,19.1,6.3,12.8,33.1,49.7,0,0,33.1,0,0,0,,19.1,6.3,12.8,33.1,1
39,"Grand Canyon University Antelopes",16,17.1,63.6,16.9,0.989,17.1,5.6,11.4,33,49.5,0,0,33,0,0,0,,17.1,5.6,11.4,33,1
40,"UMKC Kangaroos",17,20.4,77.1,20.1,0.988,20.4,6.7,13.6,32.9,49.4,0.01,0.6,32.9,0,0,0,,20.4,6.7,13.6,32.9,1
41,"Loyola (MD) Greyhounds",15,22.3,75.1,22,0.985,22.3,7.3,15,32.8,49.3,0,0,32.8,0,0,0,,22.3,7.3,15,32.8,1
42,"Idaho Vandals",16,23.9,69.5,23.5,0.984,23.9,7.8,16.1,32.7,49.1,0,0.3,32.7,0,0,0,,23.9,7.8,16.1,32.7,1
42,"Coppin State Eagles",18,20.5,67.8,20.2,0.984,20.5,6.7,13.8,32.8,49.2,0,0,32.8,0,0,0,,20.5,6.7,13.8,32.8,1
44,"North Dakota Fighting Hawks",17,23,61.1,22.6,0.982,23,7.5,15.5,32.7,49.1,0,0,32.7,0,0,0,,23,7.5,15.5,32.7,1
44,"Louisiana-(Monroe) Warhawks",15,22.3,74.4,21.9,0.982,22.3,7.3,15,32.6,49,0,0.3,32.6,0,0,0,,22.3,7.3,15,32.6,1
