sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Connecticut Huskies",13,23.1,69,27.9,1.21,23.1,9.3,13.8,40.3,60.5,0,0,40.3,0,0,0,,23.1,9.3,13.8,40.3,1
2,"Fairfield Stags",11,32,95.1,38.3,1.196,32,12.7,19.3,39.8,59.7,0,0.3,39.8,0,0,0,,32,12.7,19.3,39.8,1
3,"Marquette Golden Eagles",12,22.5,74,26.5,1.178,22.5,8.8,13.7,39.3,58.9,0,0,39.3,0,0,0,,22.5,8.8,13.7,39.3,1
4,"Boise State Broncos",13,17,60.9,19.8,1.167,17,6.6,10.4,38.9,58.4,0,0,38.9,0,0,0,,17,6.6,10.4,38.9,1
5,"Oklahoma State Cowgirls",14,29.5,83.6,34.1,1.155,29.5,11.4,18.1,38.5,57.7,0,0,38.5,0,0,0,,29.5,11.4,18.1,38.5,1
6,"UC Santa Barbara Gauchos",11,26.5,85.4,30.5,1.151,26.5,10.2,16.4,38.4,57.5,0,0.3,38.4,0,0,0,,26.5,10.2,16.4,38.4,1
7,"TCU Horned Frogs",13,26.7,84,30.7,1.15,26.7,10.2,16.5,38.3,57.5,0,0,38.3,0,0,0,,26.7,10.2,16.5,38.3,1
8,"Villanova Wildcats",12,24.7,70.6,28.3,1.145,24.7,9.4,15.3,38.2,57.3,0,0,38.2,0,0,0,,24.7,9.4,15.3,38.2,1
9,"Gonzaga Bulldogs",14,18,63.2,20.6,1.143,18,6.9,11.1,38.1,57.1,0,0,38.1,0,0,0,,18,6.9,11.1,38.1,1
10,"LSU Tigers",14,15.6,54.5,17.8,1.142,15.6,5.9,9.6,38.1,57.1,0,0,38.1,0,0,0,,15.6,5.9,9.6,38.1,1
11,"UAB Blazers",13,25.8,77,29.4,1.14,25.8,9.8,16,37.9,56.9,0,0.3,37.9,0,0,0,,25.8,9.8,16,37.9,1
11,"South Carolina Gamecocks",14,16.4,61.2,18.6,1.14,16.4,6.2,10.1,38,57,0,0,38,0,0,0,,16.4,6.2,10.1,38,1
13,"Saint Joseph's Hawks",11,23.7,82.6,27,1.138,23.7,9,14.7,37.9,56.9,0,0,37.9,0,0,0,,23.7,9,14.7,37.9,1
14,"UMKC Kangaroos",13,17.4,58.5,19.8,1.137,17.4,6.5,10.8,37.6,56.4,0.01,0.9,37.6,0,0,0,,17.4,6.5,10.8,37.6,1
14,"Quinnipiac Bobcats",11,23.3,75.5,26.5,1.137,23.3,8.8,14.5,37.9,56.8,0,0,37.9,0,0,0,,23.3,8.8,14.5,37.9,1
16,"Michigan State Spartans",13,23.2,83.6,26.3,1.136,23.2,8.8,14.4,37.9,56.8,0,0,37.9,0,0,0,,23.2,8.8,14.4,37.9,1
