sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Valparaiso University",17,3.6,11.7,4.1,1.129,3.6,2.1,1.6,56.5,56.5,0,0,56.5,3.6,2.1,1.6,56.5,0,0,0,,0
2,"Mercyhurst Lakers",15,2.1,8.7,2.4,1.125,2.1,1.2,0.9,56.3,56.3,0,0,56.3,2.1,1.2,0.9,56.3,0,0,0,,0
3,"Indiana University - Indianapolis Jaguars",15,1.7,6.2,1.7,1.04,1.7,0.9,0.8,52,52,0,0,52,1.7,0.9,0.8,52,0,0,0,,0
4,"Tulane Green Wave",16,3.6,11.1,3.7,1.017,3.6,1.8,1.8,50,50,0.02,1.7,50,3.6,1.8,1.8,50,0,0,0,,0
5,"Western Kentucky Hilltoppers",15,2.4,7.3,2.4,1,2.4,1.2,1.2,50,50,0,0,50,2.4,1.2,1.2,50,0,0,0,,0
6,"Texas-(Arlington) Mavericks",16,3.4,12.7,3.3,0.981,3.4,1.6,1.8,48.1,48.1,0.02,1.9,48.1,3.4,1.6,1.8,48.1,0,0,0,,0
7,"Purdue Boilermakers",16,4.3,13.5,4.1,0.956,4.3,2,2.3,47.1,47.1,0.01,1.5,47.1,4.3,2,2.3,47.1,0,0,0,,0
8,"Loyola (Chicago) Ramblers",15,1.4,6.5,1.3,0.952,1.4,0.7,0.7,47.6,47.6,0,0,47.6,1.4,0.7,0.7,47.6,0,0,0,,0
9,"Sacramento State Hornets",16,3.4,12.3,3.3,0.945,3.4,1.6,1.8,47.3,47.3,0,0,47.3,3.4,1.6,1.8,47.3,0,0,0,,0
10,"Drake Bulldogs",14,3.6,11,3.3,0.92,3.6,1.6,1.9,46,46,0,0,46,3.6,1.6,1.9,46,0,0,0,,0
11,"Southern Illinois Salukis",15,1.9,7,1.7,0.897,1.9,0.9,1.1,44.8,44.8,0,0,44.8,1.9,0.9,1.1,44.8,0,0,0,,0
11,"Boston College Eagles",18,3.2,10.6,2.9,0.897,3.2,1.4,1.8,44.8,44.8,0,0,44.8,3.2,1.4,1.8,44.8,0,0,0,,0
13,"Coppin State Eagles",18,4.6,15.3,4.1,0.892,4.6,2.1,2.6,44.6,44.6,0,0,44.6,4.6,2.1,2.6,44.6,0,0,0,,0
14,"Oklahoma State Cowgirls",17,4.2,15.2,3.7,0.887,4.2,1.8,2.4,43.7,43.7,0.01,1.4,43.7,4.2,1.8,2.4,43.7,0,0,0,,0
15,"Northern Kentucky Norse",19,2.3,8.3,2,0.884,2.3,1,1.3,44.2,44.2,0,0,44.2,2.3,1,1.3,44.2,0,0,0,,0
16,"Montana State Bobcats",15,1.7,5.9,1.5,0.88,1.7,0.7,0.9,44,44,0,0,44,1.7,0.7,0.9,44,0,0,0,,0
17,"Cal State Bakersfield Roadrunners",16,3.1,10.8,2.6,0.857,3.1,1.3,1.8,42.9,42.9,0,0,42.9,3.1,1.3,1.8,42.9,0,0,0,,0
18,"St. Thomas (MN) Tommies",17,1.5,6.7,1.3,0.846,1.5,0.6,0.9,42.3,42.3,0,0,42.3,1.5,0.6,0.9,42.3,0,0,0,,0
19,"Detroit Titans",16,2.8,10.1,2.4,0.844,2.8,1.2,1.6,42.2,42.2,0,0,42.2,2.8,1.2,1.6,42.2,0,0,0,,0
20,"Vanderbilt Commodores",16,3.4,11.3,2.9,0.836,3.4,1.4,2,41.8,41.8,0,0,41.8,3.4,1.4,2,41.8,0,0,0,,0
21,"Long Beach State 49ers",15,3.2,9.7,2.7,0.833,3.2,1.3,1.9,41.7,41.7,0,0,41.7,3.2,1.3,1.9,41.7,0,0,0,,0
22,"Georgia State Panthers",17,2.7,8.6,2.2,0.826,2.7,1.1,1.6,41.3,41.3,0,0,41.3,2.7,1.1,1.6,41.3,0,0,0,,0
23,"Southeastern Louisiana Lions",14,2.3,7.1,1.9,0.813,2.3,0.9,1.4,40.6,40.6,0,0,40.6,2.3,0.9,1.4,40.6,0,0,0,,0
24,"Akron Zips",15,2.5,9,2,0.811,2.5,1,1.5,40.5,40.5,0,0,40.5,2.5,1,1.5,40.5,0,0,0,,0
24,"Nebraska-Omaha Mavericks",19,1.9,6,1.6,0.811,1.9,0.8,1.2,40.5,40.5,0,0,40.5,1.9,0.8,1.2,40.5,0,0,0,,0
26,"Louisiana-(Monroe) Warhawks",15,2.8,9.4,2.3,0.81,2.8,1.1,1.7,40.5,40.5,0,0,40.5,2.8,1.1,1.7,40.5,0,0,0,,0
27,"Charlotte 49ers",17,3.9,13.2,3.2,0.806,3.9,1.6,2.4,40.3,40.3,0.01,1.5,40.3,3.9,1.6,2.4,40.3,0,0,0,,0
28,"Washington State Cougars",19,4.8,15.1,3.9,0.804,4.8,1.9,2.9,40.2,40.2,0,0,40.2,4.8,1.9,2.9,40.2,0,0,0,,0
28,"Brigham Young Cougars",17,3.3,11,2.6,0.804,3.3,1.3,2,39.3,39.3,0.02,1.8,39.3,3.3,1.3,2,39.3,0,0,0,,0
30,"UC Davis Aggies",16,4.4,13.2,3.5,0.8,4.4,1.8,2.6,40,40,0,0,40,4.4,1.8,2.6,40,0,0,0,,0
30,"North Carolina State Wolfpack",16,4.7,13.1,3.8,0.8,4.7,1.9,2.8,40,40,0,0,40,4.7,1.9,2.8,40,0,0,0,,0
