sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Abilene Christian Wildcats",17,0.3,1,0.5,1.6,0.3,0.2,0.1,80,80,0,0,80,0.3,0.2,0.1,80,0,0,0,,0
2,"Purdue Fort Wayne Mastodons",18,0.8,2.9,1,1.2,0.8,0.5,0.3,60,60,0,0,60,0.8,0.5,0.3,60,0,0,0,,0
3,"Miami (OH) RedHawks",16,1.4,5.1,1.6,1.13,1.4,0.8,0.6,56.5,56.5,0,0,56.5,1.4,0.8,0.6,56.5,0,0,0,,0
4,"Utah Utes",17,1.1,3.4,1.2,1.111,1.1,0.6,0.5,55.6,55.6,0,0,55.6,1.1,0.6,0.5,55.6,0,0,0,,0
5,"Evansville Aces",15,2.8,8.9,2.9,1.048,2.8,1.5,1.3,52.4,52.4,0,0,52.4,2.8,1.5,1.3,52.4,0,0,0,,0
6,"Louisiana Tech Lady Techsters",13,1.5,5.4,1.5,1,1.5,0.7,0.8,47.4,47.4,0.05,5.3,47.4,1.5,0.7,0.8,47.4,0,0,0,,0
6,"Drake Bulldogs",14,0.6,2.1,0.6,1,0.6,0.3,0.3,50,50,0,0,50,0.6,0.3,0.3,50,0,0,0,,0
6,"Utah Tech University Trailblazers",14,0.6,1.8,0.6,1,0.6,0.3,0.3,50,50,0,0,50,0.6,0.3,0.3,50,0,0,0,,0
9,"Alabama A&M Bulldogs",14,4,15.3,3.9,0.964,4,1.9,2.1,48.2,48.2,0,0,48.2,4,1.9,2.1,48.2,0,0,0,,0
10,"Colorado State Rams",17,2.6,8.3,2.5,0.955,2.6,1.2,1.4,47.7,47.7,0,0,47.7,2.6,1.2,1.4,47.7,0,0,0,,0
11,"Ohio State Buckeyes",16,6.2,17.6,5.8,0.939,6.2,2.9,3.3,46.5,46.5,0.01,1,46.5,6.2,2.9,3.3,46.5,0,0,0,,0
12,"Liberty Flames",14,3.4,12.8,3.2,0.938,3.4,1.6,1.9,45.8,45.8,0.02,2.1,45.8,3.4,1.6,1.9,45.8,0,0,0,,0
13,"Northwestern Wildcats",16,5.4,18.6,5,0.93,5.4,2.5,2.9,46.5,46.5,0,0,46.5,5.4,2.5,2.9,46.5,0,0,0,,0
14,"Alabama Crimson Tide",17,1.6,6,1.5,0.929,1.6,0.8,0.9,46.4,46.4,0,0,46.4,1.6,0.8,0.9,46.4,0,0,0,,0
14,"LSU Tigers",17,6.6,23.7,6.1,0.929,6.6,3,3.6,45.5,45.5,0.02,1.8,45.5,6.6,3,3.6,45.5,0,0,0,,0
14,"San Francisco Dons",17,1.6,6.5,1.5,0.929,1.6,0.8,0.9,46.4,46.4,0,0,46.4,1.6,0.8,0.9,46.4,0,0,0,,0
17,"Toledo Rockets",14,1.9,7.8,1.7,0.923,1.9,0.9,1,46.2,46.2,0,0,46.2,1.9,0.9,1,46.2,0,0,0,,0
18,"UAB Blazers",17,4.5,13.6,4.1,0.921,4.5,2.1,2.4,46.1,46.1,0,0,46.1,4.5,2.1,2.4,46.1,0,0,0,,0
19,"Wisconsin-(Milwaukee) Panthers",18,2.8,10.1,2.6,0.92,2.8,1.3,1.5,46,46,0,0,46,2.8,1.3,1.5,46,0,0,0,,0
19,"Mississippi Rebels",17,2.9,10.5,2.7,0.92,2.9,1.4,1.6,46,46,0,0,46,2.9,1.4,1.6,46,0,0,0,,0
21,"Iowa State Cyclones",16,2.3,8,2.1,0.919,2.3,1.1,1.3,45.9,45.9,0,0,45.9,2.3,1.1,1.3,45.9,0,0,0,,0
22,"James Madison Dukes",18,1.3,4.9,1.2,0.917,1.3,0.6,0.7,45.8,45.8,0,0,45.8,1.3,0.6,0.7,45.8,0,0,0,,0
23,"Indiana Hoosiers",17,2.1,7.2,1.9,0.914,2.1,0.9,1.1,45.7,45.7,0,0,45.7,2.1,0.9,1.1,45.7,0,0,0,,0
24,"West Virginia Mountaineers",16,1.8,7.3,1.6,0.897,1.8,0.8,1,44.8,44.8,0,0,44.8,1.8,0.8,1,44.8,0,0,0,,0
25,"Detroit Titans",16,2.1,8.8,1.9,0.882,2.1,0.9,1.2,44.1,44.1,0,0,44.1,2.1,0.9,1.2,44.1,0,0,0,,0
26,"Saint Joseph's Hawks",16,2.4,8.9,2.1,0.872,2.4,1.1,1.4,43.6,43.6,0,0,43.6,2.4,1.1,1.4,43.6,0,0,0,,0
27,"Indiana University - Indianapolis Jaguars",15,1.5,6.3,1.3,0.87,1.5,0.7,0.9,43.5,43.5,0,0,43.5,1.5,0.7,0.9,43.5,0,0,0,,0
28,"Holy Cross Crusaders",15,4.8,16.2,4.1,0.861,4.8,2.1,2.7,43.1,43.1,0,0,43.1,4.8,2.1,2.7,43.1,0,0,0,,0
29,"Cleveland State Vikings",18,0.8,3.5,0.7,0.857,0.8,0.3,0.4,42.9,42.9,0,0,42.9,0.8,0.3,0.4,42.9,0,0,0,,0
29,"Oklahoma State Cowgirls",17,0.8,2.4,0.7,0.857,0.8,0.4,0.5,42.9,42.9,0,0,42.9,0.8,0.4,0.5,42.9,0,0,0,,0
29,"Tennessee Lady Volunteers",14,1.5,3.9,1.3,0.857,1.5,0.6,0.9,42.9,42.9,0,0,42.9,1.5,0.6,0.9,42.9,0,0,0,,0
32,"Florida Atlantic Owls",16,1.6,5.9,1.4,0.846,1.6,0.7,0.9,42.3,42.3,0,0,42.3,1.6,0.7,0.9,42.3,0,0,0,,0
33,"UC San Diego Tritons",15,3,9.8,2.5,0.844,3,1.3,1.7,42.2,42.2,0,0,42.2,3,1.3,1.7,42.2,0,0,0,,0
34,"Miami (FL) Hurricanes",16,5.1,15.5,4.3,0.84,5.1,2.1,2.9,42,42,0,0,42,5.1,2.1,2.9,42,0,0,0,,0
35,"Auburn Tigers",17,4.4,16.9,3.6,0.838,4.4,1.8,2.5,41.9,41.9,0,0,41.9,4.4,1.8,2.5,41.9,0,0,0,,0
36,"High Point Panthers",17,1.4,5.2,1.2,0.833,1.4,0.6,0.8,41.7,41.7,0,0,41.7,1.4,0.6,0.8,41.7,0,0,0,,0
37,"UC Santa Barbara Gauchos",14,2.1,7,1.7,0.828,2.1,0.9,1.2,41.4,41.4,0,0,41.4,2.1,0.9,1.2,41.4,0,0,0,,0
38,"Penn State Lady Lions",16,3.9,12.7,3.3,0.825,3.9,1.6,2.3,41.3,41.3,0,0,41.3,3.9,1.6,2.3,41.3,0,0,0,,0
39,"North Dakota State Bison",17,1,4.1,0.8,0.824,1,0.4,0.6,41.2,41.2,0,0,41.2,1,0.4,0.6,41.2,0,0,0,,0
40,"Indiana State Sycamores",14,5.6,17.6,4.6,0.821,5.6,2.3,3.3,41,41,0.03,2.6,41,5.6,2.3,3.3,41,0,0,0,,0
41,"Oklahoma Sooners",16,5.1,14.7,4.1,0.815,5.1,2.1,3,40.7,40.7,0,0,40.7,5.1,2.1,3,40.7,0,0,0,,0
42,"Youngstown State Penguins",16,3.7,13.1,3,0.814,3.7,1.5,2.2,40.7,40.7,0,0,40.7,3.7,1.5,2.2,40.7,0,0,0,,0
43,"North Carolina Tar Heels",17,2.5,7.9,2,0.81,2.5,1,1.5,40.5,40.5,0,0,40.5,2.5,1,1.5,40.5,0,0,0,,0
44,"Lindenwood University Lions",17,3.1,10.5,2.5,0.808,3.1,1.2,1.8,40.4,40.4,0,0,40.4,3.1,1.2,1.8,40.4,0,0,0,,0
45,"Long Beach State 49ers",15,5.5,18.3,4.4,0.805,5.5,2.2,3.3,40.2,40.2,0,0,40.2,5.5,2.2,3.3,40.2,0,0,0,,0
46,"Wisconsin-(Green Bay) Phoenix",18,1.9,8,1.6,0.8,1.9,0.8,1.2,40,40,0,0,40,1.9,0.8,1.2,40,0,0,0,,0
46,"Nicholls State Colonels",14,2.1,8.9,1.7,0.8,2.1,0.9,1.3,40,40,0,0,40,2.1,0.9,1.3,40,0,0,0,,0
46,"Ohio Bobcats",14,0.4,1.1,0.3,0.8,0.4,0.1,0.2,40,40,0,0,40,0.4,0.1,0.2,40,0,0,0,,0
46,"Utah State Aggies",14,2.9,9.4,2.3,0.8,2.9,1.1,1.7,40,40,0,0,40,2.9,1.1,1.7,40,0,0,0,,0
46,"UC Riverside Highlanders",15,1.7,5.3,1.3,0.8,1.7,0.7,1,40,40,0,0,40,1.7,0.7,1,40,0,0,0,,0
51,"Southern Methodist Mustangs",16,2.7,10.1,2.1,0.791,2.7,1.1,1.6,39.5,39.5,0.02,2.3,39.5,2.7,1.1,1.6,39.5,0,0,0,,0
52,"Oregon Ducks",17,3.9,12.9,3.1,0.788,3.9,1.5,2.4,39.4,39.4,0,0,39.4,3.9,1.5,2.4,39.4,0,0,0,,0
53,"Pepperdine Waves",17,1.4,5,1.1,0.783,1.4,0.5,0.8,39.1,39.1,0,0,39.1,1.4,0.5,0.8,39.1,0,0,0,,0
54,"Tennessee-Martin Skyhawks",15,2.1,6.5,1.7,0.781,2.1,0.8,1.3,37.5,37.5,0.03,3.1,37.5,2.1,0.8,1.3,37.5,0,0,0,,0
55,"Loyola (MD) Greyhounds",15,2.4,13,1.9,0.778,2.4,0.9,1.5,38.9,38.9,0,0,38.9,2.4,0.9,1.5,38.9,0,0,0,,0
56,"Maryland Terrapins",17,3.4,11.7,2.6,0.776,3.4,1.3,2.1,37.9,37.9,0.02,1.7,37.9,3.4,1.3,2.1,37.9,0,0,0,,0
57,"Georgia Lady Bulldogs",17,4.2,12.5,3.2,0.775,4.2,1.6,2.6,38,38,0.01,1.4,38,4.2,1.6,2.6,38,0,0,0,,0
58,"Lamar Cardinals",14,4.1,16,3.1,0.772,4.1,1.6,2.5,38.6,38.6,0,0,38.6,4.1,1.6,2.5,38.6,0,0,0,,0
59,"Pennsylvania Quakers",15,3.5,11.2,2.7,0.769,3.5,1.3,2.1,38.5,38.5,0,0,38.5,3.5,1.3,2.1,38.5,0,0,0,,0
59,"Vermont Catamounts",18,3.6,12.4,2.8,0.769,3.6,1.4,2.2,38.5,38.5,0,0,38.5,3.6,1.4,2.2,38.5,0,0,0,,0
61,"UMKC Kangaroos",17,5.1,17.2,3.9,0.767,5.1,1.9,3.1,38.4,38.4,0,0,38.4,5.1,1.9,3.1,38.4,0,0,0,,0
62,"Robert Morris Colonials",16,2.6,11.1,2,0.762,2.6,1,1.6,38.1,38.1,0,0,38.1,2.6,1,1.6,38.1,0,0,0,,0
62,"Michigan State Spartans",16,1.3,4.9,1,0.762,1.3,0.5,0.8,38.1,38.1,0,0,38.1,1.3,0.5,0.8,38.1,0,0,0,,0
64,"Syracuse Orange",16,4.4,13.2,3.4,0.761,4.4,1.7,2.8,38,38,0,0,38,4.4,1.7,2.8,38,0,0,0,,0
65,"Howard Bison",19,5.9,20.6,4.5,0.759,5.9,2.2,3.7,37.5,37.5,0.01,0.9,37.5,5.9,2.2,3.7,37.5,0,0,0,,0
65,"New Hampshire Wildcats",17,1.7,6.9,1.3,0.759,1.7,0.6,1.1,37.9,37.9,0,0,37.9,1.7,0.6,1.1,37.9,0,0,0,,0
65,"George Mason Patriots",15,7.7,20.5,5.9,0.759,7.7,2.9,4.8,37.9,37.9,0,0,37.9,7.7,2.9,4.8,37.9,0,0,0,,0
68,"Xavier Musketeers",16,4.1,13.7,3.1,0.758,4.1,1.6,2.6,37.9,37.9,0,0,37.9,4.1,1.6,2.6,37.9,0,0,0,,0
69,"Northern Kentucky Norse",19,2.8,8.8,2.1,0.755,2.8,1.1,1.7,37.7,37.7,0,0,37.7,2.8,1.1,1.7,37.7,0,0,0,,0
