sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Alabama State Hornets",32,4.7,7.7,2.3,0.487,4.7,1.1,3.6,23.3,23.3,0.03,3.3,23.3,4.7,1.1,3.6,23.3,0,0,0,,0
2,"North Carolina-Asheville Bulldogs",30,4.4,7.6,3.1,0.712,4.4,1.5,2.9,34.1,34.1,0.03,3,34.1,4.4,1.5,2.9,34.1,0,0,0,,0
2,"Syracuse Orange",31,4.5,7.6,3.2,0.719,4.5,1.6,2.9,35.3,35.3,0.02,2.2,35.3,4.5,1.6,2.9,35.3,0,0,0,,0
4,"Houston Christian Huskies",29,4,6.9,2.2,0.538,4,1,3,25.6,25.6,0.03,3.4,25.6,4,1,3,25.6,0,0,0,,0
5,"Maryland-Eastern Shore Hawks",33,3.7,6.7,1.8,0.488,3.7,0.9,2.8,23.6,23.6,0.02,1.6,23.6,3.7,0.9,2.8,23.6,0,0,0,,0
5,"Florida A&M Rattlers",31,4,6.7,3.1,0.76,4,1.5,2.5,36.8,36.8,0.02,2.4,36.8,4,1.5,2.5,36.8,0,0,0,,0
5,"Southern University Jaguars",31,3.5,6.7,2.4,0.664,3.5,1.2,2.4,32.7,32.7,0.04,3.6,32.7,3.5,1.2,2.4,32.7,0,0,0,,0
5,"Montana State Bobcats",32,3.5,6.7,2.3,0.655,3.5,1.1,2.4,31.9,31.9,0.02,1.8,31.9,3.5,1.1,2.4,31.9,0,0,0,,0
9,"Grambling State Tigers",32,3.7,6.6,2,0.529,3.7,0.9,2.8,25.2,25.2,0.03,3.4,25.2,3.7,0.9,2.8,25.2,0,0,0,,0
9,"McNeese State Cowgirls",33,3.1,6.6,2.3,0.752,3.1,1.1,2,35.6,35.6,0.06,5.9,35.6,3,1.1,1.9,36,0,0,0,0,0.01
9,"Marshall Thundering Herd",32,4,6.6,2.8,0.709,4,1.4,2.6,34.6,34.6,0.02,1.6,34.6,4,1.4,2.6,34.6,0,0,0,,0
12,"Alabama A&M Bulldogs",30,3.5,6.5,1.8,0.519,3.5,0.9,2.6,25.5,25.5,0.03,2.8,25.5,3.5,0.9,2.6,25.5,0,0,0,,0
12,"USC Upstate Spartans",31,3.9,6.5,2.3,0.579,3.9,1,2.9,26.4,26.4,0.06,4.1,27.3,3.9,1,2.9,26.4,0,0,0,,0
12,"Cleveland State Vikings",33,3.8,6.5,2.5,0.677,3.8,1.3,2.5,33.9,33.9,0.01,0.8,33.9,3.8,1.3,2.5,33.9,0,0,0,,0
12,"Jackson State Tigers",31,3.5,6.5,2.3,0.645,3.5,1.1,2.4,31.8,31.8,0.04,3.6,31.8,3.5,1.1,2.4,31.8,0,0,0,,0
16,"Stony Brook Seawolves",33,3.6,6.4,2.3,0.653,3.6,1.1,2.5,31.4,31.4,0.05,5.1,31.4,3.6,1.1,2.5,31.4,0,0,0,,0
16,"UC San Diego Tritons",32,3.7,6.4,2.6,0.703,3.7,1.3,2.4,33.9,33.9,0.03,3.4,33.9,3.7,1.3,2.4,33.9,0,0,0,,0
16,"Louisiana-(Lafayette) Ragin Cajuns",31,4,6.4,3,0.744,4,1.5,2.6,36,36,0.02,2.4,36,4,1.5,2.6,36,0,0,0,,0
19,"Norfolk State Spartans",32,3.8,6.3,1.6,0.421,3.8,0.8,3,20.7,20.7,0.02,1.7,20.7,3.8,0.8,3,20.7,0,0,0,,0
19,"Loyola Marymount Lions",30,3.4,6.3,2.5,0.752,3.4,1.2,2.2,35.6,35.6,0.06,5.9,35.6,3.4,1.2,2.2,35.6,0,0,0,,0
19,"California Golden Bears",33,3.9,6.3,2.8,0.711,3.9,1.3,2.5,34.4,34.4,0.02,2.3,34.4,3.9,1.3,2.5,34.4,0,0,0,,0
19,"Florida International Panthers",31,3.5,6.3,2.5,0.716,3.5,1.3,2.3,35.8,35.8,0.03,2.8,35.8,3.5,1.3,2.3,35.8,0,0,0,,0
23,"Tulane Green Wave",31,3.9,6.2,2.1,0.545,3.9,1.1,2.8,27.3,27.3,0,0,27.3,3.9,1.1,2.8,27.3,0,0,0,,0
23,"Radford Highlanders",34,3.6,6.2,2.6,0.71,3.6,1.2,2.4,33.9,33.9,0.03,3.2,33.9,3.6,1.2,2.4,33.9,0,0,0,,0
25,"Bethune-Cookman Wildcats",31,3.5,6.1,2.1,0.596,3.5,1,2.5,29.4,29.4,0.03,2.8,29.4,3.5,1,2.5,29.4,0,0,0,,0
25,"Columbia Lions",28,3.2,6.1,1.9,0.589,3.2,0.9,2.3,28.9,28.9,0.01,1.1,28.9,3.2,0.9,2.3,28.9,0,0,0,,0
25,"North Carolina Central Eagles",28,3.5,6.1,2,0.566,3.5,1,2.6,27.3,27.3,0.04,4,27.3,3.5,1,2.6,27.3,0,0,0,,0
28,"Abilene Christian Wildcats",33,3.2,6,2.4,0.75,3.2,1.2,2,36.5,36.5,0.03,2.9,36.5,3.2,1.2,2,36.5,0,0,0,,0
28,"Purdue Fort Wayne Mastodons",33,3.5,6,2.3,0.67,3.5,1.1,2.4,31.3,31.3,0.04,4.3,31.3,3.5,1.1,2.4,31.3,0,0,0,,0
