sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Middle Tennessee State Blue Raiders",26,1.2,2.3,1.4,1.194,1.2,0.7,0.5,54.8,54.8,0.13,12.9,54.8,1.2,0.7,0.5,54.8,0,0,0,,0
2,"Richmond Spiders",29,1.4,2.4,1.6,1.15,1.4,0.8,0.6,55,55,0.08,7.5,55,1.4,0.8,0.6,55,0,0,0,,0
3,"Brigham Young Cougars",28,2.3,3.7,2.3,1.032,2.3,1.1,1.1,49.2,49.2,0.06,6.3,49.2,2.3,1.1,1.1,49.2,0,0,0,,0
4,"Texas-(Austin) Longhorns",29,1.5,2.2,1.6,1.023,1.5,0.8,0.8,50,50,0.02,2.3,50,1.5,0.8,0.8,50,0,0,0,,0
5,"Mississippi State Bulldogs",28,3.6,5.7,3.7,1.02,3.6,1.8,1.9,48.5,48.5,0.07,6.9,48.5,3.6,1.8,1.9,48.5,0,0,0,,0
6,"South Carolina Gamecocks",29,2.2,3.4,2.2,1,2.2,1,1.2,46,46,0.08,7.9,46,2.2,1,1.2,46,0,0,0,,0
7,"Houston Christian Huskies",26,3,5.4,3,0.987,3,1.4,1.6,47.4,47.4,0.04,3.8,47.4,3,1.4,1.6,47.4,0,0,0,,0
8,"Incarnate Word Cardinals",26,1.6,2.8,1.6,0.976,1.6,0.8,0.8,47.6,47.6,0.05,4.8,47.6,1.6,0.8,0.8,47.6,0,0,0,,0
9,"Rhode Island Rams",27,1.9,3.1,1.8,0.96,1.9,0.9,1,46,46,0.04,4,46,1.9,0.9,1,46,0,0,0,,0
10,"Saint Mary's Gaels",29,1.6,2.9,1.6,0.957,1.6,0.8,0.9,46.8,46.8,0.02,2.1,46.8,1.6,0.8,0.9,46.8,0,0,0,,0
11,"Wofford Terriers",27,3.8,6.2,3.6,0.951,3.8,1.8,2,46.6,46.6,0.02,1.9,46.6,3.8,1.8,2,46.6,0,0,0,,0
11,"Indiana Hoosiers",28,1.5,2.7,1.4,0.951,1.5,0.7,0.8,46.3,46.3,0.02,2.4,46.3,1.5,0.7,0.8,46.3,0,0,0,,0
13,"St. Bonaventure Bonnies",28,1.4,2.4,1.3,0.947,1.4,0.6,0.8,44.7,44.7,0.05,5.3,44.7,1.4,0.6,0.8,44.7,0,0,0,,0
14,"North Dakota State Bison",27,2.6,4.5,2.5,0.944,2.6,1.2,1.4,46.5,46.5,0.03,2.8,46.5,2.6,1.2,1.4,46.5,0,0,0,,0
15,"Georgia Southern Eagles",27,1.9,3.2,1.8,0.942,1.9,0.9,1,46.2,46.2,0.06,5.8,46.2,1.9,0.9,1,46.2,0,0,0,,0
16,"Tennessee-Martin Skyhawks",27,1.9,3.4,1.8,0.941,1.9,0.9,1,45.1,45.1,0.04,3.9,45.1,1.9,0.9,1,45.1,0,0,0,,0
17,"Oklahoma State Cowgirls",29,2.2,3.5,2.1,0.938,2.2,1,1.2,44.6,44.6,0.06,6.2,44.6,2.2,1,1.2,44.6,0,0,0,,0
17,"Miami (FL) Hurricanes",27,1.8,2.9,1.7,0.938,1.8,0.8,1,45.8,45.8,0.02,2.1,45.8,1.8,0.8,1,45.8,0,0,0,,0
19,"Nebraska Cornhuskers",28,1.1,1.8,1,0.935,1.1,0.5,0.6,45.2,45.2,0.03,3.2,45.2,1.1,0.5,0.6,45.2,0,0,0,,0
20,"Elon Phoenix",25,2.9,4.7,2.7,0.931,2.9,1.3,1.6,44.4,44.4,0.06,5.6,44.4,2.9,1.3,1.6,44.4,0,0,0,,0
21,"Florida Gulf Coast Eagles",27,1.5,2.9,1.4,0.927,1.5,0.7,0.9,43.9,43.9,0.05,4.9,43.9,1.5,0.7,0.9,43.9,0,0,0,,0
22,"St. John's Red Storm",30,1.8,3.5,1.7,0.926,1.8,0.8,1,44.4,44.4,0.04,3.7,44.4,1.8,0.8,1,44.4,0,0,0,,0
23,"Ohio Bobcats",25,2.1,3.4,1.9,0.923,2.1,0.9,1.2,44.2,44.2,0.06,5.8,44.2,2.1,0.9,1.2,44.2,0,0,0,,0
23,"Appalachian State Mountaineers",27,2.4,4.4,2.2,0.923,2.4,1.1,1.3,44.6,44.6,0.03,3.1,44.6,2.4,1.1,1.3,44.6,0,0,0,,0
25,"Robert Morris Colonials",28,3.6,6.4,3.3,0.921,3.6,1.6,2,45.5,45.5,0.02,2,45.5,3.6,1.6,2,45.5,0,0,0,,0
26,"North Carolina State Wolfpack",27,3.7,5.6,3.4,0.92,3.7,1.7,2,45,45,0.02,2,45,3.7,1.7,2,45,0,0,0,,0
27,"Winthrop Eagles",28,2.5,4.3,2.3,0.915,2.5,1.1,1.4,43.7,43.7,0.04,4.2,43.7,2.5,1.1,1.4,43.7,0,0,0,,0
28,"Missouri Tigers",29,3.5,6.1,3.2,0.911,3.5,1.6,1.9,44.6,44.6,0.03,3,44.6,3.5,1.6,1.9,44.6,0,0,0,,0
29,"Abilene Christian Wildcats",27,1.2,2,1.1,0.906,1.2,0.5,0.7,43.8,43.8,0.03,3.1,43.8,1.2,0.5,0.7,43.8,0,0,0,,0
30,"Butler Bulldogs",28,1.9,3.5,1.7,0.904,1.9,0.8,1,44.2,44.2,0.04,3.8,44.2,1.9,0.8,1,44.2,0,0,0,,0
31,"South Dakota Coyotes",28,1.8,3,1.6,0.902,1.8,0.8,1,43.1,43.1,0.04,3.9,43.1,1.8,0.8,1,43.1,0,0,0,,0
32,"Washington State Cougars",29,3.6,6.2,3.2,0.895,3.6,1.6,2,43.8,43.8,0.03,2.9,43.8,3.6,1.6,2,43.8,0,0,0,,0
33,"Northwestern State Demons",27,2.4,4.2,2.1,0.892,2.4,1.1,1.3,44.6,44.6,0,0,44.6,2.4,1.1,1.3,44.6,0,0,0,,0
34,"Ohio State Buckeyes",28,2.3,3.4,2,0.891,2.3,1,1.3,43.8,43.8,0.02,1.6,43.8,2.3,1,1.3,43.8,0,0,0,,0
35,"Southern Utah Thunderbirds",27,3.6,6.1,3.2,0.888,3.6,1.6,2.1,42.9,42.9,0.04,4.1,42.9,3.6,1.6,2.1,42.9,0,0,0,,0
