sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Rhode Island Rams",27,5.1,19.1,5.2,1.007,5.1,2.6,2.6,50.4,50.4,0.01,0.7,50.4,5.1,2.6,2.6,50.4,0,0,0,,0
2,"Stanford Cardinal",29,4.9,16.8,4.9,1,4.9,2.4,2.5,49,49,0.02,2.1,49,4.9,2.4,2.5,49,0,0,0,,0
3,"St. Bonaventure Bonnies",28,10.6,32.4,10.1,0.956,10.6,5,5.6,47,47,0.02,2,47,10.6,5,5.6,47,0,0,0,,0
4,"Michigan Wolverines",27,7.2,23.7,6.9,0.954,7.2,3.4,3.8,46.9,46.9,0.02,2.1,46.9,7.2,3.4,3.8,46.9,0,0,0,,0
5,"N.J.I.T. Highlanders",28,7,24.7,6.6,0.944,7,3.3,3.7,46.7,46.7,0.02,1.5,46.7,7,3.3,3.7,46.7,0,0,0,,0
6,"Cal State Northridge Matadors",25,2.6,8.4,2.4,0.938,2.6,1.2,1.4,46.9,46.9,0.02,1.6,46.9,2.6,1.2,1.4,46.9,0,0,0,,0
7,"Texas-(Austin) Longhorns",29,15.5,46.5,14.5,0.936,15.5,7.2,8.3,46.2,46.2,0.02,1.6,46.2,15.5,7.2,8.3,46.2,0,0,0,,0
8,"Lindenwood University Lions",29,5.3,17.7,5,0.935,5.3,2.5,2.9,46.5,46.5,0.01,0.6,46.5,5.3,2.5,2.9,46.5,0,0,0,,0
9,"Utah Utes",28,3.4,11.1,3.2,0.927,3.4,1.5,1.9,44.8,44.8,0.03,3.1,44.8,3.4,1.5,1.9,44.8,0,0,0,,0
10,"Kentucky Wildcats",28,5.8,16.8,5.4,0.926,5.8,2.6,3.1,45.7,45.7,0.01,1.2,45.7,5.8,2.6,3.1,45.7,0,0,0,,0
11,"St. John's Red Storm",30,3.4,13.5,3.1,0.922,3.4,1.5,1.9,45.1,45.1,0.02,2,45.1,3.4,1.5,1.9,45.1,0,0,0,,0
12,"UCLA Bruins",28,5.3,18.6,4.9,0.919,5.3,2.4,2.9,45.6,45.6,0.01,0.7,45.6,5.3,2.4,2.9,45.6,0,0,0,,0
13,"San Diego State Aztecs",26,5.6,16.9,5.1,0.91,5.6,2.5,3.1,44.8,44.8,0.02,2.1,44.8,5.6,2.5,3.1,44.8,0,0,0,,0
14,"Nebraska Cornhuskers",28,4.7,15.7,4.3,0.908,4.7,2.1,2.6,45,45,0.01,0.8,45,4.7,2.1,2.6,45,0,0,0,,0
15,"Illinois-Chicago Flames",27,8.1,30.6,7.3,0.904,8.1,3.6,4.5,44.7,44.7,0.01,0.9,44.7,8.1,3.6,4.5,44.7,0,0,0,,0
15,"Arizona State Sun Devils",29,7.5,27.4,6.8,0.904,7.5,3.4,4.1,45,45,0,0.5,45,7.5,3.4,4.1,45,0,0,0,,0
17,"Vermont Catamounts",30,6.5,23.3,5.9,0.903,6.5,2.9,3.6,44.9,44.9,0.01,1,44.9,6.5,2.9,3.6,44.9,0,0,0,,0
18,"Albany Great Danes",27,4.8,19.1,4.3,0.9,4.8,2.1,2.7,43.8,43.8,0.02,2.3,43.8,4.8,2.1,2.7,43.8,0,0,0,,0
19,"Oklahoma State Cowgirls",29,5.5,16.2,4.9,0.899,5.5,2.4,3,44.7,44.7,0.01,0.6,44.7,5.5,2.4,3,44.7,0,0,0,,0
20,"Indiana Hoosiers",28,7.3,24.8,6.5,0.892,7.3,3.2,4,44.3,44.3,0,0.5,44.3,7.3,3.2,4,44.3,0,0,0,,0
